[1388, 886]
[folio, [31.0, 44.0, 170.0, 18.0], aQew2jsSLc, 5742071]
[folio, [31.0, 62.0, 170.0, 18.0], aQew2jsSLc, 5742071]
[folio, [382.0, 49.0, 128.0, 18.0], shoonya_1s2YZLLIQG5LZA, 5742071]
[paragraph, [36.0, 100.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 118.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 136.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 154.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 172.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 190.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 208.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 226.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 244.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 262.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 280.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 298.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 316.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 334.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 352.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 370.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 388.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 406.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 424.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 442.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 460.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 478.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 496.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 514.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 532.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 550.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 568.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 586.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 604.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 622.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 640.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 658.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 676.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 694.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 712.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 730.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 748.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 766.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 784.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 802.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 820.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 838.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 856.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 874.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 892.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
[paragraph, [36.0, 910.0, 399.0, 18.0], CLXoRCyhZh, 5742071]
