[842, 595]
[headline, [256.0, 78.0, 91.0, 25.5], RUKq59PtXR, 5688800]
[sidebar, [268.0, 164.0, 68.0, 18.0], hD-mwxVwWM, 5688800]
[paragraph, [81.0, 202.0, 445.0, 18.0], O883-ruNtj, 5688800]
[paragraph, [81.0, 220.0, 445.0, 18.0], O883-ruNtj, 5688800]
[unordered-list, [63.0, 262.0, 489.0, 18.0], ak3Hcgc5Ol, 5688800]
[unordered-list, [63.0, 280.0, 489.0, 18.0], ak3Hcgc5Ol, 5688800]
[unordered-list, [63.0, 298.0, 489.0, 18.0], ak3Hcgc5Ol, 5688800]
[unordered-list, [63.0, 316.0, 489.0, 18.0], ak3Hcgc5Ol, 5688800]
[unordered-list, [63.0, 334.0, 489.0, 18.0], ak3Hcgc5Ol, 5688800]
[unordered-list, [63.0, 352.0, 489.0, 18.0], ak3Hcgc5Ol, 5688800]
[unordered-list, [63.0, 370.0, 489.0, 18.0], ak3Hcgc5Ol, 5688800]
[unordered-list, [63.0, 388.0, 489.0, 18.0], ak3Hcgc5Ol, 5688800]
[unordered-list, [63.0, 406.0, 489.0, 18.0], ak3Hcgc5Ol, 5688800]
[unordered-list, [63.0, 424.0, 489.0, 18.0], ak3Hcgc5Ol, 5688800]
[unordered-list, [63.0, 442.0, 489.0, 18.0], ak3Hcgc5Ol, 5688800]
[unordered-list, [63.0, 460.0, 489.0, 18.0], ak3Hcgc5Ol, 5688800]
[unordered-list, [63.0, 478.0, 489.0, 18.0], ak3Hcgc5Ol, 5688800]
[unordered-list, [63.0, 496.0, 489.0, 18.0], ak3Hcgc5Ol, 5688800]
[unordered-list, [63.0, 514.0, 489.0, 18.0], ak3Hcgc5Ol, 5688800]
[unordered-list, [63.0, 532.0, 489.0, 18.0], ak3Hcgc5Ol, 5688800]
[unordered-list, [63.0, 550.0, 489.0, 18.0], ak3Hcgc5Ol, 5688800]
[unordered-list, [63.0, 568.0, 489.0, 18.0], ak3Hcgc5Ol, 5688800]
[unordered-list, [63.0, 586.0, 489.0, 18.0], ak3Hcgc5Ol, 5688800]
[unordered-list, [63.0, 604.0, 489.0, 18.0], ak3Hcgc5Ol, 5688800]
[unordered-list, [63.0, 622.0, 489.0, 18.0], ak3Hcgc5Ol, 5688800]
[unordered-list, [63.0, 640.0, 489.0, 18.0], ak3Hcgc5Ol, 5688800]
[unordered-list, [63.0, 658.0, 489.0, 18.0], ak3Hcgc5Ol, 5688800]
[unordered-list, [63.0, 676.0, 489.0, 18.0], ak3Hcgc5Ol, 5688800]
[unordered-list, [63.0, 694.0, 489.0, 18.0], ak3Hcgc5Ol, 5688800]
[unordered-list, [63.0, 712.0, 489.0, 18.0], ak3Hcgc5Ol, 5688800]
[unordered-list, [63.0, 730.0, 489.0, 18.0], ak3Hcgc5Ol, 5688800]
[unordered-list, [63.0, 748.0, 489.0, 18.0], ak3Hcgc5Ol, 5688800]
