[1034, 680]
[folio, [222.0, 67.0, 212.0, 18.0], uxv87RRFbJ, 5739443]
[folio, [222.0, 85.0, 212.0, 18.0], uxv87RRFbJ, 5739443]
[paragraph, [59.0, 123.0, 545.0, 18.0], eJeHQG2rID, 5739443]
[paragraph, [59.0, 141.0, 545.0, 18.0], eJeHQG2rID, 5739443]
[paragraph, [59.0, 159.0, 545.0, 18.0], eJeHQG2rID, 5739443]
[paragraph, [59.0, 177.0, 545.0, 18.0], eJeHQG2rID, 5739443]
[paragraph, [59.0, 195.0, 545.0, 18.0], eJeHQG2rID, 5739443]
[paragraph, [59.0, 213.0, 545.0, 18.0], eJeHQG2rID, 5739443]
[paragraph, [59.0, 231.0, 545.0, 18.0], eJeHQG2rID, 5739443]
[paragraph, [59.0, 249.0, 545.0, 18.0], eJeHQG2rID, 5739443]
[paragraph, [59.0, 267.0, 545.0, 18.0], eJeHQG2rID, 5739443]
[paragraph, [59.0, 285.0, 545.0, 18.0], eJeHQG2rID, 5739443]
[paragraph, [59.0, 303.0, 545.0, 18.0], eJeHQG2rID, 5739443]
[paragraph, [59.0, 321.0, 545.0, 18.0], eJeHQG2rID, 5739443]
[paragraph, [60.0, 366.0, 555.0, 18.0], 6b1YHNyJRt, 5739443]
[paragraph, [60.0, 384.0, 555.0, 18.0], 6b1YHNyJRt, 5739443]
[paragraph, [60.0, 402.0, 555.0, 18.0], 6b1YHNyJRt, 5739443]
[paragraph, [60.0, 420.0, 555.0, 18.0], 6b1YHNyJRt, 5739443]
[paragraph, [60.0, 438.0, 555.0, 18.0], 6b1YHNyJRt, 5739443]
[paragraph, [60.0, 456.0, 555.0, 18.0], 6b1YHNyJRt, 5739443]
[paragraph, [60.0, 474.0, 555.0, 18.0], 6b1YHNyJRt, 5739443]
[paragraph, [60.0, 492.0, 555.0, 18.0], 6b1YHNyJRt, 5739443]
[paragraph, [60.0, 510.0, 555.0, 18.0], 6b1YHNyJRt, 5739443]
[paragraph, [60.0, 528.0, 555.0, 18.0], 6b1YHNyJRt, 5739443]
[paragraph, [60.0, 546.0, 555.0, 18.0], 6b1YHNyJRt, 5739443]
[paragraph, [60.0, 564.0, 555.0, 18.0], 6b1YHNyJRt, 5739443]
[paragraph, [60.0, 582.0, 555.0, 18.0], 6b1YHNyJRt, 5739443]
[paragraph, [60.0, 600.0, 555.0, 18.0], 6b1YHNyJRt, 5739443]
[paragraph, [60.0, 618.0, 555.0, 18.0], 6b1YHNyJRt, 5739443]
[paragraph, [60.0, 636.0, 555.0, 18.0], 6b1YHNyJRt, 5739443]
[paragraph, [60.0, 654.0, 555.0, 18.0], 6b1YHNyJRt, 5739443]
[paragraph, [60.0, 672.0, 555.0, 18.0], 6b1YHNyJRt, 5739443]
[paragraph, [60.0, 690.0, 555.0, 18.0], 6b1YHNyJRt, 5739443]
[paragraph, [60.0, 708.0, 555.0, 18.0], 6b1YHNyJRt, 5739443]
[paragraph, [60.0, 726.0, 555.0, 18.0], 6b1YHNyJRt, 5739443]
[paragraph, [60.0, 744.0, 555.0, 18.0], 6b1YHNyJRt, 5739443]
[paragraph, [60.0, 762.0, 555.0, 18.0], 6b1YHNyJRt, 5739443]
[paragraph, [60.0, 780.0, 555.0, 18.0], 6b1YHNyJRt, 5739443]
[paragraph, [60.0, 798.0, 555.0, 18.0], 6b1YHNyJRt, 5739443]
[paragraph, [60.0, 816.0, 555.0, 18.0], 6b1YHNyJRt, 5739443]
[paragraph, [60.0, 834.0, 555.0, 18.0], 6b1YHNyJRt, 5739443]
[paragraph, [60.0, 852.0, 555.0, 18.0], 6b1YHNyJRt, 5739443]
[paragraph, [60.0, 870.0, 555.0, 18.0], 6b1YHNyJRt, 5739443]
[paragraph, [60.0, 888.0, 555.0, 18.0], 6b1YHNyJRt, 5739443]
[paragraph, [60.0, 906.0, 555.0, 18.0], 6b1YHNyJRt, 5739443]
[paragraph, [60.0, 924.0, 555.0, 18.0], 6b1YHNyJRt, 5739443]
[paragraph, [60.0, 942.0, 555.0, 18.0], 6b1YHNyJRt, 5739443]
