[789, 571]
[folio, [245.0, 51.0, 68.0, 18.0], shoonya_4sDLB8CN8Z2XOQ, 5702400]
[paragraph, [46.0, 84.0, 462.0, 18.0], shoonya_0sWZKMGA8ZTRYU, 5702400]
[paragraph, [46.0, 102.0, 462.0, 18.0], shoonya_0sWZKMGA8ZTRYU, 5702400]
[paragraph, [46.0, 120.0, 462.0, 18.0], shoonya_0sWZKMGA8ZTRYU, 5702400]
[paragraph, [46.0, 138.0, 462.0, 18.0], shoonya_0sWZKMGA8ZTRYU, 5702400]
[paragraph, [46.0, 156.0, 462.0, 18.0], shoonya_0sWZKMGA8ZTRYU, 5702400]
[paragraph, [46.0, 174.0, 462.0, 18.0], shoonya_0sWZKMGA8ZTRYU, 5702400]
[paragraph, [46.0, 203.0, 462.0, 18.0], ZCEKbCPA5S, 5702400]
[paragraph, [46.0, 221.0, 462.0, 18.0], ZCEKbCPA5S, 5702400]
[paragraph, [46.0, 239.0, 462.0, 18.0], ZCEKbCPA5S, 5702400]
[paragraph, [46.0, 257.0, 462.0, 18.0], ZCEKbCPA5S, 5702400]
[paragraph, [46.0, 275.0, 462.0, 18.0], ZCEKbCPA5S, 5702400]
[paragraph, [46.0, 293.0, 462.0, 18.0], ZCEKbCPA5S, 5702400]
[paragraph, [46.0, 311.0, 462.0, 18.0], ZCEKbCPA5S, 5702400]
[paragraph, [46.0, 341.0, 463.0, 18.0], GVZXuFlNwB, 5702400]
[paragraph, [46.0, 359.0, 463.0, 18.0], GVZXuFlNwB, 5702400]
[paragraph, [46.0, 377.0, 463.0, 18.0], GVZXuFlNwB, 5702400]
[paragraph, [46.0, 395.0, 463.0, 18.0], GVZXuFlNwB, 5702400]
[paragraph, [46.0, 413.0, 463.0, 18.0], GVZXuFlNwB, 5702400]
[paragraph, [49.0, 432.0, 461.0, 18.0], zUXPTPRIS5, 5702400]
[paragraph, [49.0, 450.0, 461.0, 18.0], zUXPTPRIS5, 5702400]
[paragraph, [49.0, 468.0, 461.0, 18.0], zUXPTPRIS5, 5702400]
[paragraph, [49.0, 486.0, 461.0, 18.0], zUXPTPRIS5, 5702400]
[paragraph, [49.0, 504.0, 461.0, 18.0], zUXPTPRIS5, 5702400]
[paragraph, [49.0, 522.0, 461.0, 18.0], zUXPTPRIS5, 5702400]
[paragraph, [49.0, 540.0, 461.0, 18.0], zUXPTPRIS5, 5702400]
[paragraph, [49.0, 558.0, 461.0, 18.0], zUXPTPRIS5, 5702400]
[paragraph, [49.0, 576.0, 461.0, 18.0], zUXPTPRIS5, 5702400]
[paragraph, [49.0, 594.0, 461.0, 18.0], zUXPTPRIS5, 5702400]
[paragraph, [49.0, 612.0, 461.0, 18.0], zUXPTPRIS5, 5702400]
[paragraph, [49.0, 630.0, 461.0, 18.0], zUXPTPRIS5, 5702400]
[paragraph, [49.0, 648.0, 461.0, 18.0], zUXPTPRIS5, 5702400]
[paragraph, [49.0, 666.0, 461.0, 18.0], zUXPTPRIS5, 5702400]
[paragraph, [49.0, 684.0, 461.0, 18.0], zUXPTPRIS5, 5702400]
[paragraph, [49.0, 702.0, 461.0, 18.0], zUXPTPRIS5, 5702400]
