[700, 484]
[paragraph, [46.0, 99.0, 393.0, 18.0], shoonya_0sKWH1Y0F5BF36, 6464735]
[paragraph, [46.0, 117.0, 393.0, 18.0], shoonya_0sKWH1Y0F5BF36, 6464735]
[paragraph, [46.0, 135.0, 393.0, 18.0], shoonya_0sKWH1Y0F5BF36, 6464735]
[paragraph, [46.0, 153.0, 393.0, 18.0], shoonya_0sKWH1Y0F5BF36, 6464735]
[paragraph, [46.0, 171.0, 393.0, 18.0], shoonya_0sKWH1Y0F5BF36, 6464735]
[paragraph, [46.0, 189.0, 393.0, 18.0], shoonya_0sKWH1Y0F5BF36, 6464735]
[paragraph, [46.0, 207.0, 393.0, 18.0], shoonya_0sKWH1Y0F5BF36, 6464735]
[paragraph, [46.0, 225.0, 393.0, 18.0], shoonya_0sKWH1Y0F5BF36, 6464735]
[paragraph, [46.0, 243.0, 393.0, 18.0], shoonya_0sKWH1Y0F5BF36, 6464735]
[paragraph, [46.0, 261.0, 393.0, 18.0], shoonya_0sKWH1Y0F5BF36, 6464735]
[paragraph, [46.0, 279.0, 393.0, 18.0], shoonya_0sKWH1Y0F5BF36, 6464735]
[paragraph, [44.0, 298.0, 399.0, 18.0], shoonya_1sN1KZKD6ZYUNI, 6464735]
[paragraph, [44.0, 316.0, 399.0, 18.0], shoonya_1sN1KZKD6ZYUNI, 6464735]
[paragraph, [44.0, 334.0, 399.0, 18.0], shoonya_1sN1KZKD6ZYUNI, 6464735]
[paragraph, [44.0, 352.0, 399.0, 18.0], shoonya_1sN1KZKD6ZYUNI, 6464735]
[paragraph, [44.0, 370.0, 399.0, 18.0], shoonya_1sN1KZKD6ZYUNI, 6464735]
[paragraph, [44.0, 388.0, 399.0, 18.0], shoonya_1sN1KZKD6ZYUNI, 6464735]
[paragraph, [44.0, 406.0, 399.0, 18.0], shoonya_1sN1KZKD6ZYUNI, 6464735]
[paragraph, [44.0, 424.0, 399.0, 18.0], shoonya_1sN1KZKD6ZYUNI, 6464735]
[paragraph, [44.0, 442.0, 399.0, 18.0], shoonya_1sN1KZKD6ZYUNI, 6464735]
[paragraph, [44.0, 461.0, 402.0, 18.0], -HzzDm-YOh, 6464735]
[paragraph, [44.0, 479.0, 402.0, 18.0], -HzzDm-YOh, 6464735]
[paragraph, [44.0, 497.0, 402.0, 18.0], -HzzDm-YOh, 6464735]
[paragraph, [44.0, 515.0, 402.0, 18.0], -HzzDm-YOh, 6464735]
[paragraph, [44.0, 533.0, 402.0, 18.0], -HzzDm-YOh, 6464735]
[paragraph, [44.0, 551.0, 402.0, 18.0], -HzzDm-YOh, 6464735]
[paragraph, [44.0, 569.0, 402.0, 18.0], -HzzDm-YOh, 6464735]
[paragraph, [44.0, 587.0, 402.0, 18.0], -HzzDm-YOh, 6464735]
[paragraph, [44.0, 605.0, 402.0, 18.0], -HzzDm-YOh, 6464735]
[paragraph, [44.0, 623.0, 402.0, 18.0], -HzzDm-YOh, 6464735]
[paragraph, [44.0, 641.0, 402.0, 18.0], -HzzDm-YOh, 6464735]
