[1754, 1241]
[folio, [54.0, 80.0, 159.0, 36.0], U9lgRcaYiG, 6472509]
[paragraph, [630.0, 136.0, 546.0, 36.0], shoonya_1s8PUE3XY151L0, 6472509]
[paragraph, [630.0, 172.0, 546.0, 36.0], shoonya_1s8PUE3XY151L0, 6472509]
[paragraph, [630.0, 208.0, 546.0, 36.0], shoonya_1s8PUE3XY151L0, 6472509]
[paragraph, [630.0, 244.0, 546.0, 36.0], shoonya_1s8PUE3XY151L0, 6472509]
[paragraph, [630.0, 280.0, 546.0, 36.0], shoonya_1s8PUE3XY151L0, 6472509]
[paragraph, [630.0, 316.0, 546.0, 36.0], shoonya_1s8PUE3XY151L0, 6472509]
[paragraph, [630.0, 352.0, 546.0, 36.0], shoonya_1s8PUE3XY151L0, 6472509]
[paragraph, [630.0, 388.0, 546.0, 36.0], shoonya_1s8PUE3XY151L0, 6472509]
[paragraph, [630.0, 424.0, 546.0, 36.0], shoonya_1s8PUE3XY151L0, 6472509]
[paragraph, [630.0, 460.0, 546.0, 36.0], shoonya_1s8PUE3XY151L0, 6472509]
[paragraph, [631.0, 521.0, 546.0, 36.0], Fqglr8RxQG, 6472509]
[paragraph, [631.0, 557.0, 546.0, 36.0], Fqglr8RxQG, 6472509]
[paragraph, [631.0, 593.0, 546.0, 36.0], Fqglr8RxQG, 6472509]
[paragraph, [631.0, 629.0, 546.0, 36.0], Fqglr8RxQG, 6472509]
[paragraph, [631.0, 665.0, 546.0, 36.0], Fqglr8RxQG, 6472509]
[paragraph, [631.0, 701.0, 546.0, 36.0], Fqglr8RxQG, 6472509]
[paragraph, [631.0, 737.0, 546.0, 36.0], Fqglr8RxQG, 6472509]
[paragraph, [631.0, 773.0, 546.0, 36.0], Fqglr8RxQG, 6472509]
[paragraph, [631.0, 809.0, 546.0, 36.0], Fqglr8RxQG, 6472509]
[paragraph, [631.0, 845.0, 546.0, 36.0], Fqglr8RxQG, 6472509]
[paragraph, [631.0, 881.0, 546.0, 36.0], Fqglr8RxQG, 6472509]
[paragraph, [631.0, 917.0, 546.0, 36.0], Fqglr8RxQG, 6472509]
[paragraph, [631.0, 953.0, 546.0, 36.0], Fqglr8RxQG, 6472509]
[paragraph, [631.0, 989.0, 546.0, 36.0], Fqglr8RxQG, 6472509]
[paragraph, [631.0, 1025.0, 546.0, 36.0], Fqglr8RxQG, 6472509]
[paragraph, [631.0, 1061.0, 546.0, 36.0], Fqglr8RxQG, 6472509]
[paragraph, [631.0, 1097.0, 546.0, 36.0], Fqglr8RxQG, 6472509]
[paragraph, [631.0, 1133.0, 546.0, 36.0], Fqglr8RxQG, 6472509]
[paragraph, [631.0, 1169.0, 546.0, 36.0], Fqglr8RxQG, 6472509]
[paragraph, [631.0, 1205.0, 546.0, 36.0], Fqglr8RxQG, 6472509]
[paragraph, [631.0, 1241.0, 546.0, 36.0], Fqglr8RxQG, 6472509]
[paragraph, [66.0, 840.0, 542.0, 36.0], ArfuS_SKO3, 6472509]
[paragraph, [66.0, 876.0, 542.0, 36.0], ArfuS_SKO3, 6472509]
[paragraph, [66.0, 912.0, 542.0, 36.0], ArfuS_SKO3, 6472509]
[paragraph, [66.0, 948.0, 542.0, 36.0], ArfuS_SKO3, 6472509]
[paragraph, [66.0, 984.0, 542.0, 36.0], ArfuS_SKO3, 6472509]
[paragraph, [66.0, 1020.0, 542.0, 36.0], ArfuS_SKO3, 6472509]
[paragraph, [66.0, 1056.0, 542.0, 36.0], ArfuS_SKO3, 6472509]
[paragraph, [66.0, 1155.0, 542.0, 36.0], p8txtNQmqr, 6472509]
[paragraph, [66.0, 1191.0, 542.0, 36.0], p8txtNQmqr, 6472509]
[paragraph, [66.0, 1227.0, 542.0, 36.0], p8txtNQmqr, 6472509]
[paragraph, [626.0, 1308.0, 547.0, 36.0], HH6q3yE0iC, 6472509]
[paragraph, [626.0, 1344.0, 547.0, 36.0], HH6q3yE0iC, 6472509]
[paragraph, [626.0, 1380.0, 547.0, 36.0], HH6q3yE0iC, 6472509]
[paragraph, [626.0, 1416.0, 547.0, 36.0], HH6q3yE0iC, 6472509]
[paragraph, [626.0, 1452.0, 547.0, 36.0], HH6q3yE0iC, 6472509]
[paragraph, [626.0, 1488.0, 547.0, 36.0], HH6q3yE0iC, 6472509]
[paragraph, [626.0, 1524.0, 547.0, 36.0], HH6q3yE0iC, 6472509]
[paragraph, [68.0, 1316.0, 539.0, 36.0], tJT1K4_AKx, 6472509]
[paragraph, [68.0, 1352.0, 539.0, 36.0], tJT1K4_AKx, 6472509]
[paragraph, [68.0, 1388.0, 539.0, 36.0], tJT1K4_AKx, 6472509]
[paragraph, [68.0, 1424.0, 539.0, 36.0], tJT1K4_AKx, 6472509]
[paragraph, [68.0, 1460.0, 539.0, 36.0], tJT1K4_AKx, 6472509]
[paragraph, [68.0, 1496.0, 539.0, 36.0], tJT1K4_AKx, 6472509]
[paragraph, [68.0, 1532.0, 539.0, 36.0], tJT1K4_AKx, 6472509]
[folio, [103.0, 1614.0, 94.0, 36.0], TnrjPdQxN1, 6472509]
