[576, 360]
[folio, [68.0, 32.0, 69.0, 18.0], P_9oTkqikR, 6517120]
[paragraph, [32.0, 58.0, 298.0, 18.0], shoonya_0sI416CH1DMB01, 6517120]
[paragraph, [32.0, 76.0, 298.0, 18.0], shoonya_0sI416CH1DMB01, 6517120]
[paragraph, [32.0, 94.0, 298.0, 18.0], shoonya_0sI416CH1DMB01, 6517120]
[paragraph, [32.0, 112.0, 298.0, 18.0], shoonya_0sI416CH1DMB01, 6517120]
[paragraph, [32.0, 130.0, 298.0, 18.0], shoonya_0sI416CH1DMB01, 6517120]
[paragraph, [32.0, 148.0, 298.0, 18.0], shoonya_0sI416CH1DMB01, 6517120]
[paragraph, [32.0, 166.0, 298.0, 18.0], shoonya_0sI416CH1DMB01, 6517120]
[paragraph, [32.0, 184.0, 298.0, 18.0], shoonya_0sI416CH1DMB01, 6517120]
[paragraph, [32.0, 202.0, 298.0, 18.0], shoonya_0sI416CH1DMB01, 6517120]
[paragraph, [32.0, 220.0, 298.0, 18.0], shoonya_0sI416CH1DMB01, 6517120]
[paragraph, [32.0, 238.0, 298.0, 18.0], shoonya_0sI416CH1DMB01, 6517120]
[paragraph, [32.0, 256.0, 298.0, 18.0], shoonya_0sI416CH1DMB01, 6517120]
[paragraph, [32.0, 274.0, 298.0, 18.0], shoonya_0sI416CH1DMB01, 6517120]
[paragraph, [32.0, 292.0, 298.0, 18.0], shoonya_0sI416CH1DMB01, 6517120]
[paragraph, [32.0, 310.0, 298.0, 18.0], shoonya_0sI416CH1DMB01, 6517120]
[paragraph, [32.0, 328.0, 298.0, 18.0], shoonya_0sI416CH1DMB01, 6517120]
[paragraph, [32.0, 346.0, 298.0, 18.0], shoonya_0sI416CH1DMB01, 6517120]
[paragraph, [32.0, 364.0, 298.0, 18.0], shoonya_0sI416CH1DMB01, 6517120]
[paragraph, [32.0, 382.0, 298.0, 18.0], shoonya_0sI416CH1DMB01, 6517120]
[paragraph, [32.0, 400.0, 298.0, 18.0], shoonya_0sI416CH1DMB01, 6517120]
[paragraph, [32.0, 418.0, 298.0, 18.0], shoonya_0sI416CH1DMB01, 6517120]
[paragraph, [32.0, 436.0, 298.0, 18.0], shoonya_0sI416CH1DMB01, 6517120]
[paragraph, [32.0, 454.0, 298.0, 18.0], shoonya_0sI416CH1DMB01, 6517120]
[paragraph, [32.0, 472.0, 298.0, 18.0], shoonya_0sI416CH1DMB01, 6517120]
[paragraph, [32.0, 490.0, 298.0, 18.0], shoonya_0sI416CH1DMB01, 6517120]
