[789, 571]
[folio, [227.0, 48.0, 143.0, 18.0], shoonya_1s973YGSMCA3DC, 5702675]
[paragraph, [63.0, 83.0, 469.0, 18.0], shoonya_0s3CT7E9UHG54H, 5702675]
[paragraph, [63.0, 101.0, 469.0, 18.0], shoonya_0s3CT7E9UHG54H, 5702675]
[paragraph, [63.0, 119.0, 469.0, 18.0], shoonya_0s3CT7E9UHG54H, 5702675]
[paragraph, [63.0, 137.0, 469.0, 18.0], shoonya_0s3CT7E9UHG54H, 5702675]
[paragraph, [63.0, 155.0, 469.0, 18.0], shoonya_0s3CT7E9UHG54H, 5702675]
[paragraph, [63.0, 181.0, 468.0, 18.0], wH8Ia8os-F, 5702675]
[paragraph, [63.0, 199.0, 468.0, 18.0], wH8Ia8os-F, 5702675]
[paragraph, [63.0, 217.0, 468.0, 18.0], wH8Ia8os-F, 5702675]
[paragraph, [63.0, 235.0, 468.0, 18.0], wH8Ia8os-F, 5702675]
[paragraph, [63.0, 253.0, 468.0, 18.0], wH8Ia8os-F, 5702675]
[paragraph, [63.0, 271.0, 468.0, 18.0], wH8Ia8os-F, 5702675]
[paragraph, [67.0, 292.0, 460.0, 18.0], 88oBg3gBPu, 5702675]
[paragraph, [67.0, 310.0, 460.0, 18.0], 88oBg3gBPu, 5702675]
[paragraph, [67.0, 328.0, 460.0, 18.0], 88oBg3gBPu, 5702675]
[paragraph, [67.0, 346.0, 460.0, 18.0], 88oBg3gBPu, 5702675]
[paragraph, [67.0, 364.0, 460.0, 18.0], 88oBg3gBPu, 5702675]
[paragraph, [67.0, 382.0, 460.0, 18.0], 88oBg3gBPu, 5702675]
[paragraph, [67.0, 400.0, 460.0, 18.0], 88oBg3gBPu, 5702675]
[paragraph, [64.0, 433.0, 466.0, 18.0], zq3f_owkl8, 5702675]
[paragraph, [64.0, 451.0, 466.0, 18.0], zq3f_owkl8, 5702675]
[paragraph, [64.0, 469.0, 466.0, 18.0], zq3f_owkl8, 5702675]
[paragraph, [64.0, 487.0, 466.0, 18.0], zq3f_owkl8, 5702675]
[paragraph, [64.0, 505.0, 466.0, 18.0], zq3f_owkl8, 5702675]
[paragraph, [62.0, 524.0, 467.0, 18.0], shoonya_3s5VKG2EH0L9OF, 5702675]
[paragraph, [62.0, 542.0, 467.0, 18.0], shoonya_3s5VKG2EH0L9OF, 5702675]
[paragraph, [100.0, 567.0, 390.0, 18.0], B3S1gA82mt, 5702675]
[paragraph, [89.0, 592.0, 400.0, 18.0], 5jJ6qnEiN5, 5702675]
[paragraph, [60.0, 615.0, 463.0, 18.0], -tCnH9K1Uq, 5702675]
[paragraph, [60.0, 633.0, 463.0, 18.0], -tCnH9K1Uq, 5702675]
[paragraph, [64.0, 660.0, 461.0, 18.0], vzFf_ALIY7, 5702675]
[paragraph, [64.0, 678.0, 461.0, 18.0], vzFf_ALIY7, 5702675]
[footnote, [97.0, 708.0, 256.0, 18.0], m6_r7FbxR6, 5702675]
