[2481, 1654]
[folio, [1179.0, 99.0, 145.0, 36.0], ctqZYPaSeV, 5721343]
[paragraph, [151.0, 211.0, 1278.0, 36.0], shoonya_3s6964R2XZXI43, 5721343]
[paragraph, [151.0, 247.0, 1278.0, 36.0], shoonya_3s6964R2XZXI43, 5721343]
[paragraph, [151.0, 283.0, 1278.0, 36.0], shoonya_3s6964R2XZXI43, 5721343]
[paragraph, [151.0, 319.0, 1278.0, 36.0], shoonya_3s6964R2XZXI43, 5721343]
[paragraph, [220.0, 369.0, 1207.0, 36.0], XjEXAchp8G, 5721343]
[paragraph, [230.0, 423.0, 700.0, 36.0], Gr8oxTriQ5, 5721343]
[paragraph, [161.0, 472.0, 1276.0, 36.0], 8nn8hnfbwO, 5721343]
[paragraph, [161.0, 508.0, 1276.0, 36.0], 8nn8hnfbwO, 5721343]
[paragraph, [161.0, 544.0, 1276.0, 36.0], 8nn8hnfbwO, 5721343]
[paragraph, [161.0, 580.0, 1276.0, 36.0], 8nn8hnfbwO, 5721343]
[paragraph, [231.0, 624.0, 484.0, 36.0], 9vM1TGZUTz, 5721343]
[paragraph, [220.0, 673.0, 1210.0, 36.0], 0M_soi5UFz, 5721343]
[paragraph, [161.0, 725.0, 1271.0, 36.0], omZsO1m--N, 5721343]
[paragraph, [161.0, 761.0, 1271.0, 36.0], omZsO1m--N, 5721343]
[paragraph, [165.0, 826.0, 1261.0, 36.0], Wc7Nh6Y9Li, 5721343]
[paragraph, [165.0, 862.0, 1261.0, 36.0], Wc7Nh6Y9Li, 5721343]
[paragraph, [232.0, 925.0, 532.0, 36.0], -c9I8rMtTd, 5721343]
[paragraph, [228.0, 975.0, 582.0, 36.0], UVnS_xrRzx, 5721343]
[paragraph, [163.0, 1026.0, 1281.0, 36.0], IFogVN7juQ, 5721343]
[paragraph, [163.0, 1062.0, 1281.0, 36.0], IFogVN7juQ, 5721343]
[paragraph, [229.0, 1130.0, 959.0, 36.0], q1mYzsAEx5, 5721343]
[paragraph, [163.0, 1178.0, 1269.0, 36.0], wxJxmirv6L, 5721343]
[paragraph, [163.0, 1214.0, 1269.0, 36.0], wxJxmirv6L, 5721343]
[paragraph, [163.0, 1250.0, 1269.0, 36.0], wxJxmirv6L, 5721343]
[paragraph, [163.0, 1286.0, 1269.0, 36.0], wxJxmirv6L, 5721343]
[paragraph, [163.0, 1322.0, 1269.0, 36.0], wxJxmirv6L, 5721343]
[paragraph, [163.0, 1358.0, 1269.0, 36.0], wxJxmirv6L, 5721343]
[paragraph, [167.0, 1428.0, 957.0, 36.0], shoonya_4s9S46OVJC8MGT, 5721343]
[paragraph, [167.0, 1464.0, 957.0, 36.0], shoonya_4s9S46OVJC8MGT, 5721343]
[paragraph, [165.0, 1532.0, 1267.0, 36.0], hz3u2VewZN, 5721343]
[paragraph, [165.0, 1568.0, 1267.0, 36.0], hz3u2VewZN, 5721343]
[paragraph, [165.0, 1604.0, 1267.0, 36.0], hz3u2VewZN, 5721343]
[paragraph, [165.0, 1640.0, 1267.0, 36.0], hz3u2VewZN, 5721343]
[paragraph, [165.0, 1676.0, 1267.0, 36.0], hz3u2VewZN, 5721343]
[paragraph, [165.0, 1712.0, 1267.0, 36.0], hz3u2VewZN, 5721343]
[paragraph, [165.0, 1748.0, 1267.0, 36.0], hz3u2VewZN, 5721343]
[paragraph, [165.0, 1784.0, 1267.0, 36.0], hz3u2VewZN, 5721343]
[paragraph, [165.0, 1820.0, 1267.0, 36.0], hz3u2VewZN, 5721343]
[paragraph, [165.0, 1856.0, 1267.0, 36.0], hz3u2VewZN, 5721343]
[paragraph, [165.0, 1892.0, 1267.0, 36.0], hz3u2VewZN, 5721343]
[paragraph, [165.0, 1928.0, 1267.0, 36.0], hz3u2VewZN, 5721343]
[paragraph, [165.0, 1964.0, 1267.0, 36.0], hz3u2VewZN, 5721343]
[paragraph, [170.0, 2036.0, 1259.0, 36.0], shoonya_1sGOB4IIDFVSJD, 5721343]
[paragraph, [170.0, 2072.0, 1259.0, 36.0], shoonya_1sGOB4IIDFVSJD, 5721343]
[paragraph, [170.0, 2108.0, 1259.0, 36.0], shoonya_1sGOB4IIDFVSJD, 5721343]
[paragraph, [170.0, 2144.0, 1259.0, 36.0], shoonya_1sGOB4IIDFVSJD, 5721343]
