[648, 414]
[folio, [243.0, 69.0, 90.0, 18.0], Q-ZWcUVmi_, 6517086]
[paragraph, [53.0, 95.0, 309.0, 18.0], shoonya_1sF3AS6F8HB9D5, 6517086]
[paragraph, [53.0, 113.0, 309.0, 18.0], shoonya_1sF3AS6F8HB9D5, 6517086]
[paragraph, [53.0, 131.0, 309.0, 18.0], shoonya_1sF3AS6F8HB9D5, 6517086]
[paragraph, [53.0, 149.0, 309.0, 18.0], shoonya_1sF3AS6F8HB9D5, 6517086]
[paragraph, [53.0, 167.0, 309.0, 18.0], shoonya_1sF3AS6F8HB9D5, 6517086]
[paragraph, [53.0, 185.0, 309.0, 18.0], shoonya_1sF3AS6F8HB9D5, 6517086]
[paragraph, [53.0, 203.0, 309.0, 18.0], shoonya_1sF3AS6F8HB9D5, 6517086]
[paragraph, [53.0, 221.0, 309.0, 18.0], shoonya_1sF3AS6F8HB9D5, 6517086]
[paragraph, [53.0, 239.0, 309.0, 18.0], shoonya_1sF3AS6F8HB9D5, 6517086]
[paragraph, [53.0, 257.0, 309.0, 18.0], shoonya_1sF3AS6F8HB9D5, 6517086]
[paragraph, [53.0, 275.0, 309.0, 18.0], shoonya_1sF3AS6F8HB9D5, 6517086]
[paragraph, [53.0, 293.0, 309.0, 18.0], shoonya_1sF3AS6F8HB9D5, 6517086]
[paragraph, [53.0, 311.0, 309.0, 18.0], shoonya_1sF3AS6F8HB9D5, 6517086]
[paragraph, [53.0, 329.0, 309.0, 18.0], shoonya_1sF3AS6F8HB9D5, 6517086]
[paragraph, [53.0, 347.0, 309.0, 18.0], shoonya_1sF3AS6F8HB9D5, 6517086]
[paragraph, [53.0, 365.0, 309.0, 18.0], shoonya_1sF3AS6F8HB9D5, 6517086]
[paragraph, [53.0, 383.0, 309.0, 18.0], shoonya_1sF3AS6F8HB9D5, 6517086]
[paragraph, [53.0, 401.0, 309.0, 18.0], shoonya_1sF3AS6F8HB9D5, 6517086]
[paragraph, [53.0, 419.0, 309.0, 18.0], shoonya_1sF3AS6F8HB9D5, 6517086]
[paragraph, [53.0, 437.0, 309.0, 18.0], shoonya_1sF3AS6F8HB9D5, 6517086]
[paragraph, [53.0, 455.0, 309.0, 18.0], shoonya_1sF3AS6F8HB9D5, 6517086]
[paragraph, [53.0, 489.0, 309.0, 18.0], shoonya_0sYR6DWH528GSQ, 6517086]
[paragraph, [53.0, 507.0, 309.0, 18.0], shoonya_0sYR6DWH528GSQ, 6517086]
[paragraph, [53.0, 525.0, 309.0, 18.0], shoonya_0sYR6DWH528GSQ, 6517086]
[paragraph, [53.0, 543.0, 309.0, 18.0], shoonya_0sYR6DWH528GSQ, 6517086]
[paragraph, [53.0, 561.0, 309.0, 18.0], shoonya_0sYR6DWH528GSQ, 6517086]
