[1226, 792]
[folio, [58.0, 34.0, 74.0, 18.0], jUmQ1rZVVd, 5701219]
[folio, [58.0, 52.0, 74.0, 18.0], jUmQ1rZVVd, 5701219]
[paragraph, [53.0, 104.0, 618.0, 18.0], c70c_EjUUH, 5701219]
[paragraph, [53.0, 161.0, 666.0, 18.0], HDZmTGGaEe, 5701219]
[paragraph, [53.0, 179.0, 666.0, 18.0], HDZmTGGaEe, 5701219]
[paragraph, [53.0, 197.0, 666.0, 18.0], HDZmTGGaEe, 5701219]
[paragraph, [53.0, 215.0, 666.0, 18.0], HDZmTGGaEe, 5701219]
[paragraph, [53.0, 233.0, 666.0, 18.0], HDZmTGGaEe, 5701219]
[paragraph, [53.0, 251.0, 666.0, 18.0], HDZmTGGaEe, 5701219]
[paragraph, [55.0, 272.0, 666.0, 18.0], 45gnZAv4QO, 5701219]
[paragraph, [55.0, 290.0, 666.0, 18.0], 45gnZAv4QO, 5701219]
[paragraph, [55.0, 308.0, 666.0, 18.0], 45gnZAv4QO, 5701219]
[paragraph, [55.0, 326.0, 666.0, 18.0], 45gnZAv4QO, 5701219]
[paragraph, [55.0, 344.0, 666.0, 18.0], 45gnZAv4QO, 5701219]
[paragraph, [55.0, 362.0, 666.0, 18.0], 45gnZAv4QO, 5701219]
[paragraph, [55.0, 380.0, 666.0, 18.0], 45gnZAv4QO, 5701219]
[paragraph, [58.0, 408.0, 643.0, 18.0], b_-j0yr4d_, 5701219]
[paragraph, [58.0, 426.0, 643.0, 18.0], b_-j0yr4d_, 5701219]
[paragraph, [58.0, 444.0, 643.0, 18.0], b_-j0yr4d_, 5701219]
[paragraph, [58.0, 462.0, 643.0, 18.0], b_-j0yr4d_, 5701219]
[paragraph, [58.0, 480.0, 643.0, 18.0], b_-j0yr4d_, 5701219]
[paragraph, [58.0, 498.0, 643.0, 18.0], b_-j0yr4d_, 5701219]
[paragraph, [58.0, 516.0, 643.0, 18.0], b_-j0yr4d_, 5701219]
[paragraph, [59.0, 545.0, 654.0, 18.0], shoonya_11sHDNPGFCJ7VO, 5701219]
[paragraph, [59.0, 563.0, 654.0, 18.0], shoonya_11sHDNPGFCJ7VO, 5701219]
[paragraph, [59.0, 581.0, 654.0, 18.0], shoonya_11sHDNPGFCJ7VO, 5701219]
[paragraph, [59.0, 599.0, 654.0, 18.0], shoonya_11sHDNPGFCJ7VO, 5701219]
[paragraph, [59.0, 617.0, 654.0, 18.0], shoonya_11sHDNPGFCJ7VO, 5701219]
[paragraph, [59.0, 635.0, 654.0, 18.0], shoonya_11sHDNPGFCJ7VO, 5701219]
[paragraph, [57.0, 651.0, 663.0, 18.0], shoonya_7sJYIHCEWQIIVW, 5701219]
[paragraph, [57.0, 669.0, 663.0, 18.0], shoonya_7sJYIHCEWQIIVW, 5701219]
[paragraph, [57.0, 687.0, 663.0, 18.0], shoonya_7sJYIHCEWQIIVW, 5701219]
[paragraph, [57.0, 705.0, 663.0, 18.0], shoonya_7sJYIHCEWQIIVW, 5701219]
[paragraph, [57.0, 723.0, 663.0, 18.0], shoonya_7sJYIHCEWQIIVW, 5701219]
[paragraph, [57.0, 741.0, 663.0, 18.0], shoonya_7sJYIHCEWQIIVW, 5701219]
[section-title, [58.0, 791.0, 485.0, 30.0], DPmUkmdeht, 5701219]
[sub-section-title, [56.0, 826.0, 197.0, 25.5], yhJjlzVBIV, 5701219]
[ordered-list, [54.0, 875.0, 661.0, 18.0], shoonya_14sN5P0MP5FWS3, 5701219]
[ordered-list, [54.0, 893.0, 661.0, 18.0], shoonya_14sN5P0MP5FWS3, 5701219]
[ordered-list, [54.0, 911.0, 661.0, 18.0], shoonya_14sN5P0MP5FWS3, 5701219]
[ordered-list, [54.0, 929.0, 661.0, 18.0], shoonya_14sN5P0MP5FWS3, 5701219]
[ordered-list, [54.0, 947.0, 661.0, 18.0], shoonya_14sN5P0MP5FWS3, 5701219]
[ordered-list, [54.0, 965.0, 661.0, 18.0], shoonya_14sN5P0MP5FWS3, 5701219]
[ordered-list, [54.0, 983.0, 661.0, 18.0], shoonya_14sN5P0MP5FWS3, 5701219]
[ordered-list, [54.0, 1001.0, 661.0, 18.0], shoonya_14sN5P0MP5FWS3, 5701219]
[ordered-list, [54.0, 1019.0, 661.0, 18.0], shoonya_14sN5P0MP5FWS3, 5701219]
[ordered-list, [54.0, 1037.0, 661.0, 18.0], shoonya_14sN5P0MP5FWS3, 5701219]
[ordered-list, [54.0, 1055.0, 661.0, 18.0], shoonya_14sN5P0MP5FWS3, 5701219]
[ordered-list, [54.0, 1073.0, 661.0, 18.0], shoonya_14sN5P0MP5FWS3, 5701219]
[ordered-list, [54.0, 1091.0, 661.0, 18.0], shoonya_14sN5P0MP5FWS3, 5701219]
[ordered-list, [54.0, 1109.0, 661.0, 18.0], shoonya_14sN5P0MP5FWS3, 5701219]
[ordered-list, [54.0, 1127.0, 661.0, 18.0], shoonya_14sN5P0MP5FWS3, 5701219]
