[2200, 1700]
[paragraph, [370.0, 112.0, 1137.0, 36.0], shoonya_1sYLE8PACVPY7D, 5733561]
[paragraph, [370.0, 148.0, 1137.0, 36.0], shoonya_1sYLE8PACVPY7D, 5733561]
[paragraph, [370.0, 184.0, 1137.0, 36.0], shoonya_1sYLE8PACVPY7D, 5733561]
[paragraph, [370.0, 220.0, 1137.0, 36.0], shoonya_1sYLE8PACVPY7D, 5733561]
[paragraph, [370.0, 256.0, 1137.0, 36.0], shoonya_1sYLE8PACVPY7D, 5733561]
[paragraph, [370.0, 292.0, 1137.0, 36.0], shoonya_1sYLE8PACVPY7D, 5733561]
[paragraph, [370.0, 328.0, 1137.0, 36.0], shoonya_1sYLE8PACVPY7D, 5733561]
[paragraph, [370.0, 364.0, 1137.0, 36.0], shoonya_1sYLE8PACVPY7D, 5733561]
[paragraph, [370.0, 400.0, 1137.0, 36.0], shoonya_1sYLE8PACVPY7D, 5733561]
[paragraph, [370.0, 436.0, 1137.0, 36.0], shoonya_1sYLE8PACVPY7D, 5733561]
[paragraph, [370.0, 472.0, 1137.0, 36.0], shoonya_1sYLE8PACVPY7D, 5733561]
[paragraph, [370.0, 508.0, 1137.0, 36.0], shoonya_1sYLE8PACVPY7D, 5733561]
[paragraph, [667.0, 569.0, 236.0, 36.0], shoonya_5sBAV8WTS391UA, 5733561]
[paragraph, [667.0, 605.0, 236.0, 36.0], shoonya_5sBAV8WTS391UA, 5733561]
[paragraph, [667.0, 641.0, 236.0, 36.0], shoonya_5sBAV8WTS391UA, 5733561]
[paragraph, [667.0, 677.0, 236.0, 36.0], shoonya_5sBAV8WTS391UA, 5733561]
[paragraph, [658.0, 746.0, 274.0, 36.0], mhd3gJUn4l, 5733561]
[paragraph, [658.0, 782.0, 274.0, 36.0], mhd3gJUn4l, 5733561]
[paragraph, [370.0, 855.0, 1134.0, 36.0], shoonya_2sQ0VTFN9I9N0V, 5733561]
[paragraph, [370.0, 891.0, 1134.0, 36.0], shoonya_2sQ0VTFN9I9N0V, 5733561]
[paragraph, [370.0, 927.0, 1134.0, 36.0], shoonya_2sQ0VTFN9I9N0V, 5733561]
[paragraph, [370.0, 963.0, 1134.0, 36.0], shoonya_2sQ0VTFN9I9N0V, 5733561]
[paragraph, [370.0, 999.0, 1134.0, 36.0], shoonya_2sQ0VTFN9I9N0V, 5733561]
[paragraph, [370.0, 1093.0, 1136.0, 36.0], shoonya_0sAK837Z730ND0, 5733561]
[paragraph, [370.0, 1129.0, 1136.0, 36.0], shoonya_0sAK837Z730ND0, 5733561]
[paragraph, [370.0, 1165.0, 1136.0, 36.0], shoonya_0sAK837Z730ND0, 5733561]
[paragraph, [370.0, 1201.0, 1136.0, 36.0], shoonya_0sAK837Z730ND0, 5733561]
[paragraph, [370.0, 1237.0, 1136.0, 36.0], shoonya_0sAK837Z730ND0, 5733561]
[paragraph, [370.0, 1273.0, 1136.0, 36.0], shoonya_0sAK837Z730ND0, 5733561]
[paragraph, [370.0, 1309.0, 1136.0, 36.0], shoonya_0sAK837Z730ND0, 5733561]
[paragraph, [370.0, 1345.0, 1136.0, 36.0], shoonya_0sAK837Z730ND0, 5733561]
[paragraph, [370.0, 1381.0, 1136.0, 36.0], shoonya_0sAK837Z730ND0, 5733561]
[paragraph, [370.0, 1417.0, 1136.0, 36.0], shoonya_0sAK837Z730ND0, 5733561]
[paragraph, [370.0, 1453.0, 1136.0, 36.0], shoonya_0sAK837Z730ND0, 5733561]
[paragraph, [370.0, 1489.0, 1136.0, 36.0], shoonya_0sAK837Z730ND0, 5733561]
[paragraph, [370.0, 1525.0, 1136.0, 36.0], shoonya_0sAK837Z730ND0, 5733561]
[paragraph, [591.0, 1601.0, 599.0, 36.0], shoonya_6sZG1Z99AQL179, 5733561]
[paragraph, [591.0, 1637.0, 599.0, 36.0], shoonya_6sZG1Z99AQL179, 5733561]
[paragraph, [371.0, 1710.0, 1136.0, 36.0], shoonya_3sBLATI3ZVCC6K, 5733561]
[paragraph, [371.0, 1746.0, 1136.0, 36.0], shoonya_3sBLATI3ZVCC6K, 5733561]
[paragraph, [371.0, 1782.0, 1136.0, 36.0], shoonya_3sBLATI3ZVCC6K, 5733561]
[paragraph, [371.0, 1818.0, 1136.0, 36.0], shoonya_3sBLATI3ZVCC6K, 5733561]
[paragraph, [371.0, 1854.0, 1136.0, 36.0], shoonya_3sBLATI3ZVCC6K, 5733561]
[paragraph, [371.0, 1890.0, 1136.0, 36.0], shoonya_3sBLATI3ZVCC6K, 5733561]
[paragraph, [371.0, 1926.0, 1136.0, 36.0], shoonya_3sBLATI3ZVCC6K, 5733561]
[paragraph, [371.0, 1962.0, 1136.0, 36.0], shoonya_3sBLATI3ZVCC6K, 5733561]
[paragraph, [371.0, 1998.0, 1136.0, 36.0], shoonya_3sBLATI3ZVCC6K, 5733561]
[folio, [876.0, 2143.0, 589.0, 36.0], shoonya_4s2955JXE3P5QB, 5733561]
