[3508, 2481]
[contact-info, [537.0, 414.0, 1409.0, 52.5], s-Odj2Ny1K, 6516005]
[contact-info, [537.0, 466.5, 1409.0, 52.5], s-Odj2Ny1K, 6516005]
[contact-info, [537.0, 519.0, 1409.0, 52.5], s-Odj2Ny1K, 6516005]
[contact-info, [537.0, 571.5, 1409.0, 52.5], s-Odj2Ny1K, 6516005]
[section-title, [775.0, 805.0, 875.0, 93.0], taoxbQDAS1, 6516005]
[folio, [595.0, 1078.0, 1271.0, 52.5], _h7btuAJb0, 6516005]
[dateline, [192.0, 1285.0, 453.0, 52.5], Br8PNCF89b, 6516005]
[paragraph, [199.0, 1535.0, 284.0, 52.5], 5TWD1AqlOw, 6516005]
[paragraph, [176.0, 1654.0, 2143.0, 52.5], K8y2X7XcAg, 6516005]
[paragraph, [176.0, 1706.5, 2143.0, 52.5], K8y2X7XcAg, 6516005]
[paragraph, [176.0, 1759.0, 2143.0, 52.5], K8y2X7XcAg, 6516005]
[paragraph, [176.0, 1811.5, 2143.0, 52.5], K8y2X7XcAg, 6516005]
[paragraph, [176.0, 1864.0, 2143.0, 52.5], K8y2X7XcAg, 6516005]
[paragraph, [176.0, 1916.5, 2143.0, 52.5], K8y2X7XcAg, 6516005]
[unordered-list, [268.0, 2061.0, 2020.0, 52.5], QXupKI1F7H, 6516005]
[unordered-list, [268.0, 2113.5, 2020.0, 52.5], QXupKI1F7H, 6516005]
[unordered-list, [268.0, 2166.0, 2020.0, 52.5], QXupKI1F7H, 6516005]
[unordered-list, [268.0, 2218.5, 2020.0, 52.5], QXupKI1F7H, 6516005]
[unordered-list, [268.0, 2271.0, 2020.0, 52.5], QXupKI1F7H, 6516005]
[unordered-list, [268.0, 2323.5, 2020.0, 52.5], QXupKI1F7H, 6516005]
[unordered-list, [268.0, 2376.0, 2020.0, 52.5], QXupKI1F7H, 6516005]
[unordered-list, [268.0, 2428.5, 2020.0, 52.5], QXupKI1F7H, 6516005]
[unordered-list, [268.0, 2481.0, 2020.0, 52.5], QXupKI1F7H, 6516005]
[unordered-list, [268.0, 2533.5, 2020.0, 52.5], QXupKI1F7H, 6516005]
[figure-caption, [1835.0, 2936.0, 437.0, 52.5], VCCzpklVoZ, 6516005]
[figure-caption, [1835.0, 2988.5, 437.0, 52.5], VCCzpklVoZ, 6516005]
[contact-info, [979.0, 3293.0, 499.0, 52.5], 61mt7GhS31, 6516005]
