[5500, 3644]
[folio, [2810.0, 473.0, 273.0, 52.5], E8Mdf5yEJS, 5709673]
[folio, [2810.0, 525.5, 273.0, 52.5], E8Mdf5yEJS, 5709673]
[quote, [391.0, 660.0, 2728.0, 52.5], jxj3nqQKoo, 5709673]
[quote, [391.0, 712.5, 2728.0, 52.5], jxj3nqQKoo, 5709673]
[quote, [391.0, 765.0, 2728.0, 52.5], jxj3nqQKoo, 5709673]
[quote, [391.0, 817.5, 2728.0, 52.5], jxj3nqQKoo, 5709673]
[quote, [391.0, 870.0, 2728.0, 52.5], jxj3nqQKoo, 5709673]
[quote, [391.0, 922.5, 2728.0, 52.5], jxj3nqQKoo, 5709673]
[quote, [391.0, 975.0, 2728.0, 52.5], jxj3nqQKoo, 5709673]
[quote, [391.0, 1027.5, 2728.0, 52.5], jxj3nqQKoo, 5709673]
[quote, [391.0, 1080.0, 2728.0, 52.5], jxj3nqQKoo, 5709673]
[quote, [391.0, 1132.5, 2728.0, 52.5], jxj3nqQKoo, 5709673]
[quote, [391.0, 1185.0, 2728.0, 52.5], jxj3nqQKoo, 5709673]
[quote, [391.0, 1237.5, 2728.0, 52.5], jxj3nqQKoo, 5709673]
[quote, [396.0, 1335.0, 2746.0, 52.5], uFEGhqoNEc, 5709673]
[quote, [396.0, 1387.5, 2746.0, 52.5], uFEGhqoNEc, 5709673]
[quote, [396.0, 1440.0, 2746.0, 52.5], uFEGhqoNEc, 5709673]
[quote, [396.0, 1492.5, 2746.0, 52.5], uFEGhqoNEc, 5709673]
[quote, [396.0, 1545.0, 2746.0, 52.5], uFEGhqoNEc, 5709673]
[quote, [396.0, 1613.0, 2755.0, 52.5], 95txBWcLbA, 5709673]
[quote, [396.0, 1665.5, 2755.0, 52.5], 95txBWcLbA, 5709673]
[quote, [396.0, 1718.0, 2755.0, 52.5], 95txBWcLbA, 5709673]
[quote, [396.0, 1770.5, 2755.0, 52.5], 95txBWcLbA, 5709673]
[quote, [396.0, 1823.0, 2755.0, 52.5], 95txBWcLbA, 5709673]
[quote, [396.0, 1875.5, 2755.0, 52.5], 95txBWcLbA, 5709673]
[quote, [396.0, 1928.0, 2755.0, 52.5], 95txBWcLbA, 5709673]
[quote, [396.0, 1980.5, 2755.0, 52.5], 95txBWcLbA, 5709673]
[quote, [396.0, 2033.0, 2755.0, 52.5], 95txBWcLbA, 5709673]
[quote, [396.0, 2085.5, 2755.0, 52.5], 95txBWcLbA, 5709673]
[quote, [396.0, 2138.0, 2755.0, 52.5], 95txBWcLbA, 5709673]
[paragraph, [391.0, 2251.0, 2420.0, 52.5], g1Q3r_BgSc, 5709673]
[paragraph, [391.0, 2303.5, 2420.0, 52.5], g1Q3r_BgSc, 5709673]
[quote, [400.0, 2392.0, 2710.0, 52.5], 22_pBIse9e, 5709673]
