[2339, 1653]
[folio, [1151.0, 328.0, 264.0, 36.0], ESGR6dEHjs, 5735812]
[sidebar, [1457.0, 1104.0, 131.0, 36.0], shoonya_6sYXDHX1EDGM5A, 5735812]
[figure-caption, [462.0, 1277.0, 738.0, 36.0], shoonya_5sVVTK78243DFV, 5735812]
[paragraph, [835.0, 1322.0, 580.0, 36.0], shoonya_1sCIDCNXO2EC5S, 5735812]
[paragraph, [835.0, 1358.0, 580.0, 36.0], shoonya_1sCIDCNXO2EC5S, 5735812]
[paragraph, [835.0, 1394.0, 580.0, 36.0], shoonya_1sCIDCNXO2EC5S, 5735812]
[paragraph, [835.0, 1430.0, 580.0, 36.0], shoonya_1sCIDCNXO2EC5S, 5735812]
[paragraph, [835.0, 1466.0, 580.0, 36.0], shoonya_1sCIDCNXO2EC5S, 5735812]
[paragraph, [835.0, 1502.0, 580.0, 36.0], shoonya_1sCIDCNXO2EC5S, 5735812]
[paragraph, [835.0, 1538.0, 580.0, 36.0], shoonya_1sCIDCNXO2EC5S, 5735812]
[paragraph, [835.0, 1574.0, 580.0, 36.0], shoonya_1sCIDCNXO2EC5S, 5735812]
[paragraph, [835.0, 1610.0, 580.0, 36.0], shoonya_1sCIDCNXO2EC5S, 5735812]
[paragraph, [835.0, 1646.0, 580.0, 36.0], shoonya_1sCIDCNXO2EC5S, 5735812]
[paragraph, [835.0, 1682.0, 580.0, 36.0], shoonya_1sCIDCNXO2EC5S, 5735812]
[paragraph, [835.0, 1718.0, 580.0, 36.0], shoonya_1sCIDCNXO2EC5S, 5735812]
[paragraph, [835.0, 1754.0, 580.0, 36.0], shoonya_1sCIDCNXO2EC5S, 5735812]
[paragraph, [835.0, 1790.0, 580.0, 36.0], shoonya_1sCIDCNXO2EC5S, 5735812]
[paragraph, [835.0, 1826.0, 580.0, 36.0], shoonya_1sCIDCNXO2EC5S, 5735812]
[paragraph, [835.0, 1862.0, 580.0, 36.0], shoonya_1sCIDCNXO2EC5S, 5735812]
[paragraph, [835.0, 1898.0, 580.0, 36.0], shoonya_1sCIDCNXO2EC5S, 5735812]
[paragraph, [237.0, 1325.0, 579.0, 36.0], shoonya_2sD8PC1A16XS9X, 5735812]
[paragraph, [237.0, 1361.0, 579.0, 36.0], shoonya_2sD8PC1A16XS9X, 5735812]
[paragraph, [237.0, 1397.0, 579.0, 36.0], shoonya_2sD8PC1A16XS9X, 5735812]
[paragraph, [237.0, 1433.0, 579.0, 36.0], shoonya_2sD8PC1A16XS9X, 5735812]
[paragraph, [237.0, 1469.0, 579.0, 36.0], shoonya_2sD8PC1A16XS9X, 5735812]
[paragraph, [237.0, 1505.0, 579.0, 36.0], shoonya_2sD8PC1A16XS9X, 5735812]
[paragraph, [237.0, 1541.0, 579.0, 36.0], shoonya_2sD8PC1A16XS9X, 5735812]
[paragraph, [237.0, 1577.0, 579.0, 36.0], shoonya_2sD8PC1A16XS9X, 5735812]
[paragraph, [237.0, 1613.0, 579.0, 36.0], shoonya_2sD8PC1A16XS9X, 5735812]
[paragraph, [239.0, 1683.0, 581.0, 36.0], shoonya_3sPVCLT939V80F, 5735812]
[paragraph, [239.0, 1719.0, 581.0, 36.0], shoonya_3sPVCLT939V80F, 5735812]
[paragraph, [239.0, 1755.0, 581.0, 36.0], shoonya_3sPVCLT939V80F, 5735812]
[paragraph, [239.0, 1791.0, 581.0, 36.0], shoonya_3sPVCLT939V80F, 5735812]
[paragraph, [239.0, 1827.0, 581.0, 36.0], shoonya_3sPVCLT939V80F, 5735812]
[paragraph, [239.0, 1863.0, 581.0, 36.0], shoonya_3sPVCLT939V80F, 5735812]
[paragraph, [239.0, 1899.0, 581.0, 36.0], shoonya_3sPVCLT939V80F, 5735812]
[folio, [237.0, 1965.0, 233.0, 36.0], d4agmkiNFj, 5735812]
