[1754, 1241]
[paragraph, [289.0, 142.0, 810.0, 36.0], ItPgXOU-Z1, 6471050]
[paragraph, [289.0, 178.0, 810.0, 36.0], ItPgXOU-Z1, 6471050]
[paragraph, [289.0, 214.0, 810.0, 36.0], ItPgXOU-Z1, 6471050]
[paragraph, [289.0, 250.0, 810.0, 36.0], ItPgXOU-Z1, 6471050]
[paragraph, [289.0, 286.0, 810.0, 36.0], ItPgXOU-Z1, 6471050]
[paragraph, [289.0, 322.0, 810.0, 36.0], ItPgXOU-Z1, 6471050]
[paragraph, [216.0, 396.0, 883.0, 36.0], 5h2zF_hWZ3, 6471050]
[paragraph, [216.0, 432.0, 883.0, 36.0], 5h2zF_hWZ3, 6471050]
[paragraph, [216.0, 468.0, 883.0, 36.0], 5h2zF_hWZ3, 6471050]
[paragraph, [216.0, 504.0, 883.0, 36.0], 5h2zF_hWZ3, 6471050]
[paragraph, [216.0, 540.0, 883.0, 36.0], 5h2zF_hWZ3, 6471050]
[paragraph, [216.0, 576.0, 883.0, 36.0], 5h2zF_hWZ3, 6471050]
[section-title, [212.0, 650.0, 892.0, 49.5], ybJcMN0A7R, 6471050]
[section-title, [212.0, 699.5, 892.0, 49.5], ybJcMN0A7R, 6471050]
[paragraph, [213.0, 794.0, 889.0, 36.0], shoonya_0sX9ZEM8307451, 6471050]
[paragraph, [213.0, 830.0, 889.0, 36.0], shoonya_0sX9ZEM8307451, 6471050]
[paragraph, [213.0, 866.0, 889.0, 36.0], shoonya_0sX9ZEM8307451, 6471050]
[paragraph, [213.0, 902.0, 889.0, 36.0], shoonya_0sX9ZEM8307451, 6471050]
[paragraph, [213.0, 938.0, 889.0, 36.0], shoonya_0sX9ZEM8307451, 6471050]
[paragraph, [213.0, 974.0, 889.0, 36.0], shoonya_0sX9ZEM8307451, 6471050]
[paragraph, [213.0, 1010.0, 889.0, 36.0], shoonya_0sX9ZEM8307451, 6471050]
[paragraph, [213.0, 1046.0, 889.0, 36.0], shoonya_0sX9ZEM8307451, 6471050]
[paragraph, [213.0, 1082.0, 889.0, 36.0], shoonya_0sX9ZEM8307451, 6471050]
[paragraph, [213.0, 1118.0, 889.0, 36.0], shoonya_0sX9ZEM8307451, 6471050]
[paragraph, [213.0, 1154.0, 889.0, 36.0], shoonya_0sX9ZEM8307451, 6471050]
[paragraph, [213.0, 1190.0, 889.0, 36.0], shoonya_0sX9ZEM8307451, 6471050]
[paragraph, [213.0, 1226.0, 889.0, 36.0], shoonya_0sX9ZEM8307451, 6471050]
[paragraph, [213.0, 1262.0, 889.0, 36.0], shoonya_0sX9ZEM8307451, 6471050]
[paragraph, [213.0, 1298.0, 889.0, 36.0], shoonya_0sX9ZEM8307451, 6471050]
[paragraph, [215.0, 1382.0, 890.0, 36.0], K_9dHlb5O-, 6471050]
[paragraph, [215.0, 1418.0, 890.0, 36.0], K_9dHlb5O-, 6471050]
[paragraph, [215.0, 1454.0, 890.0, 36.0], K_9dHlb5O-, 6471050]
[footnote, [220.0, 1568.0, 190.0, 36.0], 3MIvaMGLKS, 6471050]
