[842, 595]
[contact-info, [162.0, 54.0, 273.0, 18.0], tZ-YdKxtyl, 5742743]
[contact-info, [162.0, 72.0, 273.0, 18.0], tZ-YdKxtyl, 5742743]
[contact-info, [162.0, 90.0, 273.0, 18.0], tZ-YdKxtyl, 5742743]
[contact-info, [162.0, 108.0, 273.0, 18.0], tZ-YdKxtyl, 5742743]
[contact-info, [162.0, 126.0, 273.0, 18.0], tZ-YdKxtyl, 5742743]
[contact-info, [162.0, 144.0, 273.0, 18.0], tZ-YdKxtyl, 5742743]
[contact-info, [162.0, 162.0, 273.0, 18.0], tZ-YdKxtyl, 5742743]
[contact-info, [162.0, 180.0, 273.0, 18.0], tZ-YdKxtyl, 5742743]
[contact-info, [162.0, 198.0, 273.0, 18.0], tZ-YdKxtyl, 5742743]
[contact-info, [162.0, 216.0, 273.0, 18.0], tZ-YdKxtyl, 5742743]
[contact-info, [162.0, 234.0, 273.0, 18.0], tZ-YdKxtyl, 5742743]
[figure-caption, [124.0, 541.0, 341.0, 18.0], s0kn6vTY5O, 5742743]
[figure-caption, [124.0, 559.0, 341.0, 18.0], s0kn6vTY5O, 5742743]
[figure-caption, [124.0, 577.0, 341.0, 18.0], s0kn6vTY5O, 5742743]
[contact-info, [48.0, 722.0, 500.0, 18.0], 00YRfaV4X0, 5742743]
[contact-info, [48.0, 740.0, 500.0, 18.0], 00YRfaV4X0, 5742743]
[contact-info, [48.0, 758.0, 500.0, 18.0], 00YRfaV4X0, 5742743]
