[2339, 1656]
[paragraph, [184.0, 184.0, 1292.0, 36.0], ByIzsnVnKr, 5752181]
[paragraph, [184.0, 220.0, 1292.0, 36.0], ByIzsnVnKr, 5752181]
[paragraph, [184.0, 256.0, 1292.0, 36.0], ByIzsnVnKr, 5752181]
[paragraph, [184.0, 292.0, 1292.0, 36.0], ByIzsnVnKr, 5752181]
[paragraph, [188.0, 374.0, 1287.0, 36.0], shoonya_3sP4HHJHHURGLJ, 5752181]
[paragraph, [188.0, 410.0, 1287.0, 36.0], shoonya_3sP4HHJHHURGLJ, 5752181]
[paragraph, [188.0, 446.0, 1287.0, 36.0], shoonya_3sP4HHJHHURGLJ, 5752181]
[paragraph, [188.0, 482.0, 1287.0, 36.0], shoonya_3sP4HHJHHURGLJ, 5752181]
[paragraph, [188.0, 518.0, 1287.0, 36.0], shoonya_3sP4HHJHHURGLJ, 5752181]
[paragraph, [188.0, 554.0, 1287.0, 36.0], shoonya_3sP4HHJHHURGLJ, 5752181]
[paragraph, [188.0, 590.0, 1287.0, 36.0], shoonya_3sP4HHJHHURGLJ, 5752181]
[paragraph, [188.0, 626.0, 1287.0, 36.0], shoonya_3sP4HHJHHURGLJ, 5752181]
[paragraph, [188.0, 662.0, 1287.0, 36.0], shoonya_3sP4HHJHHURGLJ, 5752181]
[paragraph, [188.0, 698.0, 1287.0, 36.0], shoonya_3sP4HHJHHURGLJ, 5752181]
[paragraph, [188.0, 734.0, 1287.0, 36.0], shoonya_3sP4HHJHHURGLJ, 5752181]
[paragraph, [188.0, 770.0, 1287.0, 36.0], shoonya_3sP4HHJHHURGLJ, 5752181]
[paragraph, [188.0, 806.0, 1287.0, 36.0], shoonya_3sP4HHJHHURGLJ, 5752181]
[paragraph, [188.0, 842.0, 1287.0, 36.0], shoonya_3sP4HHJHHURGLJ, 5752181]
[paragraph, [185.0, 944.0, 1285.0, 36.0], shoonya_2s6V7XHNQVTJ9Z, 5752181]
[paragraph, [185.0, 980.0, 1285.0, 36.0], shoonya_2s6V7XHNQVTJ9Z, 5752181]
[paragraph, [185.0, 1016.0, 1285.0, 36.0], shoonya_2s6V7XHNQVTJ9Z, 5752181]
[paragraph, [185.0, 1052.0, 1285.0, 36.0], shoonya_2s6V7XHNQVTJ9Z, 5752181]
[paragraph, [185.0, 1088.0, 1285.0, 36.0], shoonya_2s6V7XHNQVTJ9Z, 5752181]
[paragraph, [185.0, 1124.0, 1285.0, 36.0], shoonya_2s6V7XHNQVTJ9Z, 5752181]
[paragraph, [185.0, 1160.0, 1285.0, 36.0], shoonya_2s6V7XHNQVTJ9Z, 5752181]
[paragraph, [185.0, 1196.0, 1285.0, 36.0], shoonya_2s6V7XHNQVTJ9Z, 5752181]
[paragraph, [185.0, 1232.0, 1285.0, 36.0], shoonya_2s6V7XHNQVTJ9Z, 5752181]
[paragraph, [185.0, 1268.0, 1285.0, 36.0], shoonya_2s6V7XHNQVTJ9Z, 5752181]
[paragraph, [183.0, 1361.0, 1288.0, 36.0], shoonya_0s40E59JLAT9AB, 5752181]
[paragraph, [183.0, 1397.0, 1288.0, 36.0], shoonya_0s40E59JLAT9AB, 5752181]
[paragraph, [183.0, 1433.0, 1288.0, 36.0], shoonya_0s40E59JLAT9AB, 5752181]
[paragraph, [183.0, 1469.0, 1288.0, 36.0], shoonya_0s40E59JLAT9AB, 5752181]
[paragraph, [183.0, 1505.0, 1288.0, 36.0], shoonya_0s40E59JLAT9AB, 5752181]
[paragraph, [183.0, 1541.0, 1288.0, 36.0], shoonya_0s40E59JLAT9AB, 5752181]
[paragraph, [183.0, 1577.0, 1288.0, 36.0], shoonya_0s40E59JLAT9AB, 5752181]
[paragraph, [183.0, 1613.0, 1288.0, 36.0], shoonya_0s40E59JLAT9AB, 5752181]
[paragraph, [183.0, 1649.0, 1288.0, 36.0], shoonya_0s40E59JLAT9AB, 5752181]
[paragraph, [183.0, 1685.0, 1288.0, 36.0], shoonya_0s40E59JLAT9AB, 5752181]
[paragraph, [183.0, 1721.0, 1288.0, 36.0], shoonya_0s40E59JLAT9AB, 5752181]
[paragraph, [183.0, 1757.0, 1288.0, 36.0], shoonya_0s40E59JLAT9AB, 5752181]
[paragraph, [183.0, 1793.0, 1288.0, 36.0], shoonya_0s40E59JLAT9AB, 5752181]
[paragraph, [183.0, 1829.0, 1288.0, 36.0], shoonya_0s40E59JLAT9AB, 5752181]
[paragraph, [183.0, 1865.0, 1288.0, 36.0], shoonya_0s40E59JLAT9AB, 5752181]
[paragraph, [183.0, 1901.0, 1288.0, 36.0], shoonya_0s40E59JLAT9AB, 5752181]
[folio, [296.0, 2152.0, 479.0, 36.0], jo12JEbAAS, 5752181]
