[1387, 987]
[paragraph, [87.0, 97.0, 768.0, 18.0], shoonya_0sDKKZDE9IPS4O, 5652788]
[paragraph, [87.0, 115.0, 768.0, 18.0], shoonya_0sDKKZDE9IPS4O, 5652788]
[paragraph, [87.0, 133.0, 768.0, 18.0], shoonya_0sDKKZDE9IPS4O, 5652788]
[paragraph, [87.0, 151.0, 768.0, 18.0], shoonya_0sDKKZDE9IPS4O, 5652788]
[paragraph, [87.0, 169.0, 768.0, 18.0], shoonya_0sDKKZDE9IPS4O, 5652788]
[paragraph, [87.0, 187.0, 768.0, 18.0], shoonya_0sDKKZDE9IPS4O, 5652788]
[paragraph, [82.0, 217.0, 760.0, 18.0], OqiNoBBIK-, 5652788]
[paragraph, [82.0, 235.0, 760.0, 18.0], OqiNoBBIK-, 5652788]
[paragraph, [82.0, 253.0, 760.0, 18.0], OqiNoBBIK-, 5652788]
[paragraph, [82.0, 271.0, 760.0, 18.0], OqiNoBBIK-, 5652788]
[paragraph, [82.0, 289.0, 760.0, 18.0], OqiNoBBIK-, 5652788]
[paragraph, [82.0, 307.0, 760.0, 18.0], OqiNoBBIK-, 5652788]
[paragraph, [88.0, 347.0, 797.0, 18.0], shoonya_2sA1RJABMSP4O8, 5652788]
[paragraph, [88.0, 365.0, 797.0, 18.0], shoonya_2sA1RJABMSP4O8, 5652788]
[paragraph, [88.0, 383.0, 797.0, 18.0], shoonya_2sA1RJABMSP4O8, 5652788]
[paragraph, [88.0, 401.0, 797.0, 18.0], shoonya_2sA1RJABMSP4O8, 5652788]
[paragraph, [88.0, 419.0, 797.0, 18.0], shoonya_2sA1RJABMSP4O8, 5652788]
[paragraph, [88.0, 437.0, 797.0, 18.0], shoonya_2sA1RJABMSP4O8, 5652788]
[paragraph, [88.0, 455.0, 797.0, 18.0], shoonya_2sA1RJABMSP4O8, 5652788]
[paragraph, [88.0, 473.0, 797.0, 18.0], shoonya_2sA1RJABMSP4O8, 5652788]
[paragraph, [88.0, 491.0, 797.0, 18.0], shoonya_2sA1RJABMSP4O8, 5652788]
[paragraph, [90.0, 529.0, 779.0, 18.0], TetYMVJijz, 5652788]
[paragraph, [90.0, 547.0, 779.0, 18.0], TetYMVJijz, 5652788]
[paragraph, [90.0, 565.0, 779.0, 18.0], TetYMVJijz, 5652788]
[paragraph, [90.0, 583.0, 779.0, 18.0], TetYMVJijz, 5652788]
[paragraph, [90.0, 601.0, 779.0, 18.0], TetYMVJijz, 5652788]
[paragraph, [88.0, 652.0, 808.0, 18.0], shoonya_1sOXP95I9GKMD9, 5652788]
[paragraph, [88.0, 670.0, 808.0, 18.0], shoonya_1sOXP95I9GKMD9, 5652788]
[paragraph, [88.0, 688.0, 808.0, 18.0], shoonya_1sOXP95I9GKMD9, 5652788]
[paragraph, [88.0, 706.0, 808.0, 18.0], shoonya_1sOXP95I9GKMD9, 5652788]
[paragraph, [88.0, 724.0, 808.0, 18.0], shoonya_1sOXP95I9GKMD9, 5652788]
[paragraph, [88.0, 742.0, 808.0, 18.0], shoonya_1sOXP95I9GKMD9, 5652788]
[paragraph, [88.0, 760.0, 808.0, 18.0], shoonya_1sOXP95I9GKMD9, 5652788]
[paragraph, [88.0, 778.0, 808.0, 18.0], shoonya_1sOXP95I9GKMD9, 5652788]
[paragraph, [88.0, 796.0, 808.0, 18.0], shoonya_1sOXP95I9GKMD9, 5652788]
[paragraph, [88.0, 814.0, 808.0, 18.0], shoonya_1sOXP95I9GKMD9, 5652788]
[paragraph, [88.0, 832.0, 808.0, 18.0], shoonya_1sOXP95I9GKMD9, 5652788]
[paragraph, [88.0, 850.0, 808.0, 18.0], shoonya_1sOXP95I9GKMD9, 5652788]
[paragraph, [88.0, 868.0, 808.0, 18.0], shoonya_1sOXP95I9GKMD9, 5652788]
[paragraph, [88.0, 886.0, 808.0, 18.0], shoonya_1sOXP95I9GKMD9, 5652788]
[paragraph, [88.0, 904.0, 808.0, 18.0], shoonya_1sOXP95I9GKMD9, 5652788]
[paragraph, [88.0, 922.0, 808.0, 18.0], shoonya_1sOXP95I9GKMD9, 5652788]
[paragraph, [88.0, 940.0, 808.0, 18.0], shoonya_1sOXP95I9GKMD9, 5652788]
[paragraph, [88.0, 958.0, 808.0, 18.0], shoonya_1sOXP95I9GKMD9, 5652788]
[paragraph, [88.0, 976.0, 808.0, 18.0], shoonya_1sOXP95I9GKMD9, 5652788]
[paragraph, [88.0, 994.0, 808.0, 18.0], shoonya_1sOXP95I9GKMD9, 5652788]
[paragraph, [88.0, 1012.0, 808.0, 18.0], shoonya_1sOXP95I9GKMD9, 5652788]
[paragraph, [88.0, 1030.0, 808.0, 18.0], shoonya_1sOXP95I9GKMD9, 5652788]
[paragraph, [88.0, 1048.0, 808.0, 18.0], shoonya_1sOXP95I9GKMD9, 5652788]
[paragraph, [88.0, 1066.0, 808.0, 18.0], shoonya_1sOXP95I9GKMD9, 5652788]
[paragraph, [88.0, 1084.0, 808.0, 18.0], shoonya_1sOXP95I9GKMD9, 5652788]
