[842, 595]
[folio, [175.0, 58.0, 252.0, 18.0], shoonya_2sNCJUW7UWB14E, 5772348]
[paragraph, [103.0, 118.0, 317.0, 18.0], 5Yj2ZEfV9h, 5772348]
[unordered-list, [83.0, 142.0, 459.0, 18.0], hYKZbZAn67, 5772348]
[unordered-list, [83.0, 160.0, 459.0, 18.0], hYKZbZAn67, 5772348]
[unordered-list, [83.0, 178.0, 459.0, 18.0], hYKZbZAn67, 5772348]
[unordered-list, [83.0, 196.0, 459.0, 18.0], hYKZbZAn67, 5772348]
[unordered-list, [83.0, 214.0, 459.0, 18.0], hYKZbZAn67, 5772348]
[unordered-list, [83.0, 232.0, 459.0, 18.0], hYKZbZAn67, 5772348]
[unordered-list, [83.0, 250.0, 459.0, 18.0], hYKZbZAn67, 5772348]
[unordered-list, [83.0, 268.0, 459.0, 18.0], hYKZbZAn67, 5772348]
[unordered-list, [83.0, 286.0, 459.0, 18.0], hYKZbZAn67, 5772348]
[unordered-list, [83.0, 304.0, 459.0, 18.0], hYKZbZAn67, 5772348]
[unordered-list, [83.0, 322.0, 459.0, 18.0], hYKZbZAn67, 5772348]
[unordered-list, [83.0, 340.0, 459.0, 18.0], hYKZbZAn67, 5772348]
[unordered-list, [83.0, 358.0, 459.0, 18.0], hYKZbZAn67, 5772348]
[unordered-list, [83.0, 376.0, 459.0, 18.0], hYKZbZAn67, 5772348]
[unordered-list, [83.0, 394.0, 459.0, 18.0], hYKZbZAn67, 5772348]
[unordered-list, [83.0, 412.0, 459.0, 18.0], hYKZbZAn67, 5772348]
[unordered-list, [83.0, 430.0, 459.0, 18.0], hYKZbZAn67, 5772348]
[unordered-list, [83.0, 448.0, 459.0, 18.0], hYKZbZAn67, 5772348]
[unordered-list, [83.0, 466.0, 459.0, 18.0], hYKZbZAn67, 5772348]
[unordered-list, [83.0, 484.0, 459.0, 18.0], hYKZbZAn67, 5772348]
[unordered-list, [83.0, 502.0, 459.0, 18.0], hYKZbZAn67, 5772348]
[unordered-list, [83.0, 520.0, 459.0, 18.0], hYKZbZAn67, 5772348]
[unordered-list, [83.0, 538.0, 459.0, 18.0], hYKZbZAn67, 5772348]
[unordered-list, [83.0, 556.0, 459.0, 18.0], hYKZbZAn67, 5772348]
[unordered-list, [83.0, 574.0, 459.0, 18.0], hYKZbZAn67, 5772348]
[unordered-list, [83.0, 592.0, 459.0, 18.0], hYKZbZAn67, 5772348]
[unordered-list, [83.0, 610.0, 459.0, 18.0], hYKZbZAn67, 5772348]
[unordered-list, [83.0, 628.0, 459.0, 18.0], hYKZbZAn67, 5772348]
[unordered-list, [83.0, 646.0, 459.0, 18.0], hYKZbZAn67, 5772348]
[unordered-list, [83.0, 664.0, 459.0, 18.0], hYKZbZAn67, 5772348]
[unordered-list, [83.0, 682.0, 459.0, 18.0], hYKZbZAn67, 5772348]
[unordered-list, [83.0, 700.0, 459.0, 18.0], hYKZbZAn67, 5772348]
[ordered-list, [101.0, 212.0, 436.0, 18.0], 7WlAnaYI9M, 5772348]
[ordered-list, [101.0, 230.0, 436.0, 18.0], 7WlAnaYI9M, 5772348]
[ordered-list, [101.0, 248.0, 436.0, 18.0], 7WlAnaYI9M, 5772348]
[ordered-list, [101.0, 266.0, 436.0, 18.0], 7WlAnaYI9M, 5772348]
[ordered-list, [101.0, 284.0, 436.0, 18.0], 7WlAnaYI9M, 5772348]
[ordered-list, [101.0, 302.0, 436.0, 18.0], 7WlAnaYI9M, 5772348]
[ordered-list, [101.0, 320.0, 436.0, 18.0], 7WlAnaYI9M, 5772348]
[ordered-list, [101.0, 338.0, 436.0, 18.0], 7WlAnaYI9M, 5772348]
[ordered-list, [101.0, 356.0, 436.0, 18.0], 7WlAnaYI9M, 5772348]
[ordered-list, [101.0, 374.0, 436.0, 18.0], 7WlAnaYI9M, 5772348]
[ordered-list, [101.0, 392.0, 436.0, 18.0], 7WlAnaYI9M, 5772348]
[ordered-list, [101.0, 410.0, 436.0, 18.0], 7WlAnaYI9M, 5772348]
[ordered-list, [101.0, 428.0, 436.0, 18.0], 7WlAnaYI9M, 5772348]
[ordered-list, [101.0, 446.0, 436.0, 18.0], 7WlAnaYI9M, 5772348]
[ordered-list, [101.0, 464.0, 436.0, 18.0], 7WlAnaYI9M, 5772348]
[ordered-list, [101.0, 482.0, 436.0, 18.0], 7WlAnaYI9M, 5772348]
[ordered-list, [101.0, 500.0, 436.0, 18.0], 7WlAnaYI9M, 5772348]
[ordered-list, [101.0, 518.0, 436.0, 18.0], 7WlAnaYI9M, 5772348]
[ordered-list, [101.0, 536.0, 436.0, 18.0], 7WlAnaYI9M, 5772348]
[ordered-list, [101.0, 554.0, 436.0, 18.0], 7WlAnaYI9M, 5772348]
[ordered-list, [101.0, 572.0, 436.0, 18.0], 7WlAnaYI9M, 5772348]
[ordered-list, [101.0, 590.0, 436.0, 18.0], 7WlAnaYI9M, 5772348]
[ordered-list, [101.0, 608.0, 436.0, 18.0], 7WlAnaYI9M, 5772348]
[ordered-list, [101.0, 626.0, 436.0, 18.0], 7WlAnaYI9M, 5772348]
[ordered-list, [101.0, 644.0, 436.0, 18.0], 7WlAnaYI9M, 5772348]
[ordered-list, [101.0, 662.0, 436.0, 18.0], 7WlAnaYI9M, 5772348]
