[1625, 1211]
[headline, [119.0, 78.0, 613.0, 37.5], mECBH6nggG, 5742748]
[headline, [119.0, 115.5, 613.0, 37.5], mECBH6nggG, 5742748]
[section-title, [809.0, 92.0, 325.0, 49.5], w6ycEqZcoR, 5742748]
[section-title, [809.0, 141.5, 325.0, 49.5], w6ycEqZcoR, 5742748]
[sub-headline, [115.0, 200.0, 607.0, 36.0], EmX2TGZXKj, 5742748]
[sub-section-title, [843.0, 251.0, 263.0, 36.0], shoonya_3s4WBW6KAH267H, 5742748]
[paragraph, [428.0, 266.0, 342.0, 36.0], y2CN6Wv9hP, 5742748]
[paragraph, [428.0, 302.0, 342.0, 36.0], y2CN6Wv9hP, 5742748]
[paragraph, [428.0, 338.0, 342.0, 36.0], y2CN6Wv9hP, 5742748]
[paragraph, [428.0, 374.0, 342.0, 36.0], y2CN6Wv9hP, 5742748]
[paragraph, [428.0, 410.0, 342.0, 36.0], y2CN6Wv9hP, 5742748]
[paragraph, [428.0, 446.0, 342.0, 36.0], y2CN6Wv9hP, 5742748]
[paragraph, [428.0, 482.0, 342.0, 36.0], y2CN6Wv9hP, 5742748]
[paragraph, [428.0, 518.0, 342.0, 36.0], y2CN6Wv9hP, 5742748]
[paragraph, [428.0, 554.0, 342.0, 36.0], y2CN6Wv9hP, 5742748]
[paragraph, [65.0, 298.0, 353.0, 36.0], b0Zgm1LsAa, 5742748]
[paragraph, [65.0, 334.0, 353.0, 36.0], b0Zgm1LsAa, 5742748]
[paragraph, [65.0, 370.0, 353.0, 36.0], b0Zgm1LsAa, 5742748]
[paragraph, [65.0, 406.0, 353.0, 36.0], b0Zgm1LsAa, 5742748]
[paragraph, [65.0, 442.0, 353.0, 36.0], b0Zgm1LsAa, 5742748]
[paragraph, [65.0, 478.0, 353.0, 36.0], b0Zgm1LsAa, 5742748]
[paragraph, [793.0, 377.0, 344.0, 36.0], shoonya_0sS7E5IQ8RASSD, 5742748]
[paragraph, [793.0, 413.0, 344.0, 36.0], shoonya_0sS7E5IQ8RASSD, 5742748]
