[2084, 1289]
[paragraph, [126.0, 260.0, 1037.0, 36.0], shoonya_2sXV6LGF0W3UCE, 5660623]
[paragraph, [126.0, 296.0, 1037.0, 36.0], shoonya_2sXV6LGF0W3UCE, 5660623]
[paragraph, [126.0, 332.0, 1037.0, 36.0], shoonya_2sXV6LGF0W3UCE, 5660623]
[paragraph, [126.0, 368.0, 1037.0, 36.0], shoonya_2sXV6LGF0W3UCE, 5660623]
[paragraph, [126.0, 404.0, 1037.0, 36.0], shoonya_2sXV6LGF0W3UCE, 5660623]
[paragraph, [126.0, 440.0, 1037.0, 36.0], shoonya_2sXV6LGF0W3UCE, 5660623]
[paragraph, [126.0, 476.0, 1037.0, 36.0], shoonya_2sXV6LGF0W3UCE, 5660623]
[paragraph, [126.0, 512.0, 1037.0, 36.0], shoonya_2sXV6LGF0W3UCE, 5660623]
[paragraph, [126.0, 548.0, 1037.0, 36.0], shoonya_2sXV6LGF0W3UCE, 5660623]
[paragraph, [126.0, 584.0, 1037.0, 36.0], shoonya_2sXV6LGF0W3UCE, 5660623]
[paragraph, [126.0, 620.0, 1037.0, 36.0], shoonya_2sXV6LGF0W3UCE, 5660623]
[paragraph, [126.0, 656.0, 1037.0, 36.0], shoonya_2sXV6LGF0W3UCE, 5660623]
[ordered-list, [104.0, 725.0, 1073.0, 36.0], shoonya_0sJWS4WEC0K7T9, 5660623]
[ordered-list, [104.0, 761.0, 1073.0, 36.0], shoonya_0sJWS4WEC0K7T9, 5660623]
[ordered-list, [104.0, 797.0, 1073.0, 36.0], shoonya_0sJWS4WEC0K7T9, 5660623]
[ordered-list, [104.0, 833.0, 1073.0, 36.0], shoonya_0sJWS4WEC0K7T9, 5660623]
[ordered-list, [104.0, 869.0, 1073.0, 36.0], shoonya_0sJWS4WEC0K7T9, 5660623]
[ordered-list, [104.0, 905.0, 1073.0, 36.0], shoonya_0sJWS4WEC0K7T9, 5660623]
[ordered-list, [104.0, 941.0, 1073.0, 36.0], shoonya_0sJWS4WEC0K7T9, 5660623]
[ordered-list, [104.0, 977.0, 1073.0, 36.0], shoonya_0sJWS4WEC0K7T9, 5660623]
[ordered-list, [104.0, 1013.0, 1073.0, 36.0], shoonya_0sJWS4WEC0K7T9, 5660623]
[ordered-list, [104.0, 1049.0, 1073.0, 36.0], shoonya_0sJWS4WEC0K7T9, 5660623]
[ordered-list, [104.0, 1085.0, 1073.0, 36.0], shoonya_0sJWS4WEC0K7T9, 5660623]
[ordered-list, [104.0, 1121.0, 1073.0, 36.0], shoonya_0sJWS4WEC0K7T9, 5660623]
[ordered-list, [104.0, 1157.0, 1073.0, 36.0], shoonya_0sJWS4WEC0K7T9, 5660623]
[ordered-list, [104.0, 1193.0, 1073.0, 36.0], shoonya_0sJWS4WEC0K7T9, 5660623]
[ordered-list, [104.0, 1229.0, 1073.0, 36.0], shoonya_0sJWS4WEC0K7T9, 5660623]
[ordered-list, [104.0, 1265.0, 1073.0, 36.0], shoonya_0sJWS4WEC0K7T9, 5660623]
[ordered-list, [104.0, 1301.0, 1073.0, 36.0], shoonya_0sJWS4WEC0K7T9, 5660623]
[ordered-list, [104.0, 1337.0, 1073.0, 36.0], shoonya_0sJWS4WEC0K7T9, 5660623]
[ordered-list, [104.0, 1373.0, 1073.0, 36.0], shoonya_0sJWS4WEC0K7T9, 5660623]
[ordered-list, [104.0, 1409.0, 1073.0, 36.0], shoonya_0sJWS4WEC0K7T9, 5660623]
[ordered-list, [104.0, 1445.0, 1073.0, 36.0], shoonya_0sJWS4WEC0K7T9, 5660623]
[ordered-list, [104.0, 1481.0, 1073.0, 36.0], shoonya_0sJWS4WEC0K7T9, 5660623]
[ordered-list, [104.0, 1517.0, 1073.0, 36.0], shoonya_0sJWS4WEC0K7T9, 5660623]
[ordered-list, [104.0, 1553.0, 1073.0, 36.0], shoonya_0sJWS4WEC0K7T9, 5660623]
[ordered-list, [104.0, 1589.0, 1073.0, 36.0], shoonya_0sJWS4WEC0K7T9, 5660623]
[ordered-list, [104.0, 1625.0, 1073.0, 36.0], shoonya_0sJWS4WEC0K7T9, 5660623]
[ordered-list, [104.0, 1661.0, 1073.0, 36.0], shoonya_0sJWS4WEC0K7T9, 5660623]
[ordered-list, [104.0, 1697.0, 1073.0, 36.0], shoonya_0sJWS4WEC0K7T9, 5660623]
[ordered-list, [104.0, 1733.0, 1073.0, 36.0], shoonya_0sJWS4WEC0K7T9, 5660623]
[ordered-list, [104.0, 1769.0, 1073.0, 36.0], shoonya_0sJWS4WEC0K7T9, 5660623]
[ordered-list, [104.0, 1805.0, 1073.0, 36.0], shoonya_0sJWS4WEC0K7T9, 5660623]
[ordered-list, [104.0, 1841.0, 1073.0, 36.0], shoonya_0sJWS4WEC0K7T9, 5660623]
[folio, [638.0, 1938.0, 650.0, 36.0], shoonya_1s04UZ89IG1CH7, 5660623]
[folio, [638.0, 1974.0, 650.0, 36.0], shoonya_1s04UZ89IG1CH7, 5660623]
