[2339, 1653]
[paragraph, [244.0, 239.0, 1157.0, 36.0], shoonya_1sIHUGKEWQYORW, 5686648]
[paragraph, [244.0, 275.0, 1157.0, 36.0], shoonya_1sIHUGKEWQYORW, 5686648]
[paragraph, [244.0, 311.0, 1157.0, 36.0], shoonya_1sIHUGKEWQYORW, 5686648]
[paragraph, [244.0, 347.0, 1157.0, 36.0], shoonya_1sIHUGKEWQYORW, 5686648]
[paragraph, [244.0, 383.0, 1157.0, 36.0], shoonya_1sIHUGKEWQYORW, 5686648]
[paragraph, [244.0, 419.0, 1157.0, 36.0], shoonya_1sIHUGKEWQYORW, 5686648]
[paragraph, [244.0, 455.0, 1157.0, 36.0], shoonya_1sIHUGKEWQYORW, 5686648]
[paragraph, [244.0, 491.0, 1157.0, 36.0], shoonya_1sIHUGKEWQYORW, 5686648]
[paragraph, [244.0, 527.0, 1157.0, 36.0], shoonya_1sIHUGKEWQYORW, 5686648]
[paragraph, [244.0, 563.0, 1157.0, 36.0], shoonya_1sIHUGKEWQYORW, 5686648]
[paragraph, [244.0, 599.0, 1157.0, 36.0], shoonya_1sIHUGKEWQYORW, 5686648]
[paragraph, [447.0, 656.0, 956.0, 36.0], shoonya_4sLOZ0O9QY642L, 5686648]
[paragraph, [447.0, 692.0, 956.0, 36.0], shoonya_4sLOZ0O9QY642L, 5686648]
[paragraph, [447.0, 728.0, 956.0, 36.0], shoonya_4sLOZ0O9QY642L, 5686648]
[paragraph, [247.0, 787.0, 1156.0, 36.0], shoonya_0sZ2KKQABMBD0D, 5686648]
[paragraph, [247.0, 823.0, 1156.0, 36.0], shoonya_0sZ2KKQABMBD0D, 5686648]
[paragraph, [247.0, 859.0, 1156.0, 36.0], shoonya_0sZ2KKQABMBD0D, 5686648]
[paragraph, [247.0, 895.0, 1156.0, 36.0], shoonya_0sZ2KKQABMBD0D, 5686648]
[paragraph, [247.0, 931.0, 1156.0, 36.0], shoonya_0sZ2KKQABMBD0D, 5686648]
[paragraph, [247.0, 967.0, 1156.0, 36.0], shoonya_0sZ2KKQABMBD0D, 5686648]
[paragraph, [247.0, 1003.0, 1156.0, 36.0], shoonya_0sZ2KKQABMBD0D, 5686648]
[paragraph, [247.0, 1039.0, 1156.0, 36.0], shoonya_0sZ2KKQABMBD0D, 5686648]
[paragraph, [247.0, 1075.0, 1156.0, 36.0], shoonya_0sZ2KKQABMBD0D, 5686648]
[paragraph, [247.0, 1111.0, 1156.0, 36.0], shoonya_0sZ2KKQABMBD0D, 5686648]
[paragraph, [247.0, 1147.0, 1156.0, 36.0], shoonya_0sZ2KKQABMBD0D, 5686648]
[paragraph, [247.0, 1183.0, 1156.0, 36.0], shoonya_0sZ2KKQABMBD0D, 5686648]
[paragraph, [247.0, 1219.0, 1156.0, 36.0], shoonya_0sZ2KKQABMBD0D, 5686648]
[paragraph, [252.0, 1276.0, 1152.0, 36.0], MzmfGNVPC8, 5686648]
[paragraph, [252.0, 1312.0, 1152.0, 36.0], MzmfGNVPC8, 5686648]
[paragraph, [252.0, 1348.0, 1152.0, 36.0], MzmfGNVPC8, 5686648]
[paragraph, [446.0, 1409.0, 962.0, 36.0], WHphBi7ds-, 5686648]
[paragraph, [446.0, 1445.0, 962.0, 36.0], WHphBi7ds-, 5686648]
[paragraph, [446.0, 1481.0, 962.0, 36.0], WHphBi7ds-, 5686648]
[paragraph, [446.0, 1517.0, 962.0, 36.0], WHphBi7ds-, 5686648]
[paragraph, [446.0, 1553.0, 962.0, 36.0], WHphBi7ds-, 5686648]
[paragraph, [446.0, 1589.0, 962.0, 36.0], WHphBi7ds-, 5686648]
[paragraph, [446.0, 1625.0, 962.0, 36.0], WHphBi7ds-, 5686648]
[paragraph, [446.0, 1661.0, 962.0, 36.0], WHphBi7ds-, 5686648]
[paragraph, [446.0, 1697.0, 962.0, 36.0], WHphBi7ds-, 5686648]
[paragraph, [251.0, 1771.0, 1151.0, 36.0], shoonya_6sWN07AUZ9BROT, 5686648]
[paragraph, [251.0, 1807.0, 1151.0, 36.0], shoonya_6sWN07AUZ9BROT, 5686648]
[paragraph, [251.0, 1843.0, 1151.0, 36.0], shoonya_6sWN07AUZ9BROT, 5686648]
[paragraph, [251.0, 1879.0, 1151.0, 36.0], shoonya_6sWN07AUZ9BROT, 5686648]
[paragraph, [251.0, 1915.0, 1151.0, 36.0], shoonya_6sWN07AUZ9BROT, 5686648]
[reference, [251.0, 2010.0, 614.0, 36.0], shoonya_2sEHE1PWGWVBGR, 5686648]
[reference, [251.0, 2046.0, 614.0, 36.0], shoonya_2sEHE1PWGWVBGR, 5686648]
