[1818, 1374]
[folio, [488.0, 120.0, 398.0, 36.0], shoonya_3s2CYPX8NLL57Q, 5682898]
[paragraph, [109.0, 185.0, 566.0, 36.0], 2PNH8wU4tu, 5682898]
[paragraph, [109.0, 221.0, 566.0, 36.0], 2PNH8wU4tu, 5682898]
[paragraph, [109.0, 257.0, 566.0, 36.0], 2PNH8wU4tu, 5682898]
[paragraph, [700.0, 189.0, 563.0, 36.0], ti0u2iF7BX, 5682898]
[paragraph, [700.0, 225.0, 563.0, 36.0], ti0u2iF7BX, 5682898]
[paragraph, [700.0, 261.0, 563.0, 36.0], ti0u2iF7BX, 5682898]
[paragraph, [700.0, 297.0, 563.0, 36.0], ti0u2iF7BX, 5682898]
[paragraph, [700.0, 333.0, 563.0, 36.0], ti0u2iF7BX, 5682898]
[paragraph, [700.0, 369.0, 563.0, 36.0], ti0u2iF7BX, 5682898]
[paragraph, [700.0, 405.0, 563.0, 36.0], ti0u2iF7BX, 5682898]
[paragraph, [700.0, 441.0, 563.0, 36.0], ti0u2iF7BX, 5682898]
[paragraph, [700.0, 477.0, 563.0, 36.0], ti0u2iF7BX, 5682898]
[paragraph, [700.0, 513.0, 563.0, 36.0], ti0u2iF7BX, 5682898]
[paragraph, [700.0, 549.0, 563.0, 36.0], ti0u2iF7BX, 5682898]
[paragraph, [700.0, 585.0, 563.0, 36.0], ti0u2iF7BX, 5682898]
[paragraph, [700.0, 621.0, 563.0, 36.0], ti0u2iF7BX, 5682898]
[paragraph, [700.0, 657.0, 563.0, 36.0], ti0u2iF7BX, 5682898]
[paragraph, [700.0, 693.0, 563.0, 36.0], ti0u2iF7BX, 5682898]
[paragraph, [700.0, 729.0, 563.0, 36.0], ti0u2iF7BX, 5682898]
[paragraph, [700.0, 765.0, 563.0, 36.0], ti0u2iF7BX, 5682898]
[paragraph, [700.0, 801.0, 563.0, 36.0], ti0u2iF7BX, 5682898]
[paragraph, [700.0, 837.0, 563.0, 36.0], ti0u2iF7BX, 5682898]
[paragraph, [159.0, 317.0, 437.0, 36.0], t3iRhtq71N, 5682898]
[paragraph, [111.0, 359.0, 568.0, 36.0], oJyarOmmg-, 5682898]
[paragraph, [111.0, 395.0, 568.0, 36.0], oJyarOmmg-, 5682898]
[paragraph, [111.0, 431.0, 568.0, 36.0], oJyarOmmg-, 5682898]
[paragraph, [113.0, 486.0, 570.0, 36.0], S8Pj-yancr, 5682898]
[paragraph, [113.0, 522.0, 570.0, 36.0], S8Pj-yancr, 5682898]
[paragraph, [120.0, 571.0, 558.0, 36.0], shoonya_0s4TNBVCQ8PJNR, 5682898]
[paragraph, [120.0, 607.0, 558.0, 36.0], shoonya_0s4TNBVCQ8PJNR, 5682898]
[paragraph, [120.0, 643.0, 558.0, 36.0], shoonya_0s4TNBVCQ8PJNR, 5682898]
[paragraph, [120.0, 679.0, 558.0, 36.0], shoonya_0s4TNBVCQ8PJNR, 5682898]
[paragraph, [120.0, 715.0, 558.0, 36.0], shoonya_0s4TNBVCQ8PJNR, 5682898]
[paragraph, [120.0, 751.0, 558.0, 36.0], shoonya_0s4TNBVCQ8PJNR, 5682898]
[paragraph, [120.0, 787.0, 558.0, 36.0], shoonya_0s4TNBVCQ8PJNR, 5682898]
[paragraph, [120.0, 823.0, 558.0, 36.0], shoonya_0s4TNBVCQ8PJNR, 5682898]
[paragraph, [120.0, 859.0, 558.0, 36.0], shoonya_0s4TNBVCQ8PJNR, 5682898]
[paragraph, [120.0, 895.0, 558.0, 36.0], shoonya_0s4TNBVCQ8PJNR, 5682898]
[paragraph, [120.0, 931.0, 558.0, 36.0], shoonya_0s4TNBVCQ8PJNR, 5682898]
[paragraph, [120.0, 967.0, 558.0, 36.0], shoonya_0s4TNBVCQ8PJNR, 5682898]
[paragraph, [120.0, 1003.0, 558.0, 36.0], shoonya_0s4TNBVCQ8PJNR, 5682898]
[paragraph, [120.0, 1039.0, 558.0, 36.0], shoonya_0s4TNBVCQ8PJNR, 5682898]
[paragraph, [120.0, 1075.0, 558.0, 36.0], shoonya_0s4TNBVCQ8PJNR, 5682898]
[paragraph, [120.0, 1111.0, 558.0, 36.0], shoonya_0s4TNBVCQ8PJNR, 5682898]
[paragraph, [120.0, 1147.0, 558.0, 36.0], shoonya_0s4TNBVCQ8PJNR, 5682898]
[paragraph, [120.0, 1183.0, 558.0, 36.0], shoonya_0s4TNBVCQ8PJNR, 5682898]
[paragraph, [120.0, 1219.0, 558.0, 36.0], shoonya_0s4TNBVCQ8PJNR, 5682898]
[paragraph, [120.0, 1255.0, 558.0, 36.0], shoonya_0s4TNBVCQ8PJNR, 5682898]
