[2200, 1700]
[paragraph, [307.0, 70.0, 1094.0, 36.0], shoonya_1s2BRWZ1A86NNR, 5731627]
[paragraph, [307.0, 106.0, 1094.0, 36.0], shoonya_1s2BRWZ1A86NNR, 5731627]
[paragraph, [307.0, 142.0, 1094.0, 36.0], shoonya_1s2BRWZ1A86NNR, 5731627]
[paragraph, [307.0, 178.0, 1094.0, 36.0], shoonya_1s2BRWZ1A86NNR, 5731627]
[paragraph, [304.0, 240.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 276.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 312.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 348.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 384.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 420.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 456.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 492.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 528.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 564.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 600.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 636.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 672.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 708.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 744.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 780.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 816.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 852.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 888.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 924.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 960.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 996.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 1032.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 1068.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 1104.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 1140.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 1176.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 1212.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 1248.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 1284.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 1320.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 1356.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 1392.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 1428.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 1464.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 1500.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 1536.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 1572.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 1608.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 1644.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 1680.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 1716.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 1752.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 1788.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 1824.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 1860.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[paragraph, [304.0, 1896.0, 1107.0, 36.0], shoonya_0s5WO4VLIRSUG0, 5731627]
[folio, [320.0, 2021.0, 358.0, 36.0], YrCmmFtoMY, 5731627]
