[5478, 3644]
[folio, [2242.0, 441.0, 840.0, 52.5], RSwcUh-rVT, 5710315]
[folio, [2242.0, 493.5, 840.0, 52.5], RSwcUh-rVT, 5710315]
[paragraph, [487.0, 574.0, 1553.0, 52.5], 4ae6RcgdqJ, 5710315]
[paragraph, [487.0, 626.5, 1553.0, 52.5], 4ae6RcgdqJ, 5710315]
[paragraph, [487.0, 679.0, 1553.0, 52.5], 4ae6RcgdqJ, 5710315]
[paragraph, [477.0, 762.0, 2596.0, 52.5], E4lfUeG9W3, 5710315]
[paragraph, [477.0, 814.5, 2596.0, 52.5], E4lfUeG9W3, 5710315]
[paragraph, [477.0, 867.0, 2596.0, 52.5], E4lfUeG9W3, 5710315]
[paragraph, [477.0, 919.5, 2596.0, 52.5], E4lfUeG9W3, 5710315]
[paragraph, [464.0, 1011.0, 2651.0, 52.5], jV5FAS5v-6, 5710315]
[paragraph, [464.0, 1063.5, 2651.0, 52.5], jV5FAS5v-6, 5710315]
[paragraph, [464.0, 1116.0, 2651.0, 52.5], jV5FAS5v-6, 5710315]
[paragraph, [464.0, 1168.5, 2651.0, 52.5], jV5FAS5v-6, 5710315]
[paragraph, [464.0, 1221.0, 2651.0, 52.5], jV5FAS5v-6, 5710315]
[paragraph, [464.0, 1273.5, 2651.0, 52.5], jV5FAS5v-6, 5710315]
[paragraph, [464.0, 1326.0, 2651.0, 52.5], jV5FAS5v-6, 5710315]
[paragraph, [482.0, 1420.0, 2610.0, 52.5], 39AVTiGdao, 5710315]
[paragraph, [482.0, 1472.5, 2610.0, 52.5], 39AVTiGdao, 5710315]
[paragraph, [482.0, 1525.0, 2610.0, 52.5], 39AVTiGdao, 5710315]
[paragraph, [482.0, 1577.5, 2610.0, 52.5], 39AVTiGdao, 5710315]
[paragraph, [482.0, 1630.0, 2610.0, 52.5], 39AVTiGdao, 5710315]
[paragraph, [482.0, 1682.5, 2610.0, 52.5], 39AVTiGdao, 5710315]
[paragraph, [482.0, 1735.0, 2610.0, 52.5], 39AVTiGdao, 5710315]
[paragraph, [482.0, 1787.5, 2610.0, 52.5], 39AVTiGdao, 5710315]
[paragraph, [482.0, 1840.0, 2610.0, 52.5], 39AVTiGdao, 5710315]
[paragraph, [450.0, 1943.0, 2633.0, 52.5], Bu8XI9wmDq, 5710315]
[paragraph, [450.0, 1995.5, 2633.0, 52.5], Bu8XI9wmDq, 5710315]
[paragraph, [450.0, 2048.0, 2633.0, 52.5], Bu8XI9wmDq, 5710315]
[paragraph, [450.0, 2100.5, 2633.0, 52.5], Bu8XI9wmDq, 5710315]
[paragraph, [450.0, 2153.0, 2633.0, 52.5], Bu8XI9wmDq, 5710315]
[paragraph, [450.0, 2205.5, 2633.0, 52.5], Bu8XI9wmDq, 5710315]
[paragraph, [450.0, 2258.0, 2633.0, 52.5], Bu8XI9wmDq, 5710315]
[paragraph, [450.0, 2310.5, 2633.0, 52.5], Bu8XI9wmDq, 5710315]
[paragraph, [450.0, 2363.0, 2633.0, 52.5], Bu8XI9wmDq, 5710315]
[paragraph, [450.0, 2415.5, 2633.0, 52.5], Bu8XI9wmDq, 5710315]
[paragraph, [450.0, 2468.0, 2633.0, 52.5], Bu8XI9wmDq, 5710315]
[paragraph, [450.0, 2520.5, 2633.0, 52.5], Bu8XI9wmDq, 5710315]
[paragraph, [429.0, 2570.0, 2676.0, 52.5], shoonya_3s8AWIECFK1U16, 5710315]
[paragraph, [429.0, 2622.5, 2676.0, 52.5], shoonya_3s8AWIECFK1U16, 5710315]
[paragraph, [429.0, 2675.0, 2676.0, 52.5], shoonya_3s8AWIECFK1U16, 5710315]
[paragraph, [429.0, 2727.5, 2676.0, 52.5], shoonya_3s8AWIECFK1U16, 5710315]
[paragraph, [429.0, 2780.0, 2676.0, 52.5], shoonya_3s8AWIECFK1U16, 5710315]
[paragraph, [429.0, 2832.5, 2676.0, 52.5], shoonya_3s8AWIECFK1U16, 5710315]
[paragraph, [429.0, 2885.0, 2676.0, 52.5], shoonya_3s8AWIECFK1U16, 5710315]
[paragraph, [429.0, 2937.5, 2676.0, 52.5], shoonya_3s8AWIECFK1U16, 5710315]
[paragraph, [429.0, 2990.0, 2676.0, 52.5], shoonya_3s8AWIECFK1U16, 5710315]
[paragraph, [429.0, 3042.5, 2676.0, 52.5], shoonya_3s8AWIECFK1U16, 5710315]
[paragraph, [429.0, 3095.0, 2676.0, 52.5], shoonya_3s8AWIECFK1U16, 5710315]
[paragraph, [429.0, 3147.5, 2676.0, 52.5], shoonya_3s8AWIECFK1U16, 5710315]
[paragraph, [477.0, 3226.0, 2605.0, 52.5], wtghmnuKZs, 5710315]
[paragraph, [477.0, 3278.5, 2605.0, 52.5], wtghmnuKZs, 5710315]
[paragraph, [477.0, 3331.0, 2605.0, 52.5], wtghmnuKZs, 5710315]
[paragraph, [477.0, 3383.5, 2605.0, 52.5], wtghmnuKZs, 5710315]
[paragraph, [477.0, 3436.0, 2605.0, 52.5], wtghmnuKZs, 5710315]
[paragraph, [477.0, 3488.5, 2605.0, 52.5], wtghmnuKZs, 5710315]
[paragraph, [477.0, 3541.0, 2605.0, 52.5], wtghmnuKZs, 5710315]
[paragraph, [477.0, 3593.5, 2605.0, 52.5], wtghmnuKZs, 5710315]
[paragraph, [477.0, 3646.0, 2605.0, 52.5], wtghmnuKZs, 5710315]
[paragraph, [477.0, 3698.5, 2605.0, 52.5], wtghmnuKZs, 5710315]
[paragraph, [586.0, 3765.0, 2190.0, 52.5], shoonya_4sA9M7XRWFEPJE, 5710315]
[paragraph, [586.0, 3817.5, 2190.0, 52.5], shoonya_4sA9M7XRWFEPJE, 5710315]
[section-title, [1655.0, 4374.0, 190.0, 93.0], shoonya_2s4IF00T3PPQRG, 5710315]
[paragraph, [490.0, 4539.0, 2554.0, 52.5], shoonya_1sVYUKMZ939SRI, 5710315]
[paragraph, [490.0, 4591.5, 2554.0, 52.5], shoonya_1sVYUKMZ939SRI, 5710315]
[paragraph, [490.0, 4644.0, 2554.0, 52.5], shoonya_1sVYUKMZ939SRI, 5710315]
[paragraph, [490.0, 4696.5, 2554.0, 52.5], shoonya_1sVYUKMZ939SRI, 5710315]
[paragraph, [490.0, 4749.0, 2554.0, 52.5], shoonya_1sVYUKMZ939SRI, 5710315]
