[2200, 1700]
[dateline, [185.0, 185.0, 438.0, 64.5], DPD2-rYwYP, 5752641]
[paragraph, [161.0, 551.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[paragraph, [161.0, 587.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[paragraph, [161.0, 623.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[paragraph, [161.0, 659.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[paragraph, [161.0, 695.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[paragraph, [161.0, 731.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[paragraph, [161.0, 767.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[paragraph, [161.0, 803.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[paragraph, [161.0, 839.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[paragraph, [161.0, 875.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[paragraph, [161.0, 911.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[paragraph, [161.0, 947.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[paragraph, [161.0, 983.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[paragraph, [161.0, 1019.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[paragraph, [161.0, 1055.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[paragraph, [161.0, 1091.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[paragraph, [161.0, 1127.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[paragraph, [161.0, 1163.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[paragraph, [161.0, 1199.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[paragraph, [161.0, 1235.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[paragraph, [161.0, 1271.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[paragraph, [161.0, 1307.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[paragraph, [161.0, 1343.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[paragraph, [161.0, 1379.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[paragraph, [161.0, 1415.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[paragraph, [161.0, 1451.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[paragraph, [161.0, 1487.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[paragraph, [161.0, 1523.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[paragraph, [161.0, 1559.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[paragraph, [161.0, 1595.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[paragraph, [161.0, 1631.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[paragraph, [161.0, 1667.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[paragraph, [161.0, 1703.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[paragraph, [161.0, 1739.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[paragraph, [161.0, 1775.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[paragraph, [161.0, 1811.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[paragraph, [161.0, 1847.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[paragraph, [161.0, 1883.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[paragraph, [161.0, 1919.0, 1356.0, 36.0], ix-OtzsTm-, 5752641]
[folio, [368.0, 2006.0, 395.0, 36.0], MB0pXfgwt3, 5752641]
