[3508, 2481]
[section-title, [815.0, 105.0, 831.0, 93.0], UWJHqFNJwp, 6534702]
[paragraph, [759.0, 471.0, 958.0, 52.5], Vf2CsvMBjR, 6534702]
[contact-info, [1535.0, 704.0, 741.0, 52.5], FPqboQlCLf, 6534702]
[contact-info, [1535.0, 756.5, 741.0, 52.5], FPqboQlCLf, 6534702]
[contact-info, [1535.0, 809.0, 741.0, 52.5], FPqboQlCLf, 6534702]
[section-title, [862.0, 930.0, 728.0, 93.0], 2kN_ZZGjGk, 6534702]
[dateline, [1842.0, 1330.0, 406.0, 52.5], l5xew-ui43, 6534702]
[paragraph, [213.0, 1603.0, 319.0, 52.5], i48Tk2hnUw, 6534702]
[paragraph, [213.0, 1709.0, 2046.0, 52.5], IhNh_dJRzl, 6534702]
[paragraph, [213.0, 1761.5, 2046.0, 52.5], IhNh_dJRzl, 6534702]
[paragraph, [213.0, 1814.0, 2046.0, 52.5], IhNh_dJRzl, 6534702]
[paragraph, [213.0, 1866.5, 2046.0, 52.5], IhNh_dJRzl, 6534702]
[paragraph, [213.0, 1919.0, 2046.0, 52.5], IhNh_dJRzl, 6534702]
[paragraph, [213.0, 1971.5, 2046.0, 52.5], IhNh_dJRzl, 6534702]
[unordered-list, [295.0, 2129.0, 1964.0, 52.5], shoonya_0sGRP7QFF83NZ9, 6534702]
[unordered-list, [295.0, 2181.5, 1964.0, 52.5], shoonya_0sGRP7QFF83NZ9, 6534702]
[unordered-list, [295.0, 2234.0, 1964.0, 52.5], shoonya_0sGRP7QFF83NZ9, 6534702]
[unordered-list, [295.0, 2286.5, 1964.0, 52.5], shoonya_0sGRP7QFF83NZ9, 6534702]
[unordered-list, [295.0, 2339.0, 1964.0, 52.5], shoonya_0sGRP7QFF83NZ9, 6534702]
[unordered-list, [295.0, 2391.5, 1964.0, 52.5], shoonya_0sGRP7QFF83NZ9, 6534702]
[unordered-list, [295.0, 2444.0, 1964.0, 52.5], shoonya_0sGRP7QFF83NZ9, 6534702]
[unordered-list, [295.0, 2496.5, 1964.0, 52.5], shoonya_0sGRP7QFF83NZ9, 6534702]
[unordered-list, [295.0, 2549.0, 1964.0, 52.5], shoonya_0sGRP7QFF83NZ9, 6534702]
[figure-caption, [1917.0, 3030.0, 342.0, 52.5], uqOsyzg2Wi, 6534702]
[contact-info, [955.0, 3259.0, 570.0, 52.5], HN9d-gHzh2, 6534702]
[contact-info, [955.0, 3311.5, 570.0, 52.5], HN9d-gHzh2, 6534702]
