[591, 402]
[folio, [148.0, 39.0, 92.0, 18.0], Fbves3YnY5, 6494995]
[paragraph, [33.0, 75.0, 329.0, 18.0], e8MdgAS7tr, 6494995]
[paragraph, [33.0, 93.0, 329.0, 18.0], e8MdgAS7tr, 6494995]
[paragraph, [33.0, 111.0, 329.0, 18.0], e8MdgAS7tr, 6494995]
[paragraph, [33.0, 129.0, 329.0, 18.0], e8MdgAS7tr, 6494995]
[paragraph, [33.0, 147.0, 329.0, 18.0], e8MdgAS7tr, 6494995]
[paragraph, [33.0, 165.0, 329.0, 18.0], e8MdgAS7tr, 6494995]
[paragraph, [33.0, 183.0, 329.0, 18.0], e8MdgAS7tr, 6494995]
[paragraph, [33.0, 201.0, 329.0, 18.0], e8MdgAS7tr, 6494995]
[paragraph, [33.0, 219.0, 329.0, 18.0], e8MdgAS7tr, 6494995]
[paragraph, [33.0, 237.0, 329.0, 18.0], e8MdgAS7tr, 6494995]
[paragraph, [33.0, 255.0, 329.0, 18.0], e8MdgAS7tr, 6494995]
[paragraph, [33.0, 273.0, 329.0, 18.0], e8MdgAS7tr, 6494995]
[paragraph, [33.0, 291.0, 329.0, 18.0], e8MdgAS7tr, 6494995]
[paragraph, [33.0, 309.0, 329.0, 18.0], e8MdgAS7tr, 6494995]
[paragraph, [33.0, 327.0, 329.0, 18.0], e8MdgAS7tr, 6494995]
[paragraph, [33.0, 345.0, 329.0, 18.0], e8MdgAS7tr, 6494995]
[paragraph, [33.0, 363.0, 329.0, 18.0], e8MdgAS7tr, 6494995]
[paragraph, [33.0, 381.0, 329.0, 18.0], e8MdgAS7tr, 6494995]
[paragraph, [33.0, 399.0, 329.0, 18.0], e8MdgAS7tr, 6494995]
[paragraph, [37.0, 429.0, 318.0, 18.0], TbrHi1V2lf, 6494995]
[paragraph, [37.0, 447.0, 318.0, 18.0], TbrHi1V2lf, 6494995]
[paragraph, [37.0, 465.0, 318.0, 18.0], TbrHi1V2lf, 6494995]
[paragraph, [37.0, 483.0, 318.0, 18.0], TbrHi1V2lf, 6494995]
[paragraph, [37.0, 501.0, 318.0, 18.0], TbrHi1V2lf, 6494995]
[paragraph, [37.0, 519.0, 318.0, 18.0], TbrHi1V2lf, 6494995]
[paragraph, [37.0, 537.0, 318.0, 18.0], TbrHi1V2lf, 6494995]
