[2000, 1414]
[headline, [65.0, 145.0, 751.0, 67.5], IMweyQXnaf, 6533354]
[headline, [54.0, 232.0, 462.0, 67.5], 9Y5MlkQLaU, 6533354]
[headline, [54.0, 299.5, 462.0, 67.5], 9Y5MlkQLaU, 6533354]
[headline, [54.0, 367.0, 462.0, 67.5], 9Y5MlkQLaU, 6533354]
[headline, [54.0, 434.5, 462.0, 67.5], 9Y5MlkQLaU, 6533354]
[sidebar, [76.0, 798.0, 323.0, 36.0], 4zMXpJbOpI, 6533354]
[sidebar, [76.0, 834.0, 323.0, 36.0], 4zMXpJbOpI, 6533354]
[paragraph, [503.0, 804.0, 409.0, 36.0], 7ekZmNp6RV, 6533354]
[paragraph, [503.0, 840.0, 409.0, 36.0], 7ekZmNp6RV, 6533354]
[paragraph, [503.0, 876.0, 409.0, 36.0], 7ekZmNp6RV, 6533354]
[paragraph, [503.0, 912.0, 409.0, 36.0], 7ekZmNp6RV, 6533354]
[paragraph, [503.0, 948.0, 409.0, 36.0], 7ekZmNp6RV, 6533354]
[paragraph, [503.0, 984.0, 409.0, 36.0], 7ekZmNp6RV, 6533354]
[paragraph, [503.0, 1020.0, 409.0, 36.0], 7ekZmNp6RV, 6533354]
[paragraph, [503.0, 1056.0, 409.0, 36.0], 7ekZmNp6RV, 6533354]
[paragraph, [77.0, 983.0, 398.0, 36.0], OPWxO4dE05, 6533354]
[paragraph, [77.0, 1019.0, 398.0, 36.0], OPWxO4dE05, 6533354]
[paragraph, [77.0, 1055.0, 398.0, 36.0], OPWxO4dE05, 6533354]
[paragraph, [77.0, 1091.0, 398.0, 36.0], OPWxO4dE05, 6533354]
[paragraph, [77.0, 1127.0, 398.0, 36.0], OPWxO4dE05, 6533354]
[paragraph, [77.0, 1163.0, 398.0, 36.0], OPWxO4dE05, 6533354]
[paragraph, [77.0, 1199.0, 398.0, 36.0], OPWxO4dE05, 6533354]
[paragraph, [508.0, 1270.0, 398.0, 36.0], UCJQ77pqUg, 6533354]
[paragraph, [508.0, 1306.0, 398.0, 36.0], UCJQ77pqUg, 6533354]
[paragraph, [508.0, 1342.0, 398.0, 36.0], UCJQ77pqUg, 6533354]
[paragraph, [508.0, 1378.0, 398.0, 36.0], UCJQ77pqUg, 6533354]
[paragraph, [508.0, 1414.0, 398.0, 36.0], UCJQ77pqUg, 6533354]
[paragraph, [508.0, 1450.0, 398.0, 36.0], UCJQ77pqUg, 6533354]
[paragraph, [508.0, 1486.0, 398.0, 36.0], UCJQ77pqUg, 6533354]
[paragraph, [76.0, 1323.0, 398.0, 36.0], Zhaiuw4EqD, 6533354]
[paragraph, [76.0, 1359.0, 398.0, 36.0], Zhaiuw4EqD, 6533354]
[paragraph, [76.0, 1395.0, 398.0, 36.0], Zhaiuw4EqD, 6533354]
[paragraph, [76.0, 1431.0, 398.0, 36.0], Zhaiuw4EqD, 6533354]
[paragraph, [76.0, 1467.0, 398.0, 36.0], Zhaiuw4EqD, 6533354]
[paragraph, [76.0, 1503.0, 398.0, 36.0], Zhaiuw4EqD, 6533354]
[paragraph, [76.0, 1539.0, 398.0, 36.0], Zhaiuw4EqD, 6533354]
[paragraph, [939.0, 1323.0, 398.0, 36.0], TGhvC_5ITt, 6533354]
[paragraph, [939.0, 1359.0, 398.0, 36.0], TGhvC_5ITt, 6533354]
[paragraph, [939.0, 1395.0, 398.0, 36.0], TGhvC_5ITt, 6533354]
[paragraph, [939.0, 1431.0, 398.0, 36.0], TGhvC_5ITt, 6533354]
[paragraph, [939.0, 1467.0, 398.0, 36.0], TGhvC_5ITt, 6533354]
[paragraph, [939.0, 1503.0, 398.0, 36.0], TGhvC_5ITt, 6533354]
[paragraph, [939.0, 1539.0, 398.0, 36.0], TGhvC_5ITt, 6533354]
