[644, 393]
[folio, [153.0, 28.0, 88.0, 18.0], zW9jIS8Itt, 6458800]
[paragraph, [75.0, 59.0, 244.0, 18.0], shoonya_0sR3R4TQSQ5D8V, 6458800]
[paragraph, [75.0, 77.0, 244.0, 18.0], shoonya_0sR3R4TQSQ5D8V, 6458800]
[paragraph, [28.0, 108.0, 332.0, 18.0], fVUHw2ewJA, 6458800]
[paragraph, [28.0, 126.0, 332.0, 18.0], fVUHw2ewJA, 6458800]
[paragraph, [28.0, 144.0, 332.0, 18.0], fVUHw2ewJA, 6458800]
[paragraph, [28.0, 162.0, 332.0, 18.0], fVUHw2ewJA, 6458800]
[paragraph, [28.0, 180.0, 332.0, 18.0], fVUHw2ewJA, 6458800]
[paragraph, [28.0, 198.0, 332.0, 18.0], fVUHw2ewJA, 6458800]
[paragraph, [28.0, 216.0, 332.0, 18.0], fVUHw2ewJA, 6458800]
[paragraph, [28.0, 234.0, 332.0, 18.0], fVUHw2ewJA, 6458800]
[paragraph, [28.0, 252.0, 332.0, 18.0], fVUHw2ewJA, 6458800]
[paragraph, [28.0, 270.0, 332.0, 18.0], fVUHw2ewJA, 6458800]
[paragraph, [28.0, 288.0, 332.0, 18.0], fVUHw2ewJA, 6458800]
[paragraph, [28.0, 306.0, 332.0, 18.0], fVUHw2ewJA, 6458800]
[paragraph, [28.0, 324.0, 332.0, 18.0], fVUHw2ewJA, 6458800]
[paragraph, [28.0, 342.0, 332.0, 18.0], fVUHw2ewJA, 6458800]
[paragraph, [28.0, 360.0, 332.0, 18.0], fVUHw2ewJA, 6458800]
[paragraph, [28.0, 378.0, 332.0, 18.0], fVUHw2ewJA, 6458800]
[paragraph, [29.0, 412.0, 332.0, 18.0], C_1mz72n70, 6458800]
[paragraph, [29.0, 430.0, 332.0, 18.0], C_1mz72n70, 6458800]
[paragraph, [29.0, 448.0, 332.0, 18.0], C_1mz72n70, 6458800]
[paragraph, [29.0, 466.0, 332.0, 18.0], C_1mz72n70, 6458800]
[paragraph, [29.0, 484.0, 332.0, 18.0], C_1mz72n70, 6458800]
[paragraph, [29.0, 502.0, 332.0, 18.0], C_1mz72n70, 6458800]
[paragraph, [29.0, 520.0, 332.0, 18.0], C_1mz72n70, 6458800]
[paragraph, [29.0, 538.0, 332.0, 18.0], C_1mz72n70, 6458800]
[paragraph, [29.0, 556.0, 332.0, 18.0], C_1mz72n70, 6458800]
[paragraph, [29.0, 574.0, 332.0, 18.0], C_1mz72n70, 6458800]
[paragraph, [29.0, 592.0, 332.0, 18.0], C_1mz72n70, 6458800]
