[2200, 1700]
[paragraph, [295.0, 68.0, 1094.0, 36.0], shoonya_1sYZD9AFBAAP6G, 5730826]
[paragraph, [295.0, 104.0, 1094.0, 36.0], shoonya_1sYZD9AFBAAP6G, 5730826]
[paragraph, [295.0, 140.0, 1094.0, 36.0], shoonya_1sYZD9AFBAAP6G, 5730826]
[paragraph, [295.0, 176.0, 1094.0, 36.0], shoonya_1sYZD9AFBAAP6G, 5730826]
[paragraph, [295.0, 212.0, 1094.0, 36.0], shoonya_1sYZD9AFBAAP6G, 5730826]
[paragraph, [295.0, 248.0, 1094.0, 36.0], shoonya_1sYZD9AFBAAP6G, 5730826]
[paragraph, [295.0, 284.0, 1094.0, 36.0], shoonya_1sYZD9AFBAAP6G, 5730826]
[paragraph, [295.0, 320.0, 1094.0, 36.0], shoonya_1sYZD9AFBAAP6G, 5730826]
[paragraph, [295.0, 356.0, 1094.0, 36.0], shoonya_1sYZD9AFBAAP6G, 5730826]
[paragraph, [295.0, 392.0, 1094.0, 36.0], shoonya_1sYZD9AFBAAP6G, 5730826]
[paragraph, [295.0, 428.0, 1094.0, 36.0], shoonya_1sYZD9AFBAAP6G, 5730826]
[paragraph, [295.0, 464.0, 1094.0, 36.0], shoonya_1sYZD9AFBAAP6G, 5730826]
[paragraph, [295.0, 500.0, 1094.0, 36.0], shoonya_1sYZD9AFBAAP6G, 5730826]
[paragraph, [295.0, 536.0, 1094.0, 36.0], shoonya_1sYZD9AFBAAP6G, 5730826]
[paragraph, [295.0, 572.0, 1094.0, 36.0], shoonya_1sYZD9AFBAAP6G, 5730826]
[paragraph, [295.0, 608.0, 1094.0, 36.0], shoonya_1sYZD9AFBAAP6G, 5730826]
[paragraph, [295.0, 644.0, 1094.0, 36.0], shoonya_1sYZD9AFBAAP6G, 5730826]
[paragraph, [295.0, 680.0, 1094.0, 36.0], shoonya_1sYZD9AFBAAP6G, 5730826]
[paragraph, [295.0, 716.0, 1094.0, 36.0], shoonya_1sYZD9AFBAAP6G, 5730826]
[paragraph, [295.0, 752.0, 1094.0, 36.0], shoonya_1sYZD9AFBAAP6G, 5730826]
[paragraph, [295.0, 788.0, 1094.0, 36.0], shoonya_1sYZD9AFBAAP6G, 5730826]
[paragraph, [295.0, 824.0, 1094.0, 36.0], shoonya_1sYZD9AFBAAP6G, 5730826]
[paragraph, [295.0, 860.0, 1094.0, 36.0], shoonya_1sYZD9AFBAAP6G, 5730826]
[paragraph, [295.0, 896.0, 1094.0, 36.0], shoonya_1sYZD9AFBAAP6G, 5730826]
[paragraph, [295.0, 932.0, 1094.0, 36.0], shoonya_1sYZD9AFBAAP6G, 5730826]
[paragraph, [295.0, 968.0, 1094.0, 36.0], shoonya_1sYZD9AFBAAP6G, 5730826]
[paragraph, [295.0, 1004.0, 1094.0, 36.0], shoonya_1sYZD9AFBAAP6G, 5730826]
[paragraph, [295.0, 1040.0, 1094.0, 36.0], shoonya_1sYZD9AFBAAP6G, 5730826]
[paragraph, [294.0, 1086.0, 1100.0, 36.0], shoonya_0sNKWAYBO6KT5R, 5730826]
[paragraph, [294.0, 1122.0, 1100.0, 36.0], shoonya_0sNKWAYBO6KT5R, 5730826]
[paragraph, [294.0, 1158.0, 1100.0, 36.0], shoonya_0sNKWAYBO6KT5R, 5730826]
[paragraph, [294.0, 1194.0, 1100.0, 36.0], shoonya_0sNKWAYBO6KT5R, 5730826]
[paragraph, [294.0, 1230.0, 1100.0, 36.0], shoonya_0sNKWAYBO6KT5R, 5730826]
[paragraph, [294.0, 1266.0, 1100.0, 36.0], shoonya_0sNKWAYBO6KT5R, 5730826]
[paragraph, [294.0, 1302.0, 1100.0, 36.0], shoonya_0sNKWAYBO6KT5R, 5730826]
[paragraph, [294.0, 1338.0, 1100.0, 36.0], shoonya_0sNKWAYBO6KT5R, 5730826]
[paragraph, [294.0, 1374.0, 1100.0, 36.0], shoonya_0sNKWAYBO6KT5R, 5730826]
[paragraph, [294.0, 1410.0, 1100.0, 36.0], shoonya_0sNKWAYBO6KT5R, 5730826]
[paragraph, [294.0, 1446.0, 1100.0, 36.0], shoonya_0sNKWAYBO6KT5R, 5730826]
[paragraph, [294.0, 1482.0, 1100.0, 36.0], shoonya_0sNKWAYBO6KT5R, 5730826]
[paragraph, [294.0, 1518.0, 1100.0, 36.0], shoonya_0sNKWAYBO6KT5R, 5730826]
[paragraph, [294.0, 1554.0, 1100.0, 36.0], shoonya_0sNKWAYBO6KT5R, 5730826]
[paragraph, [294.0, 1590.0, 1100.0, 36.0], shoonya_0sNKWAYBO6KT5R, 5730826]
[paragraph, [294.0, 1626.0, 1100.0, 36.0], shoonya_0sNKWAYBO6KT5R, 5730826]
[paragraph, [294.0, 1662.0, 1100.0, 36.0], shoonya_0sNKWAYBO6KT5R, 5730826]
[paragraph, [294.0, 1698.0, 1100.0, 36.0], shoonya_0sNKWAYBO6KT5R, 5730826]
[paragraph, [294.0, 1734.0, 1100.0, 36.0], shoonya_0sNKWAYBO6KT5R, 5730826]
[paragraph, [294.0, 1770.0, 1100.0, 36.0], shoonya_0sNKWAYBO6KT5R, 5730826]
[paragraph, [303.0, 1821.0, 1087.0, 36.0], shoonya_3sXHOJ41ABJYK9, 5730826]
[paragraph, [303.0, 1857.0, 1087.0, 36.0], shoonya_3sXHOJ41ABJYK9, 5730826]
[paragraph, [303.0, 1893.0, 1087.0, 36.0], shoonya_3sXHOJ41ABJYK9, 5730826]
[folio, [819.0, 2011.0, 492.0, 36.0], 3vzHovDNol, 5730826]
