[834, 618]
[section-title, [191.0, 110.0, 227.0, 30.0], -ave69Sgd7, 5712757]
[paragraph, [79.0, 179.0, 447.0, 18.0], shoonya_1sVPXUENG0A4V9, 5712757]
[paragraph, [79.0, 197.0, 447.0, 18.0], shoonya_1sVPXUENG0A4V9, 5712757]
[paragraph, [79.0, 215.0, 447.0, 18.0], shoonya_1sVPXUENG0A4V9, 5712757]
[paragraph, [79.0, 233.0, 447.0, 18.0], shoonya_1sVPXUENG0A4V9, 5712757]
[paragraph, [79.0, 251.0, 447.0, 18.0], shoonya_1sVPXUENG0A4V9, 5712757]
[paragraph, [72.0, 282.0, 455.0, 18.0], RkMdjTxdmo, 5712757]
[paragraph, [72.0, 300.0, 455.0, 18.0], RkMdjTxdmo, 5712757]
[paragraph, [72.0, 318.0, 455.0, 18.0], RkMdjTxdmo, 5712757]
[paragraph, [72.0, 336.0, 455.0, 18.0], RkMdjTxdmo, 5712757]
[paragraph, [72.0, 354.0, 455.0, 18.0], RkMdjTxdmo, 5712757]
[paragraph, [72.0, 372.0, 455.0, 18.0], RkMdjTxdmo, 5712757]
[paragraph, [72.0, 390.0, 455.0, 18.0], RkMdjTxdmo, 5712757]
[paragraph, [72.0, 408.0, 455.0, 18.0], RkMdjTxdmo, 5712757]
[paragraph, [72.0, 426.0, 455.0, 18.0], RkMdjTxdmo, 5712757]
[paragraph, [72.0, 444.0, 455.0, 18.0], RkMdjTxdmo, 5712757]
[paragraph, [75.0, 466.0, 455.0, 18.0], hiBTvvFsnz, 5712757]
[paragraph, [75.0, 484.0, 455.0, 18.0], hiBTvvFsnz, 5712757]
[paragraph, [75.0, 502.0, 455.0, 18.0], hiBTvvFsnz, 5712757]
[paragraph, [75.0, 520.0, 455.0, 18.0], hiBTvvFsnz, 5712757]
[paragraph, [75.0, 538.0, 455.0, 18.0], hiBTvvFsnz, 5712757]
[paragraph, [75.0, 556.0, 455.0, 18.0], hiBTvvFsnz, 5712757]
[paragraph, [87.0, 579.0, 441.0, 18.0], kaNxqBipbu, 5712757]
[paragraph, [87.0, 597.0, 441.0, 18.0], kaNxqBipbu, 5712757]
[folio, [70.0, 767.0, 102.0, 18.0], 6SqTz_Oi7u, 5712757]
