[3442, 2665]
[headline, [369.0, 1932.0, 1758.0, 52.5], d5aqJ-RhFw, 5744831]
[headline, [369.0, 1984.5, 1758.0, 52.5], d5aqJ-RhFw, 5744831]
[headline, [369.0, 2037.0, 1758.0, 52.5], d5aqJ-RhFw, 5744831]
[headline, [369.0, 2089.5, 1758.0, 52.5], d5aqJ-RhFw, 5744831]
[headline, [369.0, 2142.0, 1758.0, 52.5], d5aqJ-RhFw, 5744831]
[headline, [369.0, 2194.5, 1758.0, 52.5], d5aqJ-RhFw, 5744831]
[headline, [369.0, 2247.0, 1758.0, 52.5], d5aqJ-RhFw, 5744831]
[paragraph, [446.0, 2465.0, 1752.0, 52.5], FGrfoHKjLB, 5744831]
[paragraph, [446.0, 2517.5, 1752.0, 52.5], FGrfoHKjLB, 5744831]
[paragraph, [446.0, 2570.0, 1752.0, 52.5], FGrfoHKjLB, 5744831]
[paragraph, [446.0, 2622.5, 1752.0, 52.5], FGrfoHKjLB, 5744831]
[paragraph, [446.0, 2675.0, 1752.0, 52.5], FGrfoHKjLB, 5744831]
[paragraph, [446.0, 2727.5, 1752.0, 52.5], FGrfoHKjLB, 5744831]
[paragraph, [446.0, 2780.0, 1752.0, 52.5], FGrfoHKjLB, 5744831]
[paragraph, [446.0, 2832.5, 1752.0, 52.5], FGrfoHKjLB, 5744831]
[paragraph, [446.0, 2885.0, 1752.0, 52.5], FGrfoHKjLB, 5744831]
[paragraph, [446.0, 2937.5, 1752.0, 52.5], FGrfoHKjLB, 5744831]
[paragraph, [446.0, 2990.0, 1752.0, 52.5], FGrfoHKjLB, 5744831]
[paragraph, [446.0, 3042.5, 1752.0, 52.5], FGrfoHKjLB, 5744831]
