[1818, 1374]
[folio, [482.0, 120.0, 410.0, 36.0], shoonya_1sBKEDH34FHQHP, 5682349]
[paragraph, [702.0, 197.0, 164.0, 36.0], liJP7lSp1M, 5682349]
[paragraph, [110.0, 238.0, 568.0, 36.0], shoonya_4sKJF8T9BVQ89V, 5682349]
[paragraph, [110.0, 274.0, 568.0, 36.0], shoonya_4sKJF8T9BVQ89V, 5682349]
[paragraph, [110.0, 310.0, 568.0, 36.0], shoonya_4sKJF8T9BVQ89V, 5682349]
[paragraph, [110.0, 346.0, 568.0, 36.0], shoonya_4sKJF8T9BVQ89V, 5682349]
[paragraph, [704.0, 242.0, 563.0, 36.0], Bc105oIk2D, 5682349]
[paragraph, [704.0, 278.0, 563.0, 36.0], Bc105oIk2D, 5682349]
[paragraph, [741.0, 322.0, 460.0, 36.0], q8n1TNBXL7, 5682349]
[paragraph, [704.0, 367.0, 559.0, 36.0], ragcqQYLYq, 5682349]
[paragraph, [704.0, 403.0, 559.0, 36.0], ragcqQYLYq, 5682349]
[paragraph, [704.0, 439.0, 559.0, 36.0], ragcqQYLYq, 5682349]
[paragraph, [108.0, 493.0, 566.0, 36.0], shoonya_7sGY5TUHOLUGFQ, 5682349]
[paragraph, [108.0, 529.0, 566.0, 36.0], shoonya_7sGY5TUHOLUGFQ, 5682349]
[paragraph, [108.0, 565.0, 566.0, 36.0], shoonya_7sGY5TUHOLUGFQ, 5682349]
[paragraph, [108.0, 601.0, 566.0, 36.0], shoonya_7sGY5TUHOLUGFQ, 5682349]
[paragraph, [108.0, 637.0, 566.0, 36.0], shoonya_7sGY5TUHOLUGFQ, 5682349]
[paragraph, [108.0, 673.0, 566.0, 36.0], shoonya_7sGY5TUHOLUGFQ, 5682349]
[paragraph, [700.0, 535.0, 570.0, 36.0], JE8w-ws2HD, 5682349]
[paragraph, [700.0, 571.0, 570.0, 36.0], JE8w-ws2HD, 5682349]
[paragraph, [700.0, 607.0, 570.0, 36.0], JE8w-ws2HD, 5682349]
[paragraph, [700.0, 664.0, 566.0, 36.0], gjAVM9WVBq, 5682349]
[paragraph, [700.0, 700.0, 566.0, 36.0], gjAVM9WVBq, 5682349]
[paragraph, [702.0, 746.0, 565.0, 36.0], yagaDgqj9I, 5682349]
[paragraph, [702.0, 782.0, 565.0, 36.0], yagaDgqj9I, 5682349]
[paragraph, [702.0, 818.0, 565.0, 36.0], yagaDgqj9I, 5682349]
[paragraph, [108.0, 748.0, 567.0, 36.0], shoonya_8sFQV5OW475QE8, 5682349]
[paragraph, [108.0, 784.0, 567.0, 36.0], shoonya_8sFQV5OW475QE8, 5682349]
[paragraph, [108.0, 820.0, 567.0, 36.0], shoonya_8sFQV5OW475QE8, 5682349]
