[576, 360]
[folio, [199.0, 34.0, 101.0, 18.0], vUatmmOO5v, 6516030]
[paragraph, [32.0, 60.0, 295.0, 18.0], shoonya_1sASISMAYY3PKJ, 6516030]
[paragraph, [32.0, 78.0, 295.0, 18.0], shoonya_1sASISMAYY3PKJ, 6516030]
[paragraph, [32.0, 96.0, 295.0, 18.0], shoonya_1sASISMAYY3PKJ, 6516030]
[paragraph, [32.0, 114.0, 295.0, 18.0], shoonya_1sASISMAYY3PKJ, 6516030]
[paragraph, [32.0, 132.0, 295.0, 18.0], shoonya_1sASISMAYY3PKJ, 6516030]
[paragraph, [32.0, 150.0, 295.0, 18.0], shoonya_1sASISMAYY3PKJ, 6516030]
[paragraph, [32.0, 168.0, 295.0, 18.0], shoonya_1sASISMAYY3PKJ, 6516030]
[paragraph, [32.0, 186.0, 295.0, 18.0], shoonya_1sASISMAYY3PKJ, 6516030]
[paragraph, [32.0, 204.0, 295.0, 18.0], shoonya_1sASISMAYY3PKJ, 6516030]
[paragraph, [32.0, 222.0, 295.0, 18.0], shoonya_1sASISMAYY3PKJ, 6516030]
[paragraph, [32.0, 240.0, 295.0, 18.0], shoonya_1sASISMAYY3PKJ, 6516030]
[paragraph, [32.0, 258.0, 295.0, 18.0], shoonya_1sASISMAYY3PKJ, 6516030]
[paragraph, [32.0, 276.0, 295.0, 18.0], shoonya_1sASISMAYY3PKJ, 6516030]
[paragraph, [32.0, 294.0, 295.0, 18.0], shoonya_1sASISMAYY3PKJ, 6516030]
[paragraph, [32.0, 312.0, 295.0, 18.0], shoonya_1sASISMAYY3PKJ, 6516030]
[paragraph, [32.0, 330.0, 295.0, 18.0], shoonya_1sASISMAYY3PKJ, 6516030]
[paragraph, [32.0, 348.0, 295.0, 18.0], shoonya_1sASISMAYY3PKJ, 6516030]
[paragraph, [32.0, 377.0, 296.0, 18.0], shoonya_0s6C57ESL7F178, 6516030]
[paragraph, [32.0, 395.0, 296.0, 18.0], shoonya_0s6C57ESL7F178, 6516030]
[paragraph, [32.0, 413.0, 296.0, 18.0], shoonya_0s6C57ESL7F178, 6516030]
[paragraph, [32.0, 431.0, 296.0, 18.0], shoonya_0s6C57ESL7F178, 6516030]
[paragraph, [32.0, 449.0, 296.0, 18.0], shoonya_0s6C57ESL7F178, 6516030]
[paragraph, [32.0, 467.0, 296.0, 18.0], shoonya_0s6C57ESL7F178, 6516030]
[paragraph, [31.0, 497.0, 298.0, 18.0], shoonya_3sAO2VJQ4JEQFZ, 6516030]
