[1787, 1218]
[paragraph, [107.0, 86.0, 1006.0, 36.0], shoonya_1sUELTY3X0EK1J, 5651066]
[paragraph, [107.0, 122.0, 1006.0, 36.0], shoonya_1sUELTY3X0EK1J, 5651066]
[paragraph, [107.0, 158.0, 1006.0, 36.0], shoonya_1sUELTY3X0EK1J, 5651066]
[paragraph, [106.0, 211.0, 1004.0, 36.0], cZCoTsDv5l, 5651066]
[paragraph, [106.0, 247.0, 1004.0, 36.0], cZCoTsDv5l, 5651066]
[paragraph, [106.0, 283.0, 1004.0, 36.0], cZCoTsDv5l, 5651066]
[paragraph, [103.0, 331.0, 1006.0, 36.0], Z1zAhOOSHr, 5651066]
[paragraph, [103.0, 367.0, 1006.0, 36.0], Z1zAhOOSHr, 5651066]
[paragraph, [103.0, 403.0, 1006.0, 36.0], Z1zAhOOSHr, 5651066]
[paragraph, [103.0, 439.0, 1006.0, 36.0], Z1zAhOOSHr, 5651066]
[paragraph, [97.0, 486.0, 1016.0, 36.0], shoonya_2sRHJK87764HL3, 5651066]
[paragraph, [97.0, 522.0, 1016.0, 36.0], shoonya_2sRHJK87764HL3, 5651066]
[paragraph, [97.0, 558.0, 1016.0, 36.0], shoonya_2sRHJK87764HL3, 5651066]
[ordered-list, [96.0, 605.0, 1018.0, 36.0], shoonya_0sPYD57RKUA62I, 5651066]
[ordered-list, [96.0, 641.0, 1018.0, 36.0], shoonya_0sPYD57RKUA62I, 5651066]
[ordered-list, [96.0, 677.0, 1018.0, 36.0], shoonya_0sPYD57RKUA62I, 5651066]
[ordered-list, [96.0, 713.0, 1018.0, 36.0], shoonya_0sPYD57RKUA62I, 5651066]
[ordered-list, [96.0, 749.0, 1018.0, 36.0], shoonya_0sPYD57RKUA62I, 5651066]
[ordered-list, [96.0, 785.0, 1018.0, 36.0], shoonya_0sPYD57RKUA62I, 5651066]
[ordered-list, [96.0, 821.0, 1018.0, 36.0], shoonya_0sPYD57RKUA62I, 5651066]
[ordered-list, [96.0, 857.0, 1018.0, 36.0], shoonya_0sPYD57RKUA62I, 5651066]
[ordered-list, [96.0, 893.0, 1018.0, 36.0], shoonya_0sPYD57RKUA62I, 5651066]
[ordered-list, [96.0, 929.0, 1018.0, 36.0], shoonya_0sPYD57RKUA62I, 5651066]
[ordered-list, [96.0, 965.0, 1018.0, 36.0], shoonya_0sPYD57RKUA62I, 5651066]
[ordered-list, [96.0, 1001.0, 1018.0, 36.0], shoonya_0sPYD57RKUA62I, 5651066]
[ordered-list, [96.0, 1037.0, 1018.0, 36.0], shoonya_0sPYD57RKUA62I, 5651066]
[ordered-list, [96.0, 1073.0, 1018.0, 36.0], shoonya_0sPYD57RKUA62I, 5651066]
[ordered-list, [96.0, 1109.0, 1018.0, 36.0], shoonya_0sPYD57RKUA62I, 5651066]
[ordered-list, [96.0, 1145.0, 1018.0, 36.0], shoonya_0sPYD57RKUA62I, 5651066]
[ordered-list, [96.0, 1181.0, 1018.0, 36.0], shoonya_0sPYD57RKUA62I, 5651066]
[ordered-list, [96.0, 1217.0, 1018.0, 36.0], shoonya_0sPYD57RKUA62I, 5651066]
[ordered-list, [96.0, 1253.0, 1018.0, 36.0], shoonya_0sPYD57RKUA62I, 5651066]
[ordered-list, [96.0, 1289.0, 1018.0, 36.0], shoonya_0sPYD57RKUA62I, 5651066]
[ordered-list, [96.0, 1325.0, 1018.0, 36.0], shoonya_0sPYD57RKUA62I, 5651066]
[ordered-list, [96.0, 1361.0, 1018.0, 36.0], shoonya_0sPYD57RKUA62I, 5651066]
[ordered-list, [96.0, 1397.0, 1018.0, 36.0], shoonya_0sPYD57RKUA62I, 5651066]
[ordered-list, [96.0, 1433.0, 1018.0, 36.0], shoonya_0sPYD57RKUA62I, 5651066]
[ordered-list, [96.0, 1469.0, 1018.0, 36.0], shoonya_0sPYD57RKUA62I, 5651066]
[ordered-list, [96.0, 1505.0, 1018.0, 36.0], shoonya_0sPYD57RKUA62I, 5651066]
[ordered-list, [96.0, 1541.0, 1018.0, 36.0], shoonya_0sPYD57RKUA62I, 5651066]
[ordered-list, [96.0, 1577.0, 1018.0, 36.0], shoonya_0sPYD57RKUA62I, 5651066]
