[700, 484]
[section-title, [76.0, 43.0, 320.0, 30.0], shoonya_0sDQZ15PGD85LV, 6464096]
[section-title, [76.0, 73.0, 320.0, 30.0], shoonya_0sDQZ15PGD85LV, 6464096]
[folio, [154.0, 130.0, 269.0, 18.0], GERreJqjT5, 6464096]
[folio, [154.0, 148.0, 269.0, 18.0], GERreJqjT5, 6464096]
[folio, [154.0, 166.0, 269.0, 18.0], GERreJqjT5, 6464096]
[folio, [154.0, 184.0, 269.0, 18.0], GERreJqjT5, 6464096]
[contact-info, [72.0, 205.0, 349.0, 18.0], 8_3i3IgBlw, 6464096]
[contact-info, [72.0, 223.0, 349.0, 18.0], 8_3i3IgBlw, 6464096]
[contact-info, [72.0, 241.0, 349.0, 18.0], 8_3i3IgBlw, 6464096]
[contact-info, [72.0, 259.0, 349.0, 18.0], 8_3i3IgBlw, 6464096]
[contact-info, [72.0, 277.0, 349.0, 18.0], 8_3i3IgBlw, 6464096]
[contact-info, [72.0, 295.0, 349.0, 18.0], 8_3i3IgBlw, 6464096]
[paragraph, [95.0, 343.0, 261.0, 18.0], CgahY_kELu, 6464096]
[paragraph, [95.0, 361.0, 261.0, 18.0], CgahY_kELu, 6464096]
[paragraph, [95.0, 379.0, 261.0, 18.0], CgahY_kELu, 6464096]
[paragraph, [95.0, 397.0, 261.0, 18.0], CgahY_kELu, 6464096]
[paragraph, [95.0, 415.0, 261.0, 18.0], CgahY_kELu, 6464096]
[contact-info, [104.0, 436.0, 278.0, 18.0], wqn8Bnsw2i, 6464096]
[contact-info, [104.0, 454.0, 278.0, 18.0], wqn8Bnsw2i, 6464096]
[contact-info, [104.0, 472.0, 278.0, 18.0], wqn8Bnsw2i, 6464096]
[contact-info, [104.0, 490.0, 278.0, 18.0], wqn8Bnsw2i, 6464096]
[folio, [146.0, 584.0, 189.0, 18.0], ejs_KXhzrp, 6464096]
[folio, [160.0, 627.0, 160.0, 18.0], 0BmJJC1fII, 6464096]
