[1754, 1241]
[paragraph, [202.0, 135.0, 921.0, 36.0], shoonya_0s8AZ7ZJD1SQSW, 6471179]
[paragraph, [202.0, 171.0, 921.0, 36.0], shoonya_0s8AZ7ZJD1SQSW, 6471179]
[paragraph, [202.0, 207.0, 921.0, 36.0], shoonya_0s8AZ7ZJD1SQSW, 6471179]
[paragraph, [202.0, 243.0, 921.0, 36.0], shoonya_0s8AZ7ZJD1SQSW, 6471179]
[paragraph, [202.0, 279.0, 921.0, 36.0], shoonya_0s8AZ7ZJD1SQSW, 6471179]
[paragraph, [202.0, 315.0, 921.0, 36.0], shoonya_0s8AZ7ZJD1SQSW, 6471179]
[paragraph, [202.0, 351.0, 921.0, 36.0], shoonya_0s8AZ7ZJD1SQSW, 6471179]
[paragraph, [202.0, 387.0, 921.0, 36.0], shoonya_0s8AZ7ZJD1SQSW, 6471179]
[paragraph, [202.0, 423.0, 921.0, 36.0], shoonya_0s8AZ7ZJD1SQSW, 6471179]
[paragraph, [202.0, 459.0, 921.0, 36.0], shoonya_0s8AZ7ZJD1SQSW, 6471179]
[paragraph, [202.0, 495.0, 921.0, 36.0], shoonya_0s8AZ7ZJD1SQSW, 6471179]
[paragraph, [202.0, 531.0, 921.0, 36.0], shoonya_0s8AZ7ZJD1SQSW, 6471179]
[paragraph, [202.0, 567.0, 921.0, 36.0], shoonya_0s8AZ7ZJD1SQSW, 6471179]
[ordered-list, [199.0, 652.0, 909.0, 36.0], shoonya_1sOI4UIFHTZZKD, 6471179]
[ordered-list, [199.0, 688.0, 909.0, 36.0], shoonya_1sOI4UIFHTZZKD, 6471179]
[ordered-list, [199.0, 724.0, 909.0, 36.0], shoonya_1sOI4UIFHTZZKD, 6471179]
[ordered-list, [199.0, 760.0, 909.0, 36.0], shoonya_1sOI4UIFHTZZKD, 6471179]
[ordered-list, [199.0, 796.0, 909.0, 36.0], shoonya_1sOI4UIFHTZZKD, 6471179]
[ordered-list, [199.0, 832.0, 909.0, 36.0], shoonya_1sOI4UIFHTZZKD, 6471179]
[ordered-list, [199.0, 868.0, 909.0, 36.0], shoonya_1sOI4UIFHTZZKD, 6471179]
[ordered-list, [199.0, 904.0, 909.0, 36.0], shoonya_1sOI4UIFHTZZKD, 6471179]
[ordered-list, [199.0, 940.0, 909.0, 36.0], shoonya_1sOI4UIFHTZZKD, 6471179]
[ordered-list, [199.0, 976.0, 909.0, 36.0], shoonya_1sOI4UIFHTZZKD, 6471179]
[ordered-list, [199.0, 1012.0, 909.0, 36.0], shoonya_1sOI4UIFHTZZKD, 6471179]
[ordered-list, [199.0, 1048.0, 909.0, 36.0], shoonya_1sOI4UIFHTZZKD, 6471179]
[ordered-list, [199.0, 1084.0, 909.0, 36.0], shoonya_1sOI4UIFHTZZKD, 6471179]
[ordered-list, [199.0, 1120.0, 909.0, 36.0], shoonya_1sOI4UIFHTZZKD, 6471179]
[ordered-list, [199.0, 1156.0, 909.0, 36.0], shoonya_1sOI4UIFHTZZKD, 6471179]
[ordered-list, [199.0, 1192.0, 909.0, 36.0], shoonya_1sOI4UIFHTZZKD, 6471179]
[ordered-list, [199.0, 1228.0, 909.0, 36.0], shoonya_1sOI4UIFHTZZKD, 6471179]
[ordered-list, [199.0, 1264.0, 909.0, 36.0], shoonya_1sOI4UIFHTZZKD, 6471179]
[ordered-list, [199.0, 1300.0, 909.0, 36.0], shoonya_1sOI4UIFHTZZKD, 6471179]
[ordered-list, [199.0, 1336.0, 909.0, 36.0], shoonya_1sOI4UIFHTZZKD, 6471179]
[ordered-list, [199.0, 1372.0, 909.0, 36.0], shoonya_1sOI4UIFHTZZKD, 6471179]
[ordered-list, [199.0, 1408.0, 909.0, 36.0], shoonya_1sOI4UIFHTZZKD, 6471179]
[ordered-list, [199.0, 1444.0, 909.0, 36.0], shoonya_1sOI4UIFHTZZKD, 6471179]
[ordered-list, [199.0, 1480.0, 909.0, 36.0], shoonya_1sOI4UIFHTZZKD, 6471179]
[footnote, [204.0, 1551.0, 232.0, 36.0], shoonya_2sUQAA9G1CQR2D, 6471179]
