[668, 463]
[folio, [232.0, 58.0, 73.0, 18.0], jfDKEa3tSo, 6463709]
[paragraph, [107.0, 95.0, 319.0, 18.0], gEN9k5Dz3Y, 6463709]
[paragraph, [107.0, 113.0, 319.0, 18.0], gEN9k5Dz3Y, 6463709]
[paragraph, [107.0, 131.0, 319.0, 18.0], gEN9k5Dz3Y, 6463709]
[paragraph, [107.0, 149.0, 319.0, 18.0], gEN9k5Dz3Y, 6463709]
[paragraph, [107.0, 167.0, 319.0, 18.0], gEN9k5Dz3Y, 6463709]
[paragraph, [107.0, 185.0, 319.0, 18.0], gEN9k5Dz3Y, 6463709]
[paragraph, [107.0, 203.0, 319.0, 18.0], gEN9k5Dz3Y, 6463709]
[paragraph, [107.0, 221.0, 319.0, 18.0], gEN9k5Dz3Y, 6463709]
[paragraph, [107.0, 239.0, 319.0, 18.0], gEN9k5Dz3Y, 6463709]
[paragraph, [107.0, 257.0, 319.0, 18.0], gEN9k5Dz3Y, 6463709]
[paragraph, [107.0, 275.0, 319.0, 18.0], gEN9k5Dz3Y, 6463709]
[paragraph, [107.0, 293.0, 319.0, 18.0], gEN9k5Dz3Y, 6463709]
[paragraph, [107.0, 311.0, 319.0, 18.0], gEN9k5Dz3Y, 6463709]
[paragraph, [107.0, 329.0, 319.0, 18.0], gEN9k5Dz3Y, 6463709]
[paragraph, [107.0, 347.0, 319.0, 18.0], gEN9k5Dz3Y, 6463709]
[paragraph, [107.0, 365.0, 319.0, 18.0], gEN9k5Dz3Y, 6463709]
[paragraph, [107.0, 383.0, 319.0, 18.0], gEN9k5Dz3Y, 6463709]
[paragraph, [107.0, 401.0, 319.0, 18.0], gEN9k5Dz3Y, 6463709]
[paragraph, [107.0, 419.0, 319.0, 18.0], gEN9k5Dz3Y, 6463709]
[paragraph, [107.0, 437.0, 319.0, 18.0], gEN9k5Dz3Y, 6463709]
[paragraph, [107.0, 455.0, 319.0, 18.0], gEN9k5Dz3Y, 6463709]
[paragraph, [107.0, 473.0, 319.0, 18.0], gEN9k5Dz3Y, 6463709]
[paragraph, [107.0, 491.0, 319.0, 18.0], gEN9k5Dz3Y, 6463709]
[paragraph, [107.0, 509.0, 319.0, 18.0], gEN9k5Dz3Y, 6463709]
[paragraph, [107.0, 527.0, 319.0, 18.0], gEN9k5Dz3Y, 6463709]
[paragraph, [107.0, 545.0, 319.0, 18.0], gEN9k5Dz3Y, 6463709]
[paragraph, [107.0, 563.0, 319.0, 18.0], gEN9k5Dz3Y, 6463709]
[footnote, [110.0, 637.0, 242.0, 18.0], NpNSK3b2ED, 6463709]
