[648, 414]
[folio, [78.0, 69.0, 89.0, 18.0], XW7Zg3HqvX, 6515809]
[paragraph, [48.0, 95.0, 315.0, 18.0], PAWw_hfooG, 6515809]
[paragraph, [48.0, 113.0, 315.0, 18.0], PAWw_hfooG, 6515809]
[paragraph, [48.0, 131.0, 315.0, 18.0], PAWw_hfooG, 6515809]
[paragraph, [51.0, 160.0, 315.0, 18.0], rhMUcZCBaC, 6515809]
[paragraph, [50.0, 186.0, 313.0, 18.0], shoonya_0s9GQNGYUSOMT8, 6515809]
[paragraph, [50.0, 204.0, 313.0, 18.0], shoonya_0s9GQNGYUSOMT8, 6515809]
[paragraph, [50.0, 222.0, 313.0, 18.0], shoonya_0s9GQNGYUSOMT8, 6515809]
[paragraph, [50.0, 240.0, 313.0, 18.0], shoonya_0s9GQNGYUSOMT8, 6515809]
[paragraph, [51.0, 268.0, 311.0, 18.0], 0Qr0PJP5EV, 6515809]
[paragraph, [51.0, 286.0, 311.0, 18.0], 0Qr0PJP5EV, 6515809]
[paragraph, [51.0, 304.0, 311.0, 18.0], 0Qr0PJP5EV, 6515809]
[paragraph, [51.0, 322.0, 311.0, 18.0], 0Qr0PJP5EV, 6515809]
[paragraph, [52.0, 347.0, 311.0, 18.0], gX_RUWaBSI, 6515809]
[paragraph, [52.0, 365.0, 311.0, 18.0], gX_RUWaBSI, 6515809]
[paragraph, [53.0, 395.0, 310.0, 18.0], yl6vDnsSuE, 6515809]
[paragraph, [53.0, 413.0, 310.0, 18.0], yl6vDnsSuE, 6515809]
[paragraph, [53.0, 431.0, 310.0, 18.0], yl6vDnsSuE, 6515809]
[paragraph, [53.0, 449.0, 310.0, 18.0], yl6vDnsSuE, 6515809]
[paragraph, [53.0, 467.0, 310.0, 18.0], yl6vDnsSuE, 6515809]
[paragraph, [53.0, 485.0, 310.0, 18.0], yl6vDnsSuE, 6515809]
[paragraph, [52.0, 520.0, 312.0, 18.0], XPq7QxOVgV, 6515809]
[paragraph, [54.0, 552.0, 307.0, 18.0], 6UVjBunMBp, 6515809]
