[1387, 987]
[paragraph, [43.0, 94.0, 865.0, 18.0], shoonya_0s3ZKJ7L9YFED0, 5652763]
[paragraph, [43.0, 112.0, 865.0, 18.0], shoonya_0s3ZKJ7L9YFED0, 5652763]
[paragraph, [43.0, 130.0, 865.0, 18.0], shoonya_0s3ZKJ7L9YFED0, 5652763]
[paragraph, [59.0, 155.0, 857.0, 18.0], O5JsZ80Zmb, 5652763]
[paragraph, [59.0, 173.0, 857.0, 18.0], O5JsZ80Zmb, 5652763]
[paragraph, [59.0, 191.0, 857.0, 18.0], O5JsZ80Zmb, 5652763]
[paragraph, [59.0, 209.0, 857.0, 18.0], O5JsZ80Zmb, 5652763]
[paragraph, [59.0, 227.0, 857.0, 18.0], O5JsZ80Zmb, 5652763]
[paragraph, [59.0, 245.0, 857.0, 18.0], O5JsZ80Zmb, 5652763]
[paragraph, [59.0, 263.0, 857.0, 18.0], O5JsZ80Zmb, 5652763]
[paragraph, [59.0, 281.0, 857.0, 18.0], O5JsZ80Zmb, 5652763]
[paragraph, [59.0, 299.0, 857.0, 18.0], O5JsZ80Zmb, 5652763]
[paragraph, [66.0, 334.0, 450.0, 18.0], dKqDthMNoJ, 5652763]
[paragraph, [66.0, 352.0, 450.0, 18.0], dKqDthMNoJ, 5652763]
[paragraph, [66.0, 370.0, 450.0, 18.0], dKqDthMNoJ, 5652763]
[paragraph, [66.0, 388.0, 450.0, 18.0], dKqDthMNoJ, 5652763]
[paragraph, [41.0, 404.0, 857.0, 18.0], t7TCn4yVtf, 5652763]
[paragraph, [41.0, 422.0, 857.0, 18.0], t7TCn4yVtf, 5652763]
[paragraph, [41.0, 440.0, 857.0, 18.0], t7TCn4yVtf, 5652763]
[paragraph, [41.0, 458.0, 857.0, 18.0], t7TCn4yVtf, 5652763]
[paragraph, [41.0, 476.0, 857.0, 18.0], t7TCn4yVtf, 5652763]
[paragraph, [41.0, 494.0, 857.0, 18.0], t7TCn4yVtf, 5652763]
[paragraph, [41.0, 512.0, 857.0, 18.0], t7TCn4yVtf, 5652763]
[paragraph, [46.0, 531.0, 879.0, 18.0], ZfHB5XxRcC, 5652763]
[paragraph, [46.0, 549.0, 879.0, 18.0], ZfHB5XxRcC, 5652763]
[paragraph, [46.0, 567.0, 879.0, 18.0], ZfHB5XxRcC, 5652763]
[paragraph, [27.0, 601.0, 866.0, 18.0], jRia1GAGPY, 5652763]
[paragraph, [27.0, 619.0, 866.0, 18.0], jRia1GAGPY, 5652763]
[paragraph, [27.0, 637.0, 866.0, 18.0], jRia1GAGPY, 5652763]
[paragraph, [27.0, 655.0, 866.0, 18.0], jRia1GAGPY, 5652763]
[paragraph, [27.0, 673.0, 866.0, 18.0], jRia1GAGPY, 5652763]
[paragraph, [27.0, 691.0, 866.0, 18.0], jRia1GAGPY, 5652763]
[paragraph, [29.0, 715.0, 881.0, 18.0], oONG30j7Jo, 5652763]
[paragraph, [29.0, 733.0, 881.0, 18.0], oONG30j7Jo, 5652763]
[paragraph, [29.0, 751.0, 881.0, 18.0], oONG30j7Jo, 5652763]
[paragraph, [29.0, 769.0, 881.0, 18.0], oONG30j7Jo, 5652763]
[paragraph, [29.0, 787.0, 881.0, 18.0], oONG30j7Jo, 5652763]
[paragraph, [29.0, 805.0, 881.0, 18.0], oONG30j7Jo, 5652763]
[paragraph, [29.0, 823.0, 881.0, 18.0], oONG30j7Jo, 5652763]
[paragraph, [18.0, 848.0, 884.0, 18.0], tWfhs7GUgy, 5652763]
[paragraph, [18.0, 866.0, 884.0, 18.0], tWfhs7GUgy, 5652763]
[paragraph, [18.0, 884.0, 884.0, 18.0], tWfhs7GUgy, 5652763]
[paragraph, [51.0, 918.0, 863.0, 18.0], koMBTI-TcS, 5652763]
[paragraph, [51.0, 936.0, 863.0, 18.0], koMBTI-TcS, 5652763]
[paragraph, [51.0, 954.0, 863.0, 18.0], koMBTI-TcS, 5652763]
[paragraph, [51.0, 972.0, 863.0, 18.0], koMBTI-TcS, 5652763]
[paragraph, [51.0, 990.0, 863.0, 18.0], koMBTI-TcS, 5652763]
[paragraph, [51.0, 1008.0, 863.0, 18.0], koMBTI-TcS, 5652763]
[paragraph, [22.0, 1024.0, 872.0, 18.0], 6opSRvguGk, 5652763]
[paragraph, [22.0, 1042.0, 872.0, 18.0], 6opSRvguGk, 5652763]
[paragraph, [22.0, 1060.0, 872.0, 18.0], 6opSRvguGk, 5652763]
[paragraph, [22.0, 1078.0, 872.0, 18.0], 6opSRvguGk, 5652763]
[paragraph, [22.0, 1096.0, 872.0, 18.0], 6opSRvguGk, 5652763]
[paragraph, [22.0, 1114.0, 872.0, 18.0], 6opSRvguGk, 5652763]
[paragraph, [22.0, 1132.0, 872.0, 18.0], 6opSRvguGk, 5652763]
[paragraph, [29.0, 1166.0, 879.0, 18.0], BLMugSCbOm, 5652763]
[paragraph, [29.0, 1184.0, 879.0, 18.0], BLMugSCbOm, 5652763]
[paragraph, [29.0, 1202.0, 879.0, 18.0], BLMugSCbOm, 5652763]
[paragraph, [29.0, 1220.0, 879.0, 18.0], BLMugSCbOm, 5652763]
[paragraph, [29.0, 1238.0, 879.0, 18.0], BLMugSCbOm, 5652763]
[paragraph, [29.0, 1256.0, 879.0, 18.0], BLMugSCbOm, 5652763]
[paragraph, [29.0, 1274.0, 879.0, 18.0], BLMugSCbOm, 5652763]
