[1050, 693]
[folio, [513.0, 78.0, 87.0, 18.0], shoonya_1sCEBVAJKTM0QJ, 5702237]
[folio, [513.0, 96.0, 87.0, 18.0], shoonya_1sCEBVAJKTM0QJ, 5702237]
[paragraph, [80.0, 129.0, 523.0, 18.0], SQHoQ1aBtY, 5702237]
[paragraph, [80.0, 147.0, 523.0, 18.0], SQHoQ1aBtY, 5702237]
[paragraph, [80.0, 165.0, 523.0, 18.0], SQHoQ1aBtY, 5702237]
[paragraph, [84.0, 206.0, 519.0, 18.0], shoonya_2sGEAYNYSGKSNV, 5702237]
[paragraph, [84.0, 224.0, 519.0, 18.0], shoonya_2sGEAYNYSGKSNV, 5702237]
[paragraph, [84.0, 242.0, 519.0, 18.0], shoonya_2sGEAYNYSGKSNV, 5702237]
[paragraph, [84.0, 260.0, 519.0, 18.0], shoonya_2sGEAYNYSGKSNV, 5702237]
[paragraph, [84.0, 278.0, 519.0, 18.0], shoonya_2sGEAYNYSGKSNV, 5702237]
[paragraph, [84.0, 296.0, 519.0, 18.0], shoonya_2sGEAYNYSGKSNV, 5702237]
[paragraph, [84.0, 314.0, 519.0, 18.0], shoonya_2sGEAYNYSGKSNV, 5702237]
[paragraph, [84.0, 332.0, 519.0, 18.0], shoonya_2sGEAYNYSGKSNV, 5702237]
[paragraph, [86.0, 365.0, 518.0, 18.0], MT1HEuzqSO, 5702237]
[paragraph, [86.0, 383.0, 518.0, 18.0], MT1HEuzqSO, 5702237]
[paragraph, [86.0, 401.0, 518.0, 18.0], MT1HEuzqSO, 5702237]
[paragraph, [86.0, 435.0, 519.0, 18.0], ndkmc_dghW, 5702237]
[paragraph, [86.0, 453.0, 519.0, 18.0], ndkmc_dghW, 5702237]
[paragraph, [86.0, 471.0, 519.0, 18.0], ndkmc_dghW, 5702237]
[paragraph, [86.0, 489.0, 519.0, 18.0], ndkmc_dghW, 5702237]
[paragraph, [86.0, 507.0, 519.0, 18.0], ndkmc_dghW, 5702237]
[paragraph, [84.0, 533.0, 527.0, 18.0], bofZRlolzs, 5702237]
[paragraph, [84.0, 551.0, 527.0, 18.0], bofZRlolzs, 5702237]
[paragraph, [84.0, 569.0, 527.0, 18.0], bofZRlolzs, 5702237]
[paragraph, [87.0, 598.0, 522.0, 18.0], shoonya_0sGTZR2B4Y6G37, 5702237]
[paragraph, [87.0, 616.0, 522.0, 18.0], shoonya_0sGTZR2B4Y6G37, 5702237]
[paragraph, [87.0, 634.0, 522.0, 18.0], shoonya_0sGTZR2B4Y6G37, 5702237]
[paragraph, [87.0, 652.0, 522.0, 18.0], shoonya_0sGTZR2B4Y6G37, 5702237]
[paragraph, [87.0, 670.0, 522.0, 18.0], shoonya_0sGTZR2B4Y6G37, 5702237]
[paragraph, [87.0, 688.0, 522.0, 18.0], shoonya_0sGTZR2B4Y6G37, 5702237]
[paragraph, [87.0, 706.0, 522.0, 18.0], shoonya_0sGTZR2B4Y6G37, 5702237]
[paragraph, [87.0, 724.0, 522.0, 18.0], shoonya_0sGTZR2B4Y6G37, 5702237]
[paragraph, [87.0, 742.0, 522.0, 18.0], shoonya_0sGTZR2B4Y6G37, 5702237]
[paragraph, [87.0, 760.0, 522.0, 18.0], shoonya_0sGTZR2B4Y6G37, 5702237]
[paragraph, [87.0, 778.0, 522.0, 18.0], shoonya_0sGTZR2B4Y6G37, 5702237]
[paragraph, [87.0, 796.0, 522.0, 18.0], shoonya_0sGTZR2B4Y6G37, 5702237]
[paragraph, [87.0, 814.0, 522.0, 18.0], shoonya_0sGTZR2B4Y6G37, 5702237]
[paragraph, [87.0, 832.0, 522.0, 18.0], shoonya_0sGTZR2B4Y6G37, 5702237]
[paragraph, [87.0, 850.0, 522.0, 18.0], shoonya_0sGTZR2B4Y6G37, 5702237]
[paragraph, [87.0, 868.0, 522.0, 18.0], shoonya_0sGTZR2B4Y6G37, 5702237]
[paragraph, [87.0, 886.0, 522.0, 18.0], shoonya_0sGTZR2B4Y6G37, 5702237]
[paragraph, [87.0, 904.0, 522.0, 18.0], shoonya_0sGTZR2B4Y6G37, 5702237]
[paragraph, [87.0, 922.0, 522.0, 18.0], shoonya_0sGTZR2B4Y6G37, 5702237]
[paragraph, [87.0, 940.0, 522.0, 18.0], shoonya_0sGTZR2B4Y6G37, 5702237]
[paragraph, [87.0, 958.0, 522.0, 18.0], shoonya_0sGTZR2B4Y6G37, 5702237]
