[2200, 1700]
[section-title, [286.0, 231.0, 300.0, 52.5], shoonya_4s3PZCEJR8EGTB, 5686101]
[paragraph, [277.0, 305.0, 1143.0, 36.0], shoonya_1sSEP18937317G, 5686101]
[paragraph, [277.0, 341.0, 1143.0, 36.0], shoonya_1sSEP18937317G, 5686101]
[paragraph, [277.0, 377.0, 1143.0, 36.0], shoonya_1sSEP18937317G, 5686101]
[paragraph, [277.0, 413.0, 1143.0, 36.0], shoonya_1sSEP18937317G, 5686101]
[paragraph, [277.0, 449.0, 1143.0, 36.0], shoonya_1sSEP18937317G, 5686101]
[paragraph, [277.0, 485.0, 1143.0, 36.0], shoonya_1sSEP18937317G, 5686101]
[paragraph, [277.0, 521.0, 1143.0, 36.0], shoonya_1sSEP18937317G, 5686101]
[paragraph, [277.0, 557.0, 1143.0, 36.0], shoonya_1sSEP18937317G, 5686101]
[paragraph, [277.0, 593.0, 1143.0, 36.0], shoonya_1sSEP18937317G, 5686101]
[paragraph, [277.0, 629.0, 1143.0, 36.0], shoonya_1sSEP18937317G, 5686101]
[paragraph, [277.0, 665.0, 1143.0, 36.0], shoonya_1sSEP18937317G, 5686101]
[paragraph, [277.0, 701.0, 1143.0, 36.0], shoonya_1sSEP18937317G, 5686101]
[paragraph, [277.0, 737.0, 1143.0, 36.0], shoonya_1sSEP18937317G, 5686101]
[paragraph, [277.0, 773.0, 1143.0, 36.0], shoonya_1sSEP18937317G, 5686101]
[paragraph, [277.0, 809.0, 1143.0, 36.0], shoonya_1sSEP18937317G, 5686101]
[paragraph, [277.0, 845.0, 1143.0, 36.0], shoonya_1sSEP18937317G, 5686101]
[section-title, [286.0, 954.0, 283.0, 52.5], shoonya_3sX9OU7SEVPR87, 5686101]
[paragraph, [282.0, 1047.0, 1135.0, 36.0], shoonya_0sSNIKLKAT0OT5, 5686101]
[paragraph, [282.0, 1083.0, 1135.0, 36.0], shoonya_0sSNIKLKAT0OT5, 5686101]
[paragraph, [282.0, 1119.0, 1135.0, 36.0], shoonya_0sSNIKLKAT0OT5, 5686101]
[paragraph, [282.0, 1155.0, 1135.0, 36.0], shoonya_0sSNIKLKAT0OT5, 5686101]
[paragraph, [282.0, 1191.0, 1135.0, 36.0], shoonya_0sSNIKLKAT0OT5, 5686101]
[paragraph, [282.0, 1227.0, 1135.0, 36.0], shoonya_0sSNIKLKAT0OT5, 5686101]
[paragraph, [282.0, 1263.0, 1135.0, 36.0], shoonya_0sSNIKLKAT0OT5, 5686101]
[paragraph, [282.0, 1299.0, 1135.0, 36.0], shoonya_0sSNIKLKAT0OT5, 5686101]
[paragraph, [282.0, 1335.0, 1135.0, 36.0], shoonya_0sSNIKLKAT0OT5, 5686101]
[paragraph, [282.0, 1371.0, 1135.0, 36.0], shoonya_0sSNIKLKAT0OT5, 5686101]
[paragraph, [282.0, 1407.0, 1135.0, 36.0], shoonya_0sSNIKLKAT0OT5, 5686101]
[paragraph, [282.0, 1443.0, 1135.0, 36.0], shoonya_0sSNIKLKAT0OT5, 5686101]
[paragraph, [282.0, 1479.0, 1135.0, 36.0], shoonya_0sSNIKLKAT0OT5, 5686101]
[paragraph, [282.0, 1515.0, 1135.0, 36.0], shoonya_0sSNIKLKAT0OT5, 5686101]
[paragraph, [282.0, 1551.0, 1135.0, 36.0], shoonya_0sSNIKLKAT0OT5, 5686101]
[paragraph, [282.0, 1587.0, 1135.0, 36.0], shoonya_0sSNIKLKAT0OT5, 5686101]
[paragraph, [282.0, 1623.0, 1135.0, 36.0], shoonya_0sSNIKLKAT0OT5, 5686101]
[paragraph, [282.0, 1659.0, 1135.0, 36.0], shoonya_0sSNIKLKAT0OT5, 5686101]
[paragraph, [282.0, 1695.0, 1135.0, 36.0], shoonya_0sSNIKLKAT0OT5, 5686101]
[paragraph, [282.0, 1731.0, 1135.0, 36.0], shoonya_0sSNIKLKAT0OT5, 5686101]
[paragraph, [282.0, 1767.0, 1135.0, 36.0], shoonya_0sSNIKLKAT0OT5, 5686101]
