[2174, 1461]
[folio, [169.0, 118.0, 162.0, 36.0], iqWngTTTif, 5654830]
[paragraph, [169.0, 231.0, 1174.0, 36.0], shoonya_3sMFBYJGKMC3RZ, 5654830]
[paragraph, [169.0, 267.0, 1174.0, 36.0], shoonya_3sMFBYJGKMC3RZ, 5654830]
[paragraph, [169.0, 303.0, 1174.0, 36.0], shoonya_3sMFBYJGKMC3RZ, 5654830]
[paragraph, [169.0, 339.0, 1174.0, 36.0], shoonya_3sMFBYJGKMC3RZ, 5654830]
[section-title, [176.0, 410.0, 402.0, 52.5], shoonya_4s37PE1CN04ZKW, 5654830]
[paragraph, [177.0, 515.0, 1165.0, 36.0], shoonya_0s46EANMCKCISF, 5654830]
[paragraph, [177.0, 551.0, 1165.0, 36.0], shoonya_0s46EANMCKCISF, 5654830]
[paragraph, [177.0, 587.0, 1165.0, 36.0], shoonya_0s46EANMCKCISF, 5654830]
[paragraph, [177.0, 623.0, 1165.0, 36.0], shoonya_0s46EANMCKCISF, 5654830]
[paragraph, [177.0, 659.0, 1165.0, 36.0], shoonya_0s46EANMCKCISF, 5654830]
[paragraph, [177.0, 695.0, 1165.0, 36.0], shoonya_0s46EANMCKCISF, 5654830]
[paragraph, [177.0, 731.0, 1165.0, 36.0], shoonya_0s46EANMCKCISF, 5654830]
[paragraph, [177.0, 767.0, 1165.0, 36.0], shoonya_0s46EANMCKCISF, 5654830]
[paragraph, [177.0, 803.0, 1165.0, 36.0], shoonya_0s46EANMCKCISF, 5654830]
[paragraph, [177.0, 839.0, 1165.0, 36.0], shoonya_0s46EANMCKCISF, 5654830]
[paragraph, [181.0, 922.0, 1163.0, 36.0], shoonya_1sOGT1DSHPPKU1, 5654830]
[paragraph, [181.0, 958.0, 1163.0, 36.0], shoonya_1sOGT1DSHPPKU1, 5654830]
[paragraph, [181.0, 994.0, 1163.0, 36.0], shoonya_1sOGT1DSHPPKU1, 5654830]
[paragraph, [181.0, 1030.0, 1163.0, 36.0], shoonya_1sOGT1DSHPPKU1, 5654830]
[paragraph, [181.0, 1066.0, 1163.0, 36.0], shoonya_1sOGT1DSHPPKU1, 5654830]
[paragraph, [181.0, 1102.0, 1163.0, 36.0], shoonya_1sOGT1DSHPPKU1, 5654830]
[paragraph, [180.0, 1169.0, 1166.0, 36.0], shoonya_2sC7IYUZVAXYA5, 5654830]
[paragraph, [180.0, 1205.0, 1166.0, 36.0], shoonya_2sC7IYUZVAXYA5, 5654830]
[paragraph, [180.0, 1241.0, 1166.0, 36.0], shoonya_2sC7IYUZVAXYA5, 5654830]
[paragraph, [180.0, 1277.0, 1166.0, 36.0], shoonya_2sC7IYUZVAXYA5, 5654830]
[paragraph, [180.0, 1313.0, 1166.0, 36.0], shoonya_2sC7IYUZVAXYA5, 5654830]
[paragraph, [180.0, 1349.0, 1166.0, 36.0], shoonya_2sC7IYUZVAXYA5, 5654830]
[paragraph, [180.0, 1385.0, 1166.0, 36.0], shoonya_2sC7IYUZVAXYA5, 5654830]
[paragraph, [179.0, 1489.0, 1177.0, 36.0], shoonya_5s2MHVVR8B5JRT, 5654830]
[paragraph, [179.0, 1525.0, 1177.0, 36.0], shoonya_5s2MHVVR8B5JRT, 5654830]
[paragraph, [179.0, 1561.0, 1177.0, 36.0], shoonya_5s2MHVVR8B5JRT, 5654830]
[paragraph, [179.0, 1597.0, 1177.0, 36.0], shoonya_5s2MHVVR8B5JRT, 5654830]
[paragraph, [179.0, 1633.0, 1177.0, 36.0], shoonya_5s2MHVVR8B5JRT, 5654830]
[paragraph, [179.0, 1669.0, 1177.0, 36.0], shoonya_5s2MHVVR8B5JRT, 5654830]
[paragraph, [179.0, 1705.0, 1177.0, 36.0], shoonya_5s2MHVVR8B5JRT, 5654830]
[paragraph, [179.0, 1741.0, 1177.0, 36.0], shoonya_5s2MHVVR8B5JRT, 5654830]
[paragraph, [179.0, 1777.0, 1177.0, 36.0], shoonya_5s2MHVVR8B5JRT, 5654830]
[paragraph, [179.0, 1813.0, 1177.0, 36.0], shoonya_5s2MHVVR8B5JRT, 5654830]
[paragraph, [174.0, 1872.0, 1172.0, 36.0], shoonya_8sMV9QH4560KZ3, 5654830]
[paragraph, [174.0, 1908.0, 1172.0, 36.0], shoonya_8sMV9QH4560KZ3, 5654830]
[paragraph, [174.0, 1944.0, 1172.0, 36.0], shoonya_8sMV9QH4560KZ3, 5654830]
[paragraph, [174.0, 1980.0, 1172.0, 36.0], shoonya_8sMV9QH4560KZ3, 5654830]
