[3060, 3960]
[headline, [1070.0, 505.0, 1600.0, 52.5], 0UdgkMt1st, 5695708]
[headline, [1070.0, 557.5, 1600.0, 52.5], 0UdgkMt1st, 5695708]
[headline, [1070.0, 610.0, 1600.0, 52.5], 0UdgkMt1st, 5695708]
[unordered-list, [91.0, 868.0, 1514.0, 52.5], shoonya_0sS98NSU69PKRT, 5695708]
[unordered-list, [91.0, 920.5, 1514.0, 52.5], shoonya_0sS98NSU69PKRT, 5695708]
[unordered-list, [91.0, 973.0, 1514.0, 52.5], shoonya_0sS98NSU69PKRT, 5695708]
[unordered-list, [91.0, 1025.5, 1514.0, 52.5], shoonya_0sS98NSU69PKRT, 5695708]
[unordered-list, [91.0, 1078.0, 1514.0, 52.5], shoonya_0sS98NSU69PKRT, 5695708]
[unordered-list, [91.0, 1130.5, 1514.0, 52.5], shoonya_0sS98NSU69PKRT, 5695708]
[unordered-list, [91.0, 1183.0, 1514.0, 52.5], shoonya_0sS98NSU69PKRT, 5695708]
[unordered-list, [91.0, 1235.5, 1514.0, 52.5], shoonya_0sS98NSU69PKRT, 5695708]
[unordered-list, [91.0, 1288.0, 1514.0, 52.5], shoonya_0sS98NSU69PKRT, 5695708]
[unordered-list, [91.0, 1340.5, 1514.0, 52.5], shoonya_0sS98NSU69PKRT, 5695708]
[unordered-list, [91.0, 1393.0, 1514.0, 52.5], shoonya_0sS98NSU69PKRT, 5695708]
[unordered-list, [91.0, 1445.5, 1514.0, 52.5], shoonya_0sS98NSU69PKRT, 5695708]
[unordered-list, [91.0, 1498.0, 1514.0, 52.5], shoonya_0sS98NSU69PKRT, 5695708]
[unordered-list, [91.0, 1550.5, 1514.0, 52.5], shoonya_0sS98NSU69PKRT, 5695708]
[unordered-list, [91.0, 1603.0, 1514.0, 52.5], shoonya_0sS98NSU69PKRT, 5695708]
[unordered-list, [91.0, 1655.5, 1514.0, 52.5], shoonya_0sS98NSU69PKRT, 5695708]
[unordered-list, [91.0, 1708.0, 1514.0, 52.5], shoonya_0sS98NSU69PKRT, 5695708]
[unordered-list, [91.0, 1760.5, 1514.0, 52.5], shoonya_0sS98NSU69PKRT, 5695708]
[unordered-list, [91.0, 1813.0, 1514.0, 52.5], shoonya_0sS98NSU69PKRT, 5695708]
[flag, [2696.0, 1061.0, 173.0, 52.5], cEYqLHUMfw, 5695708]
[flag, [2696.0, 1113.5, 173.0, 52.5], cEYqLHUMfw, 5695708]
[flag, [2696.0, 1166.0, 173.0, 52.5], cEYqLHUMfw, 5695708]
[section-title, [2807.0, 1776.0, 971.0, 93.0], fHzixSsZsN, 5695708]
[unordered-list, [2867.0, 1920.0, 910.0, 52.5], 66AQms1vF2, 5695708]
[unordered-list, [2867.0, 1972.5, 910.0, 52.5], 66AQms1vF2, 5695708]
[unordered-list, [2867.0, 2025.0, 910.0, 52.5], 66AQms1vF2, 5695708]
[unordered-list, [2867.0, 2077.5, 910.0, 52.5], 66AQms1vF2, 5695708]
[unordered-list, [2867.0, 2130.0, 910.0, 52.5], 66AQms1vF2, 5695708]
[unordered-list, [2867.0, 2182.5, 910.0, 52.5], 66AQms1vF2, 5695708]
[unordered-list, [2867.0, 2235.0, 910.0, 52.5], 66AQms1vF2, 5695708]
[unordered-list, [2867.0, 2287.5, 910.0, 52.5], 66AQms1vF2, 5695708]
[folio, [1362.0, 2410.0, 1229.0, 52.5], jA2efREF0c, 5695708]
[folio, [1362.0, 2462.5, 1229.0, 52.5], jA2efREF0c, 5695708]
[folio, [1362.0, 2515.0, 1229.0, 52.5], jA2efREF0c, 5695708]
