[4666, 3194]
[folio, [1401.0, 411.0, 395.0, 52.5], ZoWREFYuYx, 5691534]
[paragraph, [432.0, 529.0, 452.0, 52.5], shoonya_6s4H58B1VDUG5U, 5691534]
[paragraph, [405.0, 629.0, 2371.0, 52.5], shoonya_1s2IFY4D7V061A, 5691534]
[paragraph, [405.0, 681.5, 2371.0, 52.5], shoonya_1s2IFY4D7V061A, 5691534]
[paragraph, [405.0, 734.0, 2371.0, 52.5], shoonya_1s2IFY4D7V061A, 5691534]
[paragraph, [405.0, 786.5, 2371.0, 52.5], shoonya_1s2IFY4D7V061A, 5691534]
[paragraph, [405.0, 839.0, 2371.0, 52.5], shoonya_1s2IFY4D7V061A, 5691534]
[paragraph, [405.0, 891.5, 2371.0, 52.5], shoonya_1s2IFY4D7V061A, 5691534]
[paragraph, [405.0, 944.0, 2371.0, 52.5], shoonya_1s2IFY4D7V061A, 5691534]
[paragraph, [405.0, 996.5, 2371.0, 52.5], shoonya_1s2IFY4D7V061A, 5691534]
[paragraph, [405.0, 1049.0, 2371.0, 52.5], shoonya_1s2IFY4D7V061A, 5691534]
[paragraph, [405.0, 1101.5, 2371.0, 52.5], shoonya_1s2IFY4D7V061A, 5691534]
[paragraph, [405.0, 1154.0, 2371.0, 52.5], shoonya_1s2IFY4D7V061A, 5691534]
[paragraph, [403.0, 1259.0, 2411.0, 52.5], sWEf1D3Swq, 5691534]
[paragraph, [403.0, 1311.5, 2411.0, 52.5], sWEf1D3Swq, 5691534]
[paragraph, [403.0, 1364.0, 2411.0, 52.5], sWEf1D3Swq, 5691534]
[paragraph, [403.0, 1416.5, 2411.0, 52.5], sWEf1D3Swq, 5691534]
[paragraph, [403.0, 1469.0, 2411.0, 52.5], sWEf1D3Swq, 5691534]
[paragraph, [403.0, 1521.5, 2411.0, 52.5], sWEf1D3Swq, 5691534]
[paragraph, [403.0, 1574.0, 2411.0, 52.5], sWEf1D3Swq, 5691534]
[paragraph, [403.0, 1626.5, 2411.0, 52.5], sWEf1D3Swq, 5691534]
[paragraph, [403.0, 1679.0, 2411.0, 52.5], sWEf1D3Swq, 5691534]
[paragraph, [403.0, 1731.5, 2411.0, 52.5], sWEf1D3Swq, 5691534]
