[3508, 2481]
[contact-info, [581.0, 420.0, 1309.0, 52.5], shoonya_4sU9O91WJ4DIE9, 6516447]
[contact-info, [581.0, 472.5, 1309.0, 52.5], shoonya_4sU9O91WJ4DIE9, 6516447]
[contact-info, [581.0, 525.0, 1309.0, 52.5], shoonya_4sU9O91WJ4DIE9, 6516447]
[section-title, [1022.0, 833.0, 413.0, 93.0], cME-8K0DIU, 6516447]
[folio, [642.0, 1071.0, 1194.0, 52.5], shoonya_13sXX8ZPTEL0D9, 6516447]
[dateline, [1079.0, 1313.0, 311.0, 52.5], shoonya_14sSWQVOFZDMRR, 6516447]
[paragraph, [227.0, 1575.0, 247.0, 52.5], shoonya_5sSQXK0KE123JQ, 6516447]
[paragraph, [227.0, 1692.0, 2032.0, 52.5], shoonya_3sORPGH6JYQVCD, 6516447]
[paragraph, [227.0, 1744.5, 2032.0, 52.5], shoonya_3sORPGH6JYQVCD, 6516447]
[paragraph, [227.0, 1797.0, 2032.0, 52.5], shoonya_3sORPGH6JYQVCD, 6516447]
[paragraph, [227.0, 1849.5, 2032.0, 52.5], shoonya_3sORPGH6JYQVCD, 6516447]
[paragraph, [227.0, 1902.0, 2032.0, 52.5], shoonya_3sORPGH6JYQVCD, 6516447]
[paragraph, [224.0, 2056.0, 2035.0, 52.5], shoonya_0sW08U2PXWMXTR, 6516447]
[paragraph, [224.0, 2108.5, 2035.0, 52.5], shoonya_0sW08U2PXWMXTR, 6516447]
[paragraph, [224.0, 2161.0, 2035.0, 52.5], shoonya_0sW08U2PXWMXTR, 6516447]
[paragraph, [224.0, 2213.5, 2035.0, 52.5], shoonya_0sW08U2PXWMXTR, 6516447]
[paragraph, [224.0, 2266.0, 2035.0, 52.5], shoonya_0sW08U2PXWMXTR, 6516447]
[paragraph, [224.0, 2318.5, 2035.0, 52.5], shoonya_0sW08U2PXWMXTR, 6516447]
[paragraph, [224.0, 2371.0, 2035.0, 52.5], shoonya_0sW08U2PXWMXTR, 6516447]
[paragraph, [224.0, 2423.5, 2035.0, 52.5], shoonya_0sW08U2PXWMXTR, 6516447]
[paragraph, [224.0, 2476.0, 2035.0, 52.5], shoonya_0sW08U2PXWMXTR, 6516447]
[paragraph, [224.0, 2528.5, 2035.0, 52.5], shoonya_0sW08U2PXWMXTR, 6516447]
[section-title, [229.0, 2761.0, 563.0, 93.0], shoonya_8sN1EVYZJWZQ3M, 6516447]
[sub-section-title, [224.0, 2908.0, 465.0, 73.5], shoonya_2sBPJIIT3YY03D, 6516447]
[paragraph, [182.0, 3019.0, 2071.0, 52.5], Mj6mBeRQtV, 6516447]
[paragraph, [182.0, 3071.5, 2071.0, 52.5], Mj6mBeRQtV, 6516447]
[sub-section-title, [233.0, 3228.0, 422.0, 73.5], viEz_wbwP4, 6516447]
[paragraph, [226.0, 3336.0, 634.0, 52.5], ZQ2Di-pl0x, 6516447]
