[1752, 1240]
[second-level-question, [199.0, 159.0, 323.0, 36.0], qhaWjoMiy3, 5707611]
[second-level-question, [199.0, 210.0, 877.0, 36.0], 4lmHAv86N3, 5707611]
[second-level-question, [199.0, 246.0, 877.0, 36.0], 4lmHAv86N3, 5707611]
[second-level-question, [199.0, 282.0, 877.0, 36.0], 4lmHAv86N3, 5707611]
[second-level-question, [200.0, 380.0, 324.0, 36.0], shoonya_5sSKJXNI2W6HU2, 5707611]
[second-level-question, [125.0, 489.0, 970.0, 36.0], 7ilXukx8gk, 5707611]
[second-level-question, [125.0, 525.0, 970.0, 36.0], 7ilXukx8gk, 5707611]
[second-level-question, [125.0, 561.0, 970.0, 36.0], 7ilXukx8gk, 5707611]
[second-level-question, [125.0, 597.0, 970.0, 36.0], 7ilXukx8gk, 5707611]
[second-level-question, [125.0, 633.0, 970.0, 36.0], 7ilXukx8gk, 5707611]
[second-level-question, [125.0, 669.0, 970.0, 36.0], 7ilXukx8gk, 5707611]
[second-level-question, [125.0, 705.0, 970.0, 36.0], 7ilXukx8gk, 5707611]
[second-level-question, [125.0, 741.0, 970.0, 36.0], 7ilXukx8gk, 5707611]
[second-level-question, [125.0, 777.0, 970.0, 36.0], 7ilXukx8gk, 5707611]
[second-level-question, [125.0, 813.0, 970.0, 36.0], 7ilXukx8gk, 5707611]
[third-level-question, [193.0, 669.0, 478.0, 18.0], RdRybHOZXt, 5707611]
[third-level-question, [193.0, 687.0, 478.0, 18.0], RdRybHOZXt, 5707611]
[third-level-question, [200.0, 726.0, 681.0, 18.0], shoonya_3sV1SE01TBKDMD, 5707611]
[second-level-question, [134.0, 878.0, 955.0, 36.0], shoonya_2sCLT9ZE0BYCXM, 5707611]
[second-level-question, [134.0, 914.0, 955.0, 36.0], shoonya_2sCLT9ZE0BYCXM, 5707611]
[second-level-question, [134.0, 950.0, 955.0, 36.0], shoonya_2sCLT9ZE0BYCXM, 5707611]
[second-level-question, [134.0, 986.0, 955.0, 36.0], shoonya_2sCLT9ZE0BYCXM, 5707611]
[second-level-question, [134.0, 1022.0, 955.0, 36.0], shoonya_2sCLT9ZE0BYCXM, 5707611]
[second-level-question, [134.0, 1058.0, 955.0, 36.0], shoonya_2sCLT9ZE0BYCXM, 5707611]
[second-level-question, [134.0, 1094.0, 955.0, 36.0], shoonya_2sCLT9ZE0BYCXM, 5707611]
[second-level-question, [134.0, 1130.0, 955.0, 36.0], shoonya_2sCLT9ZE0BYCXM, 5707611]
[third-level-question, [190.0, 925.0, 880.0, 18.0], Q4_i58wwXU, 5707611]
[third-level-question, [190.0, 943.0, 880.0, 18.0], Q4_i58wwXU, 5707611]
[third-level-question, [190.0, 961.0, 880.0, 18.0], Q4_i58wwXU, 5707611]
[third-level-question, [190.0, 979.0, 880.0, 18.0], Q4_i58wwXU, 5707611]
[third-level-question, [190.0, 997.0, 880.0, 18.0], Q4_i58wwXU, 5707611]
[third-level-question, [187.0, 1040.0, 620.0, 18.0], o_VuI-EDA3, 5707611]
[third-level-question, [187.0, 1058.0, 620.0, 18.0], o_VuI-EDA3, 5707611]
[third-level-question, [187.0, 1096.0, 406.0, 18.0], PQt_hpDuXz, 5707611]
[third-level-question, [187.0, 1114.0, 406.0, 18.0], PQt_hpDuXz, 5707611]
[third-level-question, [186.0, 1145.0, 390.0, 18.0], 4lL_APdvlX, 5707611]
[third-level-question, [186.0, 1163.0, 390.0, 18.0], 4lL_APdvlX, 5707611]
[second-level-question, [127.0, 1189.0, 858.0, 36.0], CZsVD_64jQ, 5707611]
[second-level-question, [127.0, 1225.0, 858.0, 36.0], CZsVD_64jQ, 5707611]
[second-level-question, [127.0, 1261.0, 858.0, 36.0], CZsVD_64jQ, 5707611]
[second-level-question, [127.0, 1297.0, 858.0, 36.0], CZsVD_64jQ, 5707611]
[second-level-question, [127.0, 1333.0, 858.0, 36.0], CZsVD_64jQ, 5707611]
[second-level-question, [127.0, 1369.0, 858.0, 36.0], CZsVD_64jQ, 5707611]
[second-level-question, [127.0, 1405.0, 858.0, 36.0], CZsVD_64jQ, 5707611]
[third-level-question, [181.0, 1243.0, 711.0, 18.0], MTnC9G0pwN, 5707611]
[third-level-question, [181.0, 1261.0, 711.0, 18.0], MTnC9G0pwN, 5707611]
[third-level-question, [186.0, 1296.0, 509.0, 18.0], ne2nUObFfC, 5707611]
[third-level-question, [186.0, 1314.0, 509.0, 18.0], ne2nUObFfC, 5707611]
[third-level-question, [185.0, 1348.0, 323.0, 18.0], b5-pvmJCuB, 5707611]
[third-level-question, [185.0, 1366.0, 323.0, 18.0], b5-pvmJCuB, 5707611]
[third-level-question, [189.0, 1403.0, 756.0, 18.0], J5XZznC_gC, 5707611]
[folio, [71.0, 1460.0, 97.0, 36.0], er17SqM2Gu, 5707611]
