[1650, 1275]
[ordered-list, [138.0, 221.0, 977.0, 36.0], fxAy6BbHNX, 5706600]
[ordered-list, [138.0, 257.0, 977.0, 36.0], fxAy6BbHNX, 5706600]
[ordered-list, [138.0, 293.0, 977.0, 36.0], fxAy6BbHNX, 5706600]
[ordered-list, [138.0, 329.0, 977.0, 36.0], fxAy6BbHNX, 5706600]
[ordered-list, [138.0, 365.0, 977.0, 36.0], fxAy6BbHNX, 5706600]
[ordered-list, [138.0, 401.0, 977.0, 36.0], fxAy6BbHNX, 5706600]
[ordered-list, [138.0, 437.0, 977.0, 36.0], fxAy6BbHNX, 5706600]
[ordered-list, [138.0, 473.0, 977.0, 36.0], fxAy6BbHNX, 5706600]
[ordered-list, [138.0, 509.0, 977.0, 36.0], fxAy6BbHNX, 5706600]
[ordered-list, [138.0, 545.0, 977.0, 36.0], fxAy6BbHNX, 5706600]
[ordered-list, [138.0, 581.0, 977.0, 36.0], fxAy6BbHNX, 5706600]
[ordered-list, [138.0, 617.0, 977.0, 36.0], fxAy6BbHNX, 5706600]
[ordered-list, [138.0, 653.0, 977.0, 36.0], fxAy6BbHNX, 5706600]
[ordered-list, [138.0, 689.0, 977.0, 36.0], fxAy6BbHNX, 5706600]
[ordered-list, [138.0, 725.0, 977.0, 36.0], fxAy6BbHNX, 5706600]
[ordered-list, [138.0, 761.0, 977.0, 36.0], fxAy6BbHNX, 5706600]
[ordered-list, [138.0, 797.0, 977.0, 36.0], fxAy6BbHNX, 5706600]
[ordered-list, [138.0, 833.0, 977.0, 36.0], fxAy6BbHNX, 5706600]
[ordered-list, [138.0, 869.0, 977.0, 36.0], fxAy6BbHNX, 5706600]
[ordered-list, [138.0, 905.0, 977.0, 36.0], fxAy6BbHNX, 5706600]
[ordered-list, [138.0, 941.0, 977.0, 36.0], fxAy6BbHNX, 5706600]
