[612, 396]
[folio, [167.0, 30.0, 166.0, 18.0], sT1wCcvAom, 6515537]
[ordered-list, [36.0, 63.0, 324.0, 18.0], Ua3TLz69tY, 6515537]
[ordered-list, [36.0, 81.0, 324.0, 18.0], Ua3TLz69tY, 6515537]
[ordered-list, [36.0, 99.0, 324.0, 18.0], Ua3TLz69tY, 6515537]
[ordered-list, [36.0, 117.0, 324.0, 18.0], Ua3TLz69tY, 6515537]
[ordered-list, [36.0, 135.0, 324.0, 18.0], Ua3TLz69tY, 6515537]
[ordered-list, [36.0, 153.0, 324.0, 18.0], Ua3TLz69tY, 6515537]
[ordered-list, [36.0, 171.0, 324.0, 18.0], Ua3TLz69tY, 6515537]
[ordered-list, [36.0, 189.0, 324.0, 18.0], Ua3TLz69tY, 6515537]
[ordered-list, [36.0, 207.0, 324.0, 18.0], Ua3TLz69tY, 6515537]
[ordered-list, [36.0, 225.0, 324.0, 18.0], Ua3TLz69tY, 6515537]
[ordered-list, [36.0, 243.0, 324.0, 18.0], Ua3TLz69tY, 6515537]
[ordered-list, [36.0, 261.0, 324.0, 18.0], Ua3TLz69tY, 6515537]
[ordered-list, [36.0, 279.0, 324.0, 18.0], Ua3TLz69tY, 6515537]
[ordered-list, [36.0, 297.0, 324.0, 18.0], Ua3TLz69tY, 6515537]
[ordered-list, [36.0, 315.0, 324.0, 18.0], Ua3TLz69tY, 6515537]
[ordered-list, [36.0, 333.0, 324.0, 18.0], Ua3TLz69tY, 6515537]
[ordered-list, [36.0, 351.0, 324.0, 18.0], Ua3TLz69tY, 6515537]
[ordered-list, [36.0, 369.0, 324.0, 18.0], Ua3TLz69tY, 6515537]
[ordered-list, [36.0, 387.0, 324.0, 18.0], Ua3TLz69tY, 6515537]
[ordered-list, [36.0, 405.0, 324.0, 18.0], Ua3TLz69tY, 6515537]
[ordered-list, [36.0, 423.0, 324.0, 18.0], Ua3TLz69tY, 6515537]
[ordered-list, [36.0, 441.0, 324.0, 18.0], Ua3TLz69tY, 6515537]
[ordered-list, [36.0, 459.0, 324.0, 18.0], Ua3TLz69tY, 6515537]
[ordered-list, [36.0, 477.0, 324.0, 18.0], Ua3TLz69tY, 6515537]
[ordered-list, [36.0, 495.0, 324.0, 18.0], Ua3TLz69tY, 6515537]
[ordered-list, [36.0, 513.0, 324.0, 18.0], Ua3TLz69tY, 6515537]
[ordered-list, [36.0, 531.0, 324.0, 18.0], Ua3TLz69tY, 6515537]
