[789, 571]
[folio, [229.0, 54.0, 114.0, 18.0], shoonya_10s2HOPVPZNAL1, 5702691]
[paragraph, [95.0, 98.0, 158.0, 18.0], shoonya_7sP1UFLLMSMALT, 5702691]
[paragraph, [55.0, 124.0, 462.0, 18.0], shoonya_0s9W7MGYIGP8G7, 5702691]
[paragraph, [55.0, 142.0, 462.0, 18.0], shoonya_0s9W7MGYIGP8G7, 5702691]
[paragraph, [55.0, 160.0, 462.0, 18.0], shoonya_0s9W7MGYIGP8G7, 5702691]
[paragraph, [55.0, 178.0, 462.0, 18.0], shoonya_0s9W7MGYIGP8G7, 5702691]
[paragraph, [55.0, 196.0, 462.0, 18.0], shoonya_0s9W7MGYIGP8G7, 5702691]
[paragraph, [55.0, 214.0, 462.0, 18.0], shoonya_0s9W7MGYIGP8G7, 5702691]
[paragraph, [55.0, 232.0, 462.0, 18.0], shoonya_0s9W7MGYIGP8G7, 5702691]
[paragraph, [94.0, 265.0, 421.0, 18.0], shoonya_13sRO1G4ZFZ1B5, 5702691]
[paragraph, [96.0, 289.0, 193.0, 18.0], shoonya_9s7YB5FJ0L3KFQ, 5702691]
[paragraph, [59.0, 309.0, 458.0, 18.0], shoonya_2sFUH8V582BB5G, 5702691]
[paragraph, [59.0, 327.0, 458.0, 18.0], shoonya_2sFUH8V582BB5G, 5702691]
[paragraph, [57.0, 358.0, 461.0, 18.0], shoonya_12sRZJB8UWCXRI, 5702691]
[paragraph, [57.0, 376.0, 461.0, 18.0], shoonya_12sRZJB8UWCXRI, 5702691]
[paragraph, [59.0, 406.0, 458.0, 18.0], shoonya_1sH862A2L6BRZ7, 5702691]
[paragraph, [59.0, 424.0, 458.0, 18.0], shoonya_1sH862A2L6BRZ7, 5702691]
[paragraph, [59.0, 442.0, 458.0, 18.0], shoonya_1sH862A2L6BRZ7, 5702691]
[paragraph, [59.0, 460.0, 458.0, 18.0], shoonya_1sH862A2L6BRZ7, 5702691]
[paragraph, [59.0, 478.0, 458.0, 18.0], shoonya_1sH862A2L6BRZ7, 5702691]
[paragraph, [59.0, 496.0, 458.0, 18.0], shoonya_1sH862A2L6BRZ7, 5702691]
[paragraph, [93.0, 521.0, 136.0, 18.0], lJZLcWiwMs, 5702691]
[paragraph, [59.0, 546.0, 456.0, 18.0], shoonya_6sRR4GXV1WB7Q6, 5702691]
[paragraph, [59.0, 564.0, 456.0, 18.0], shoonya_6sRR4GXV1WB7Q6, 5702691]
[paragraph, [60.0, 592.0, 458.0, 18.0], shoonya_4sVHYIXJ6ZLPS7, 5702691]
[paragraph, [60.0, 610.0, 458.0, 18.0], shoonya_4sVHYIXJ6ZLPS7, 5702691]
[paragraph, [60.0, 628.0, 458.0, 18.0], shoonya_4sVHYIXJ6ZLPS7, 5702691]
[paragraph, [60.0, 646.0, 458.0, 18.0], shoonya_4sVHYIXJ6ZLPS7, 5702691]
[paragraph, [60.0, 664.0, 458.0, 18.0], shoonya_4sVHYIXJ6ZLPS7, 5702691]
[paragraph, [96.0, 683.0, 313.0, 18.0], shoonya_3sRD580DY0F6PM, 5702691]
[paragraph, [95.0, 708.0, 80.0, 18.0], gjX_swdmp6, 5702691]
