[1650, 1275]
[section-title, [139.0, 128.0, 907.0, 49.5], shoonya_9s16C7NDFN1MWT, 5775594]
[paragraph, [138.0, 188.0, 980.0, 36.0], shoonya_0sF10XX2U56PEC, 5775594]
[paragraph, [138.0, 224.0, 980.0, 36.0], shoonya_0sF10XX2U56PEC, 5775594]
[paragraph, [138.0, 260.0, 980.0, 36.0], shoonya_0sF10XX2U56PEC, 5775594]
[paragraph, [138.0, 296.0, 980.0, 36.0], shoonya_0sF10XX2U56PEC, 5775594]
[paragraph, [138.0, 332.0, 980.0, 36.0], shoonya_0sF10XX2U56PEC, 5775594]
[paragraph, [140.0, 408.0, 981.0, 36.0], shoonya_2sD1Z18SP00NZX, 5775594]
[paragraph, [140.0, 444.0, 981.0, 36.0], shoonya_2sD1Z18SP00NZX, 5775594]
[paragraph, [140.0, 480.0, 981.0, 36.0], shoonya_2sD1Z18SP00NZX, 5775594]
[paragraph, [135.0, 612.0, 996.0, 36.0], shoonya_4sI73GEYQ6SGCZ, 5775594]
[paragraph, [135.0, 648.0, 996.0, 36.0], shoonya_4sI73GEYQ6SGCZ, 5775594]
[paragraph, [136.0, 712.0, 994.0, 36.0], shoonya_7sPRV59TRC5YL0, 5775594]
[paragraph, [136.0, 748.0, 994.0, 36.0], shoonya_7sPRV59TRC5YL0, 5775594]
[paragraph, [136.0, 784.0, 994.0, 36.0], shoonya_7sPRV59TRC5YL0, 5775594]
[paragraph, [132.0, 843.0, 974.0, 36.0], shoonya_5sUH7PRTW5YSOI, 5775594]
[paragraph, [132.0, 879.0, 974.0, 36.0], shoonya_5sUH7PRTW5YSOI, 5775594]
[paragraph, [123.0, 939.0, 994.0, 36.0], shoonya_1sXPZYJCSIIFBI, 5775594]
[paragraph, [123.0, 975.0, 994.0, 36.0], shoonya_1sXPZYJCSIIFBI, 5775594]
[paragraph, [123.0, 1011.0, 994.0, 36.0], shoonya_1sXPZYJCSIIFBI, 5775594]
[paragraph, [123.0, 1047.0, 994.0, 36.0], shoonya_1sXPZYJCSIIFBI, 5775594]
[paragraph, [123.0, 1083.0, 994.0, 36.0], shoonya_1sXPZYJCSIIFBI, 5775594]
[paragraph, [131.0, 1128.0, 976.0, 36.0], shoonya_3s6PVKJDY6BWMO, 5775594]
[paragraph, [131.0, 1164.0, 976.0, 36.0], shoonya_3s6PVKJDY6BWMO, 5775594]
[paragraph, [131.0, 1200.0, 976.0, 36.0], shoonya_3s6PVKJDY6BWMO, 5775594]
[paragraph, [154.0, 1417.0, 911.0, 36.0], E6sZACQ16F, 5775594]
[website-link, [425.0, 1577.0, 236.0, 18.0], NsOqQ13c5l, 5775594]
