[842, 596]
[folio, [490.0, 31.0, 92.0, 18.0], shoonya_19s0FS9H2T4Y4M, 6461155]
[subsub-section-title, [258.0, 112.0, 77.0, 15.0], KOspOQ7F0W, 6461155]
[sidebar, [419.0, 121.0, 130.0, 18.0], j0ibB6E_EB, 6461155]
[sidebar, [64.0, 123.0, 75.0, 18.0], Fc-ASuhgRU, 6461155]
[sidebar, [416.0, 150.0, 135.0, 18.0], l-Rrw-hGcC, 6461155]
[sidebar, [419.0, 170.0, 108.0, 18.0], fHdLidw5ZO, 6461155]
[unordered-list, [47.0, 224.0, 472.0, 18.0], vr8axe7qZz, 6461155]
[unordered-list, [47.0, 242.0, 472.0, 18.0], vr8axe7qZz, 6461155]
[unordered-list, [47.0, 260.0, 472.0, 18.0], vr8axe7qZz, 6461155]
[unordered-list, [47.0, 278.0, 472.0, 18.0], vr8axe7qZz, 6461155]
[unordered-list, [47.0, 296.0, 472.0, 18.0], vr8axe7qZz, 6461155]
[unordered-list, [47.0, 314.0, 472.0, 18.0], vr8axe7qZz, 6461155]
[ordered-list, [49.0, 360.0, 490.0, 18.0], 5n6Axa8Ooq, 6461155]
[ordered-list, [49.0, 378.0, 490.0, 18.0], 5n6Axa8Ooq, 6461155]
[ordered-list, [49.0, 396.0, 490.0, 18.0], 5n6Axa8Ooq, 6461155]
[ordered-list, [49.0, 414.0, 490.0, 18.0], 5n6Axa8Ooq, 6461155]
[ordered-list, [49.0, 432.0, 490.0, 18.0], 5n6Axa8Ooq, 6461155]
[ordered-list, [49.0, 450.0, 490.0, 18.0], 5n6Axa8Ooq, 6461155]
[ordered-list, [49.0, 468.0, 490.0, 18.0], 5n6Axa8Ooq, 6461155]
[ordered-list, [49.0, 486.0, 490.0, 18.0], 5n6Axa8Ooq, 6461155]
[ordered-list, [49.0, 504.0, 490.0, 18.0], 5n6Axa8Ooq, 6461155]
[ordered-list, [49.0, 522.0, 490.0, 18.0], 5n6Axa8Ooq, 6461155]
[ordered-list, [49.0, 540.0, 490.0, 18.0], 5n6Axa8Ooq, 6461155]
[ordered-list, [49.0, 558.0, 490.0, 18.0], 5n6Axa8Ooq, 6461155]
[ordered-list, [49.0, 576.0, 490.0, 18.0], 5n6Axa8Ooq, 6461155]
[sub-ordered-list, [68.0, 396.0, 360.0, 18.0], _fh06MD_Pi, 6461155]
[sub-ordered-list, [68.0, 414.0, 360.0, 18.0], _fh06MD_Pi, 6461155]
[sub-ordered-list, [68.0, 432.0, 360.0, 18.0], _fh06MD_Pi, 6461155]
[sub-ordered-list, [71.0, 490.0, 339.0, 18.0], OjTgp0Olom, 6461155]
[sub-ordered-list, [71.0, 508.0, 339.0, 18.0], OjTgp0Olom, 6461155]
[sub-ordered-list, [71.0, 526.0, 339.0, 18.0], OjTgp0Olom, 6461155]
[sub-ordered-list, [71.0, 544.0, 339.0, 18.0], OjTgp0Olom, 6461155]
[sub-ordered-list, [71.0, 562.0, 339.0, 18.0], OjTgp0Olom, 6461155]
[sub-ordered-list, [71.0, 580.0, 339.0, 18.0], OjTgp0Olom, 6461155]
[ordered-list, [51.0, 628.0, 246.0, 18.0], ER8KxvuSbi, 6461155]
[ordered-list, [51.0, 646.0, 246.0, 18.0], ER8KxvuSbi, 6461155]
[ordered-list, [51.0, 664.0, 246.0, 18.0], ER8KxvuSbi, 6461155]
[sidebar, [460.0, 683.0, 59.0, 18.0], ECq0tOVHxi, 6461155]
[ordered-list, [47.0, 702.0, 499.0, 18.0], O6b8_oCyYm, 6461155]
[ordered-list, [47.0, 720.0, 499.0, 18.0], O6b8_oCyYm, 6461155]
[ordered-list, [47.0, 738.0, 499.0, 18.0], O6b8_oCyYm, 6461155]
