[1806, 1262]
[folio, [144.0, 99.0, 507.0, 36.0], NCW-x27qEn, 5681080]
[paragraph, [649.0, 169.0, 507.0, 36.0], shoonya_1sUPDO113T123O, 5681080]
[paragraph, [649.0, 205.0, 507.0, 36.0], shoonya_1sUPDO113T123O, 5681080]
[paragraph, [649.0, 241.0, 507.0, 36.0], shoonya_1sUPDO113T123O, 5681080]
[paragraph, [649.0, 277.0, 507.0, 36.0], shoonya_1sUPDO113T123O, 5681080]
[paragraph, [649.0, 313.0, 507.0, 36.0], shoonya_1sUPDO113T123O, 5681080]
[paragraph, [649.0, 349.0, 507.0, 36.0], shoonya_1sUPDO113T123O, 5681080]
[paragraph, [649.0, 385.0, 507.0, 36.0], shoonya_1sUPDO113T123O, 5681080]
[paragraph, [649.0, 421.0, 507.0, 36.0], shoonya_1sUPDO113T123O, 5681080]
[paragraph, [649.0, 457.0, 507.0, 36.0], shoonya_1sUPDO113T123O, 5681080]
[paragraph, [649.0, 493.0, 507.0, 36.0], shoonya_1sUPDO113T123O, 5681080]
[paragraph, [649.0, 529.0, 507.0, 36.0], shoonya_1sUPDO113T123O, 5681080]
[paragraph, [649.0, 565.0, 507.0, 36.0], shoonya_1sUPDO113T123O, 5681080]
[paragraph, [649.0, 601.0, 507.0, 36.0], shoonya_1sUPDO113T123O, 5681080]
[paragraph, [649.0, 637.0, 507.0, 36.0], shoonya_1sUPDO113T123O, 5681080]
[paragraph, [649.0, 673.0, 507.0, 36.0], shoonya_1sUPDO113T123O, 5681080]
[paragraph, [649.0, 709.0, 507.0, 36.0], shoonya_1sUPDO113T123O, 5681080]
[paragraph, [649.0, 745.0, 507.0, 36.0], shoonya_1sUPDO113T123O, 5681080]
[paragraph, [649.0, 781.0, 507.0, 36.0], shoonya_1sUPDO113T123O, 5681080]
[paragraph, [649.0, 817.0, 507.0, 36.0], shoonya_1sUPDO113T123O, 5681080]
[paragraph, [649.0, 853.0, 507.0, 36.0], shoonya_1sUPDO113T123O, 5681080]
[paragraph, [649.0, 889.0, 507.0, 36.0], shoonya_1sUPDO113T123O, 5681080]
[paragraph, [649.0, 925.0, 507.0, 36.0], shoonya_1sUPDO113T123O, 5681080]
[paragraph, [649.0, 961.0, 507.0, 36.0], shoonya_1sUPDO113T123O, 5681080]
[paragraph, [649.0, 997.0, 507.0, 36.0], shoonya_1sUPDO113T123O, 5681080]
[paragraph, [649.0, 1033.0, 507.0, 36.0], shoonya_1sUPDO113T123O, 5681080]
[paragraph, [649.0, 1069.0, 507.0, 36.0], shoonya_1sUPDO113T123O, 5681080]
[paragraph, [649.0, 1105.0, 507.0, 36.0], shoonya_1sUPDO113T123O, 5681080]
[paragraph, [649.0, 1141.0, 507.0, 36.0], shoonya_1sUPDO113T123O, 5681080]
[paragraph, [649.0, 1177.0, 507.0, 36.0], shoonya_1sUPDO113T123O, 5681080]
[paragraph, [649.0, 1213.0, 507.0, 36.0], shoonya_1sUPDO113T123O, 5681080]
[paragraph, [649.0, 1249.0, 507.0, 36.0], shoonya_1sUPDO113T123O, 5681080]
[paragraph, [649.0, 1285.0, 507.0, 36.0], shoonya_1sUPDO113T123O, 5681080]
[paragraph, [649.0, 1321.0, 507.0, 36.0], shoonya_1sUPDO113T123O, 5681080]
[paragraph, [649.0, 1357.0, 507.0, 36.0], shoonya_1sUPDO113T123O, 5681080]
[paragraph, [97.0, 180.0, 495.0, 36.0], shoonya_2s2YAT1SZBQWT5, 5681080]
[paragraph, [97.0, 216.0, 495.0, 36.0], shoonya_2s2YAT1SZBQWT5, 5681080]
[paragraph, [97.0, 252.0, 495.0, 36.0], shoonya_2s2YAT1SZBQWT5, 5681080]
[paragraph, [97.0, 288.0, 495.0, 36.0], shoonya_2s2YAT1SZBQWT5, 5681080]
[paragraph, [97.0, 324.0, 495.0, 36.0], shoonya_2s2YAT1SZBQWT5, 5681080]
[paragraph, [97.0, 360.0, 495.0, 36.0], shoonya_2s2YAT1SZBQWT5, 5681080]
[paragraph, [97.0, 396.0, 495.0, 36.0], shoonya_2s2YAT1SZBQWT5, 5681080]
[paragraph, [97.0, 432.0, 495.0, 36.0], shoonya_2s2YAT1SZBQWT5, 5681080]
[paragraph, [97.0, 468.0, 495.0, 36.0], shoonya_2s2YAT1SZBQWT5, 5681080]
[paragraph, [97.0, 504.0, 495.0, 36.0], shoonya_2s2YAT1SZBQWT5, 5681080]
[paragraph, [97.0, 540.0, 495.0, 36.0], shoonya_2s2YAT1SZBQWT5, 5681080]
