[1418, 1064]
[paragraph, [82.0, 97.0, 904.0, 18.0], shoonya_0sITRWUWEU0FCM, 6477267]
[paragraph, [82.0, 115.0, 904.0, 18.0], shoonya_0sITRWUWEU0FCM, 6477267]
[paragraph, [82.0, 133.0, 904.0, 18.0], shoonya_0sITRWUWEU0FCM, 6477267]
[paragraph, [82.0, 151.0, 904.0, 18.0], shoonya_0sITRWUWEU0FCM, 6477267]
[paragraph, [82.0, 169.0, 904.0, 18.0], shoonya_0sITRWUWEU0FCM, 6477267]
[paragraph, [82.0, 187.0, 904.0, 18.0], shoonya_0sITRWUWEU0FCM, 6477267]
[section-title, [79.0, 221.0, 188.0, 30.0], shoonya_1sHSJDY0YKV53F, 6477267]
[paragraph, [77.0, 270.0, 845.0, 18.0], CKkQdFl8vz, 6477267]
[paragraph, [77.0, 288.0, 845.0, 18.0], CKkQdFl8vz, 6477267]
[paragraph, [77.0, 306.0, 845.0, 18.0], CKkQdFl8vz, 6477267]
[paragraph, [77.0, 324.0, 845.0, 18.0], CKkQdFl8vz, 6477267]
[ordered-list, [83.0, 350.0, 906.0, 18.0], shoonya_3s3QTICR5J0DAZ, 6477267]
[ordered-list, [83.0, 368.0, 906.0, 18.0], shoonya_3s3QTICR5J0DAZ, 6477267]
[ordered-list, [83.0, 386.0, 906.0, 18.0], shoonya_3s3QTICR5J0DAZ, 6477267]
[ordered-list, [83.0, 404.0, 906.0, 18.0], shoonya_3s3QTICR5J0DAZ, 6477267]
[ordered-list, [83.0, 422.0, 906.0, 18.0], shoonya_3s3QTICR5J0DAZ, 6477267]
[ordered-list, [83.0, 440.0, 906.0, 18.0], shoonya_3s3QTICR5J0DAZ, 6477267]
[ordered-list, [83.0, 458.0, 906.0, 18.0], shoonya_3s3QTICR5J0DAZ, 6477267]
[ordered-list, [83.0, 476.0, 906.0, 18.0], shoonya_3s3QTICR5J0DAZ, 6477267]
[ordered-list, [83.0, 494.0, 906.0, 18.0], shoonya_3s3QTICR5J0DAZ, 6477267]
[ordered-list, [83.0, 512.0, 906.0, 18.0], shoonya_3s3QTICR5J0DAZ, 6477267]
[ordered-list, [83.0, 530.0, 906.0, 18.0], shoonya_3s3QTICR5J0DAZ, 6477267]
[ordered-list, [83.0, 548.0, 906.0, 18.0], shoonya_3s3QTICR5J0DAZ, 6477267]
[ordered-list, [83.0, 566.0, 906.0, 18.0], shoonya_3s3QTICR5J0DAZ, 6477267]
[ordered-list, [83.0, 584.0, 906.0, 18.0], shoonya_3s3QTICR5J0DAZ, 6477267]
[ordered-list, [83.0, 602.0, 906.0, 18.0], shoonya_3s3QTICR5J0DAZ, 6477267]
[ordered-list, [83.0, 620.0, 906.0, 18.0], shoonya_3s3QTICR5J0DAZ, 6477267]
[ordered-list, [83.0, 638.0, 906.0, 18.0], shoonya_3s3QTICR5J0DAZ, 6477267]
[ordered-list, [83.0, 656.0, 906.0, 18.0], shoonya_3s3QTICR5J0DAZ, 6477267]
[ordered-list, [83.0, 674.0, 906.0, 18.0], shoonya_3s3QTICR5J0DAZ, 6477267]
[ordered-list, [83.0, 692.0, 906.0, 18.0], shoonya_3s3QTICR5J0DAZ, 6477267]
[ordered-list, [83.0, 710.0, 906.0, 18.0], shoonya_3s3QTICR5J0DAZ, 6477267]
[ordered-list, [83.0, 728.0, 906.0, 18.0], shoonya_3s3QTICR5J0DAZ, 6477267]
[ordered-list, [83.0, 746.0, 906.0, 18.0], shoonya_3s3QTICR5J0DAZ, 6477267]
[ordered-list, [83.0, 764.0, 906.0, 18.0], shoonya_3s3QTICR5J0DAZ, 6477267]
[ordered-list, [83.0, 782.0, 906.0, 18.0], shoonya_3s3QTICR5J0DAZ, 6477267]
[ordered-list, [83.0, 800.0, 906.0, 18.0], shoonya_3s3QTICR5J0DAZ, 6477267]
[ordered-list, [83.0, 818.0, 906.0, 18.0], shoonya_3s3QTICR5J0DAZ, 6477267]
[ordered-list, [83.0, 836.0, 906.0, 18.0], shoonya_3s3QTICR5J0DAZ, 6477267]
[ordered-list, [83.0, 854.0, 906.0, 18.0], shoonya_3s3QTICR5J0DAZ, 6477267]
[ordered-list, [83.0, 872.0, 906.0, 18.0], shoonya_3s3QTICR5J0DAZ, 6477267]
[ordered-list, [83.0, 890.0, 906.0, 18.0], shoonya_3s3QTICR5J0DAZ, 6477267]
[ordered-list, [83.0, 908.0, 906.0, 18.0], shoonya_3s3QTICR5J0DAZ, 6477267]
[ordered-list, [83.0, 926.0, 906.0, 18.0], shoonya_3s3QTICR5J0DAZ, 6477267]
[ordered-list, [83.0, 944.0, 906.0, 18.0], shoonya_3s3QTICR5J0DAZ, 6477267]
[folio, [623.0, 1334.0, 361.0, 18.0], I8mGOAXHe6, 6477267]
[folio, [623.0, 1352.0, 361.0, 18.0], I8mGOAXHe6, 6477267]
