[2339, 1653]
[paragraph, [233.0, 183.0, 688.0, 36.0], iCNgNB-zwi, 5753431]
[paragraph, [499.0, 308.0, 569.0, 36.0], shoonya_5s9YPFNOO61W84, 5753431]
[paragraph, [491.0, 421.0, 590.0, 36.0], zJOch2waVQ, 5753431]
[paragraph, [491.0, 457.0, 590.0, 36.0], zJOch2waVQ, 5753431]
[paragraph, [236.0, 551.0, 1177.0, 36.0], shoonya_1sR3S326GVHDR9, 5753431]
[paragraph, [236.0, 587.0, 1177.0, 36.0], shoonya_1sR3S326GVHDR9, 5753431]
[paragraph, [236.0, 623.0, 1177.0, 36.0], shoonya_1sR3S326GVHDR9, 5753431]
[paragraph, [236.0, 659.0, 1177.0, 36.0], shoonya_1sR3S326GVHDR9, 5753431]
[paragraph, [236.0, 695.0, 1177.0, 36.0], shoonya_1sR3S326GVHDR9, 5753431]
[paragraph, [236.0, 731.0, 1177.0, 36.0], shoonya_1sR3S326GVHDR9, 5753431]
[paragraph, [236.0, 767.0, 1177.0, 36.0], shoonya_1sR3S326GVHDR9, 5753431]
[paragraph, [236.0, 803.0, 1177.0, 36.0], shoonya_1sR3S326GVHDR9, 5753431]
[paragraph, [236.0, 839.0, 1177.0, 36.0], shoonya_1sR3S326GVHDR9, 5753431]
[paragraph, [236.0, 875.0, 1177.0, 36.0], shoonya_1sR3S326GVHDR9, 5753431]
[paragraph, [236.0, 911.0, 1177.0, 36.0], shoonya_1sR3S326GVHDR9, 5753431]
[paragraph, [745.0, 1044.0, 667.0, 36.0], shoonya_2sWNZU5K1DF4H3, 5753431]
[paragraph, [745.0, 1080.0, 667.0, 36.0], shoonya_2sWNZU5K1DF4H3, 5753431]
[paragraph, [745.0, 1116.0, 667.0, 36.0], shoonya_2sWNZU5K1DF4H3, 5753431]
[paragraph, [745.0, 1152.0, 667.0, 36.0], shoonya_2sWNZU5K1DF4H3, 5753431]
[paragraph, [745.0, 1188.0, 667.0, 36.0], shoonya_2sWNZU5K1DF4H3, 5753431]
[paragraph, [745.0, 1224.0, 667.0, 36.0], shoonya_2sWNZU5K1DF4H3, 5753431]
[paragraph, [745.0, 1260.0, 667.0, 36.0], shoonya_2sWNZU5K1DF4H3, 5753431]
[paragraph, [745.0, 1296.0, 667.0, 36.0], shoonya_2sWNZU5K1DF4H3, 5753431]
[paragraph, [233.0, 1404.0, 1181.0, 36.0], shoonya_0sHXZ2HNWTOCA2, 5753431]
[paragraph, [233.0, 1440.0, 1181.0, 36.0], shoonya_0sHXZ2HNWTOCA2, 5753431]
[paragraph, [233.0, 1476.0, 1181.0, 36.0], shoonya_0sHXZ2HNWTOCA2, 5753431]
[paragraph, [233.0, 1512.0, 1181.0, 36.0], shoonya_0sHXZ2HNWTOCA2, 5753431]
[paragraph, [233.0, 1548.0, 1181.0, 36.0], shoonya_0sHXZ2HNWTOCA2, 5753431]
[paragraph, [233.0, 1584.0, 1181.0, 36.0], shoonya_0sHXZ2HNWTOCA2, 5753431]
[paragraph, [233.0, 1620.0, 1181.0, 36.0], shoonya_0sHXZ2HNWTOCA2, 5753431]
[paragraph, [233.0, 1656.0, 1181.0, 36.0], shoonya_0sHXZ2HNWTOCA2, 5753431]
[paragraph, [233.0, 1692.0, 1181.0, 36.0], shoonya_0sHXZ2HNWTOCA2, 5753431]
[paragraph, [233.0, 1728.0, 1181.0, 36.0], shoonya_0sHXZ2HNWTOCA2, 5753431]
[paragraph, [233.0, 1764.0, 1181.0, 36.0], shoonya_0sHXZ2HNWTOCA2, 5753431]
[paragraph, [233.0, 1800.0, 1181.0, 36.0], shoonya_0sHXZ2HNWTOCA2, 5753431]
[paragraph, [233.0, 1836.0, 1181.0, 36.0], shoonya_0sHXZ2HNWTOCA2, 5753431]
[paragraph, [233.0, 1872.0, 1181.0, 36.0], shoonya_0sHXZ2HNWTOCA2, 5753431]
[reference, [231.0, 1992.0, 1173.0, 36.0], gYe3K48d53, 5753431]
[reference, [231.0, 2028.0, 1173.0, 36.0], gYe3K48d53, 5753431]
[reference, [231.0, 2064.0, 1173.0, 36.0], gYe3K48d53, 5753431]
[reference, [231.0, 2100.0, 1173.0, 36.0], gYe3K48d53, 5753431]
