[1650, 1275]
[paragraph, [142.0, 153.0, 994.0, 36.0], shoonya_1sDPODOHAYJJW7, 5703420]
[paragraph, [142.0, 189.0, 994.0, 36.0], shoonya_1sDPODOHAYJJW7, 5703420]
[paragraph, [142.0, 225.0, 994.0, 36.0], shoonya_1sDPODOHAYJJW7, 5703420]
[paragraph, [142.0, 261.0, 994.0, 36.0], shoonya_1sDPODOHAYJJW7, 5703420]
[paragraph, [142.0, 297.0, 994.0, 36.0], shoonya_1sDPODOHAYJJW7, 5703420]
[paragraph, [142.0, 333.0, 994.0, 36.0], shoonya_1sDPODOHAYJJW7, 5703420]
[paragraph, [142.0, 369.0, 994.0, 36.0], shoonya_1sDPODOHAYJJW7, 5703420]
[paragraph, [142.0, 405.0, 994.0, 36.0], shoonya_1sDPODOHAYJJW7, 5703420]
[paragraph, [142.0, 441.0, 994.0, 36.0], shoonya_1sDPODOHAYJJW7, 5703420]
[paragraph, [142.0, 477.0, 994.0, 36.0], shoonya_1sDPODOHAYJJW7, 5703420]
[paragraph, [142.0, 513.0, 994.0, 36.0], shoonya_1sDPODOHAYJJW7, 5703420]
[paragraph, [142.0, 549.0, 994.0, 36.0], shoonya_1sDPODOHAYJJW7, 5703420]
[paragraph, [142.0, 585.0, 994.0, 36.0], shoonya_1sDPODOHAYJJW7, 5703420]
[paragraph, [142.0, 621.0, 994.0, 36.0], shoonya_1sDPODOHAYJJW7, 5703420]
[paragraph, [142.0, 657.0, 994.0, 36.0], shoonya_1sDPODOHAYJJW7, 5703420]
[paragraph, [142.0, 693.0, 994.0, 36.0], shoonya_1sDPODOHAYJJW7, 5703420]
[paragraph, [142.0, 729.0, 994.0, 36.0], shoonya_1sDPODOHAYJJW7, 5703420]
[paragraph, [142.0, 765.0, 994.0, 36.0], shoonya_1sDPODOHAYJJW7, 5703420]
[paragraph, [142.0, 801.0, 994.0, 36.0], shoonya_1sDPODOHAYJJW7, 5703420]
[paragraph, [142.0, 837.0, 994.0, 36.0], shoonya_1sDPODOHAYJJW7, 5703420]
[paragraph, [143.0, 929.0, 992.0, 36.0], shoonya_0s93ME71PLJ225, 5703420]
[paragraph, [143.0, 965.0, 992.0, 36.0], shoonya_0s93ME71PLJ225, 5703420]
[paragraph, [143.0, 1001.0, 992.0, 36.0], shoonya_0s93ME71PLJ225, 5703420]
[paragraph, [143.0, 1037.0, 992.0, 36.0], shoonya_0s93ME71PLJ225, 5703420]
[paragraph, [143.0, 1073.0, 992.0, 36.0], shoonya_0s93ME71PLJ225, 5703420]
[paragraph, [143.0, 1109.0, 992.0, 36.0], shoonya_0s93ME71PLJ225, 5703420]
[paragraph, [143.0, 1145.0, 992.0, 36.0], shoonya_0s93ME71PLJ225, 5703420]
[paragraph, [143.0, 1181.0, 992.0, 36.0], shoonya_0s93ME71PLJ225, 5703420]
[paragraph, [143.0, 1217.0, 992.0, 36.0], shoonya_0s93ME71PLJ225, 5703420]
[paragraph, [143.0, 1253.0, 992.0, 36.0], shoonya_0s93ME71PLJ225, 5703420]
[paragraph, [143.0, 1289.0, 992.0, 36.0], shoonya_0s93ME71PLJ225, 5703420]
[paragraph, [143.0, 1325.0, 992.0, 36.0], shoonya_0s93ME71PLJ225, 5703420]
[paragraph, [143.0, 1361.0, 992.0, 36.0], shoonya_0s93ME71PLJ225, 5703420]
