[2339, 1653]
[figure-caption, [971.0, 435.0, 387.0, 36.0], d5-Zek1Zcr, 5736199]
[sidebar, [1457.0, 885.0, 132.0, 36.0], shoonya_6s182S6E870X79, 5736199]
[paragraph, [836.0, 1275.0, 579.0, 36.0], shoonya_2sZLC4J0KDZEBH, 5736199]
[paragraph, [836.0, 1311.0, 579.0, 36.0], shoonya_2sZLC4J0KDZEBH, 5736199]
[paragraph, [836.0, 1347.0, 579.0, 36.0], shoonya_2sZLC4J0KDZEBH, 5736199]
[paragraph, [836.0, 1383.0, 579.0, 36.0], shoonya_2sZLC4J0KDZEBH, 5736199]
[paragraph, [836.0, 1419.0, 579.0, 36.0], shoonya_2sZLC4J0KDZEBH, 5736199]
[paragraph, [836.0, 1455.0, 579.0, 36.0], shoonya_2sZLC4J0KDZEBH, 5736199]
[paragraph, [836.0, 1491.0, 579.0, 36.0], shoonya_2sZLC4J0KDZEBH, 5736199]
[paragraph, [836.0, 1527.0, 579.0, 36.0], shoonya_2sZLC4J0KDZEBH, 5736199]
[paragraph, [836.0, 1563.0, 579.0, 36.0], shoonya_2sZLC4J0KDZEBH, 5736199]
[paragraph, [836.0, 1599.0, 579.0, 36.0], shoonya_2sZLC4J0KDZEBH, 5736199]
[paragraph, [836.0, 1635.0, 579.0, 36.0], shoonya_2sZLC4J0KDZEBH, 5736199]
[paragraph, [836.0, 1671.0, 579.0, 36.0], shoonya_2sZLC4J0KDZEBH, 5736199]
[paragraph, [836.0, 1707.0, 579.0, 36.0], shoonya_2sZLC4J0KDZEBH, 5736199]
[paragraph, [836.0, 1743.0, 579.0, 36.0], shoonya_2sZLC4J0KDZEBH, 5736199]
[paragraph, [836.0, 1779.0, 579.0, 36.0], shoonya_2sZLC4J0KDZEBH, 5736199]
[paragraph, [836.0, 1815.0, 579.0, 36.0], shoonya_2sZLC4J0KDZEBH, 5736199]
[paragraph, [836.0, 1851.0, 579.0, 36.0], shoonya_2sZLC4J0KDZEBH, 5736199]
[paragraph, [836.0, 1887.0, 579.0, 36.0], shoonya_2sZLC4J0KDZEBH, 5736199]
[paragraph, [236.0, 1276.0, 579.0, 36.0], shoonya_3sCD7XQ8J3YKX6, 5736199]
[paragraph, [236.0, 1312.0, 579.0, 36.0], shoonya_3sCD7XQ8J3YKX6, 5736199]
[paragraph, [236.0, 1348.0, 579.0, 36.0], shoonya_3sCD7XQ8J3YKX6, 5736199]
[paragraph, [236.0, 1384.0, 579.0, 36.0], shoonya_3sCD7XQ8J3YKX6, 5736199]
[paragraph, [237.0, 1454.0, 579.0, 36.0], shoonya_0sCA8WAHN1FJCM, 5736199]
[paragraph, [237.0, 1490.0, 579.0, 36.0], shoonya_0sCA8WAHN1FJCM, 5736199]
[paragraph, [237.0, 1526.0, 579.0, 36.0], shoonya_0sCA8WAHN1FJCM, 5736199]
[paragraph, [237.0, 1562.0, 579.0, 36.0], shoonya_0sCA8WAHN1FJCM, 5736199]
[paragraph, [237.0, 1598.0, 579.0, 36.0], shoonya_0sCA8WAHN1FJCM, 5736199]
[paragraph, [237.0, 1634.0, 579.0, 36.0], shoonya_0sCA8WAHN1FJCM, 5736199]
[paragraph, [237.0, 1670.0, 579.0, 36.0], shoonya_0sCA8WAHN1FJCM, 5736199]
[paragraph, [237.0, 1706.0, 579.0, 36.0], shoonya_0sCA8WAHN1FJCM, 5736199]
[paragraph, [237.0, 1742.0, 579.0, 36.0], shoonya_0sCA8WAHN1FJCM, 5736199]
[paragraph, [237.0, 1778.0, 579.0, 36.0], shoonya_0sCA8WAHN1FJCM, 5736199]
[paragraph, [237.0, 1814.0, 579.0, 36.0], shoonya_0sCA8WAHN1FJCM, 5736199]
[paragraph, [231.0, 1855.0, 589.0, 36.0], shoonya_4s42GM2VBUZ5OU, 5736199]
[paragraph, [231.0, 1891.0, 589.0, 36.0], shoonya_4s42GM2VBUZ5OU, 5736199]
[folio, [239.0, 1965.0, 227.0, 36.0], MtWCJ2JfbV, 5736199]
