[1755, 1240]
[folio, [637.0, 77.0, 486.0, 36.0], SzA4hMxPAT, 5743839]
[paragraph, [198.0, 206.0, 935.0, 36.0], shoonya_2s7QBT0T8VOWU2, 5743839]
[paragraph, [198.0, 242.0, 935.0, 36.0], shoonya_2s7QBT0T8VOWU2, 5743839]
[paragraph, [198.0, 278.0, 935.0, 36.0], shoonya_2s7QBT0T8VOWU2, 5743839]
[paragraph, [198.0, 314.0, 935.0, 36.0], shoonya_2s7QBT0T8VOWU2, 5743839]
[paragraph, [198.0, 350.0, 935.0, 36.0], shoonya_2s7QBT0T8VOWU2, 5743839]
[paragraph, [200.0, 416.0, 929.0, 36.0], shoonya_3sXKKYN57UB2M9, 5743839]
[paragraph, [200.0, 452.0, 929.0, 36.0], shoonya_3sXKKYN57UB2M9, 5743839]
[paragraph, [200.0, 488.0, 929.0, 36.0], shoonya_3sXKKYN57UB2M9, 5743839]
[paragraph, [200.0, 524.0, 929.0, 36.0], shoonya_3sXKKYN57UB2M9, 5743839]
[paragraph, [200.0, 560.0, 929.0, 36.0], shoonya_3sXKKYN57UB2M9, 5743839]
[paragraph, [200.0, 596.0, 929.0, 36.0], shoonya_3sXKKYN57UB2M9, 5743839]
[paragraph, [198.0, 674.0, 929.0, 36.0], xNKqogTXNR, 5743839]
[paragraph, [198.0, 710.0, 929.0, 36.0], xNKqogTXNR, 5743839]
[paragraph, [198.0, 746.0, 929.0, 36.0], xNKqogTXNR, 5743839]
[paragraph, [198.0, 782.0, 929.0, 36.0], xNKqogTXNR, 5743839]
[paragraph, [194.0, 835.0, 936.0, 36.0], shoonya_5s6ZK0DAHY3I2G, 5743839]
[paragraph, [194.0, 871.0, 936.0, 36.0], shoonya_5s6ZK0DAHY3I2G, 5743839]
[paragraph, [194.0, 907.0, 936.0, 36.0], shoonya_5s6ZK0DAHY3I2G, 5743839]
[paragraph, [194.0, 943.0, 936.0, 36.0], shoonya_5s6ZK0DAHY3I2G, 5743839]
[paragraph, [194.0, 979.0, 936.0, 36.0], shoonya_5s6ZK0DAHY3I2G, 5743839]
[paragraph, [194.0, 1015.0, 936.0, 36.0], shoonya_5s6ZK0DAHY3I2G, 5743839]
[paragraph, [194.0, 1051.0, 936.0, 36.0], shoonya_5s6ZK0DAHY3I2G, 5743839]
[paragraph, [194.0, 1087.0, 936.0, 36.0], shoonya_5s6ZK0DAHY3I2G, 5743839]
[paragraph, [194.0, 1123.0, 936.0, 36.0], shoonya_5s6ZK0DAHY3I2G, 5743839]
[paragraph, [200.0, 1195.0, 930.0, 36.0], shoonya_0sW8JLYPYDSMY8, 5743839]
[paragraph, [200.0, 1231.0, 930.0, 36.0], shoonya_0sW8JLYPYDSMY8, 5743839]
[paragraph, [200.0, 1267.0, 930.0, 36.0], shoonya_0sW8JLYPYDSMY8, 5743839]
[paragraph, [200.0, 1303.0, 930.0, 36.0], shoonya_0sW8JLYPYDSMY8, 5743839]
[paragraph, [200.0, 1339.0, 930.0, 36.0], shoonya_0sW8JLYPYDSMY8, 5743839]
[paragraph, [200.0, 1375.0, 930.0, 36.0], shoonya_0sW8JLYPYDSMY8, 5743839]
[paragraph, [200.0, 1411.0, 930.0, 36.0], shoonya_0sW8JLYPYDSMY8, 5743839]
[paragraph, [200.0, 1447.0, 930.0, 36.0], shoonya_0sW8JLYPYDSMY8, 5743839]
[paragraph, [200.0, 1483.0, 930.0, 36.0], shoonya_0sW8JLYPYDSMY8, 5743839]
[paragraph, [200.0, 1519.0, 930.0, 36.0], shoonya_0sW8JLYPYDSMY8, 5743839]
[paragraph, [200.0, 1555.0, 930.0, 36.0], shoonya_0sW8JLYPYDSMY8, 5743839]
