[842, 612]
[section-title, [231.0, 30.0, 122.0, 30.0], shoonya_0sN6PYGP1GNX0E, 6460902]
[paragraph, [113.0, 76.0, 313.0, 18.0], pVJPXEiKJU, 6460902]
[paragraph, [113.0, 94.0, 313.0, 18.0], pVJPXEiKJU, 6460902]
[paragraph, [113.0, 112.0, 313.0, 18.0], pVJPXEiKJU, 6460902]
[paragraph, [113.0, 130.0, 313.0, 18.0], pVJPXEiKJU, 6460902]
[paragraph, [113.0, 148.0, 313.0, 18.0], pVJPXEiKJU, 6460902]
[paragraph, [113.0, 166.0, 313.0, 18.0], pVJPXEiKJU, 6460902]
[paragraph, [113.0, 184.0, 313.0, 18.0], pVJPXEiKJU, 6460902]
[paragraph, [112.0, 222.0, 328.0, 18.0], H8c76zOJMz, 6460902]
[paragraph, [112.0, 240.0, 328.0, 18.0], H8c76zOJMz, 6460902]
[paragraph, [112.0, 258.0, 328.0, 18.0], H8c76zOJMz, 6460902]
[paragraph, [112.0, 276.0, 328.0, 18.0], H8c76zOJMz, 6460902]
[paragraph, [112.0, 294.0, 328.0, 18.0], H8c76zOJMz, 6460902]
[paragraph, [112.0, 312.0, 328.0, 18.0], H8c76zOJMz, 6460902]
[paragraph, [112.0, 330.0, 328.0, 18.0], H8c76zOJMz, 6460902]
[paragraph, [116.0, 371.0, 328.0, 18.0], 9_UxM1RcU0, 6460902]
[paragraph, [116.0, 389.0, 328.0, 18.0], 9_UxM1RcU0, 6460902]
[paragraph, [116.0, 407.0, 328.0, 18.0], 9_UxM1RcU0, 6460902]
[paragraph, [116.0, 425.0, 328.0, 18.0], 9_UxM1RcU0, 6460902]
[paragraph, [116.0, 443.0, 328.0, 18.0], 9_UxM1RcU0, 6460902]
[paragraph, [116.0, 461.0, 328.0, 18.0], 9_UxM1RcU0, 6460902]
[paragraph, [116.0, 479.0, 328.0, 18.0], 9_UxM1RcU0, 6460902]
[paragraph, [118.0, 524.0, 324.0, 18.0], B0WWlUtx5s, 6460902]
[paragraph, [118.0, 542.0, 324.0, 18.0], B0WWlUtx5s, 6460902]
[paragraph, [118.0, 560.0, 324.0, 18.0], B0WWlUtx5s, 6460902]
[paragraph, [118.0, 578.0, 324.0, 18.0], B0WWlUtx5s, 6460902]
[paragraph, [118.0, 596.0, 324.0, 18.0], B0WWlUtx5s, 6460902]
[paragraph, [118.0, 614.0, 324.0, 18.0], B0WWlUtx5s, 6460902]
[paragraph, [118.0, 632.0, 324.0, 18.0], B0WWlUtx5s, 6460902]
[paragraph, [125.0, 667.0, 341.0, 18.0], Be_z49g3NP, 6460902]
[paragraph, [125.0, 685.0, 341.0, 18.0], Be_z49g3NP, 6460902]
[paragraph, [125.0, 703.0, 341.0, 18.0], Be_z49g3NP, 6460902]
[paragraph, [125.0, 721.0, 341.0, 18.0], Be_z49g3NP, 6460902]
[paragraph, [125.0, 739.0, 341.0, 18.0], Be_z49g3NP, 6460902]
[paragraph, [125.0, 757.0, 341.0, 18.0], Be_z49g3NP, 6460902]
[paragraph, [125.0, 775.0, 341.0, 18.0], Be_z49g3NP, 6460902]
