[1684, 1191]
[contact-info, [72.0, 114.0, 410.0, 36.0], shoonya_2sYTVFOZOII3WI, 6464625]
[contact-info, [72.0, 150.0, 410.0, 36.0], shoonya_2sYTVFOZOII3WI, 6464625]
[folio, [278.0, 199.0, 769.0, 36.0], gz3Fc4V7wf, 6464625]
[folio, [278.0, 235.0, 769.0, 36.0], gz3Fc4V7wf, 6464625]
[folio, [278.0, 271.0, 769.0, 36.0], gz3Fc4V7wf, 6464625]
[folio, [278.0, 307.0, 769.0, 36.0], gz3Fc4V7wf, 6464625]
[section-title, [339.0, 516.0, 415.0, 49.5], 6bRtDa5hfZ, 6464625]
[section-title, [339.0, 565.5, 415.0, 49.5], 6bRtDa5hfZ, 6464625]
[sub-section-title, [330.0, 636.0, 425.0, 36.0], shoonya_0sDLN89GR0SJSH, 6464625]
[sub-section-title, [330.0, 672.0, 425.0, 36.0], shoonya_0sDLN89GR0SJSH, 6464625]
[sub-section-title, [330.0, 708.0, 425.0, 36.0], shoonya_0sDLN89GR0SJSH, 6464625]
[author, [321.0, 1083.0, 447.0, 36.0], shoonya_1sKPT5XWV6CA6J, 6464625]
[author, [321.0, 1119.0, 447.0, 36.0], shoonya_1sKPT5XWV6CA6J, 6464625]
[author, [321.0, 1155.0, 447.0, 36.0], shoonya_1sKPT5XWV6CA6J, 6464625]
[author, [321.0, 1191.0, 447.0, 36.0], shoonya_1sKPT5XWV6CA6J, 6464625]
[author, [321.0, 1227.0, 447.0, 36.0], shoonya_1sKPT5XWV6CA6J, 6464625]
[contact-info, [176.0, 1339.0, 759.0, 36.0], shoonya_3sIURSXYQOPHU9, 6464625]
[contact-info, [176.0, 1375.0, 759.0, 36.0], shoonya_3sIURSXYQOPHU9, 6464625]
[contact-info, [176.0, 1411.0, 759.0, 36.0], shoonya_3sIURSXYQOPHU9, 6464625]
[contact-info, [176.0, 1447.0, 759.0, 36.0], shoonya_3sIURSXYQOPHU9, 6464625]
[contact-info, [176.0, 1483.0, 759.0, 36.0], shoonya_3sIURSXYQOPHU9, 6464625]
[contact-info, [176.0, 1519.0, 759.0, 36.0], shoonya_3sIURSXYQOPHU9, 6464625]
