[3509, 2480]
[paragraph, [265.0, 414.0, 1955.0, 52.5], shoonya_0s3LTAOIJ7Y9WV, 5721601]
[paragraph, [265.0, 466.5, 1955.0, 52.5], shoonya_0s3LTAOIJ7Y9WV, 5721601]
[paragraph, [265.0, 519.0, 1955.0, 52.5], shoonya_0s3LTAOIJ7Y9WV, 5721601]
[paragraph, [265.0, 571.5, 1955.0, 52.5], shoonya_0s3LTAOIJ7Y9WV, 5721601]
[paragraph, [265.0, 624.0, 1955.0, 52.5], shoonya_0s3LTAOIJ7Y9WV, 5721601]
[paragraph, [265.0, 676.5, 1955.0, 52.5], shoonya_0s3LTAOIJ7Y9WV, 5721601]
[paragraph, [265.0, 729.0, 1955.0, 52.5], shoonya_0s3LTAOIJ7Y9WV, 5721601]
[paragraph, [265.0, 781.5, 1955.0, 52.5], shoonya_0s3LTAOIJ7Y9WV, 5721601]
[paragraph, [265.0, 834.0, 1955.0, 52.5], shoonya_0s3LTAOIJ7Y9WV, 5721601]
[paragraph, [265.0, 886.5, 1955.0, 52.5], shoonya_0s3LTAOIJ7Y9WV, 5721601]
[paragraph, [265.0, 939.0, 1955.0, 52.5], shoonya_0s3LTAOIJ7Y9WV, 5721601]
[paragraph, [265.0, 991.5, 1955.0, 52.5], shoonya_0s3LTAOIJ7Y9WV, 5721601]
[paragraph, [265.0, 1044.0, 1955.0, 52.5], shoonya_0s3LTAOIJ7Y9WV, 5721601]
[paragraph, [265.0, 1096.5, 1955.0, 52.5], shoonya_0s3LTAOIJ7Y9WV, 5721601]
[paragraph, [265.0, 1149.0, 1955.0, 52.5], shoonya_0s3LTAOIJ7Y9WV, 5721601]
[paragraph, [265.0, 1201.5, 1955.0, 52.5], shoonya_0s3LTAOIJ7Y9WV, 5721601]
[paragraph, [265.0, 1254.0, 1955.0, 52.5], shoonya_0s3LTAOIJ7Y9WV, 5721601]
[paragraph, [265.0, 1306.5, 1955.0, 52.5], shoonya_0s3LTAOIJ7Y9WV, 5721601]
[paragraph, [265.0, 1359.0, 1955.0, 52.5], shoonya_0s3LTAOIJ7Y9WV, 5721601]
[paragraph, [265.0, 1411.5, 1955.0, 52.5], shoonya_0s3LTAOIJ7Y9WV, 5721601]
[paragraph, [265.0, 1464.0, 1955.0, 52.5], shoonya_0s3LTAOIJ7Y9WV, 5721601]
[paragraph, [266.0, 1543.0, 1946.0, 52.5], UEy0uGQA21, 5721601]
[paragraph, [266.0, 1595.5, 1946.0, 52.5], UEy0uGQA21, 5721601]
[paragraph, [266.0, 1648.0, 1946.0, 52.5], UEy0uGQA21, 5721601]
[paragraph, [266.0, 1700.5, 1946.0, 52.5], UEy0uGQA21, 5721601]
[paragraph, [266.0, 1753.0, 1946.0, 52.5], UEy0uGQA21, 5721601]
[paragraph, [266.0, 1805.5, 1946.0, 52.5], UEy0uGQA21, 5721601]
[paragraph, [266.0, 1858.0, 1946.0, 52.5], UEy0uGQA21, 5721601]
[paragraph, [266.0, 1910.5, 1946.0, 52.5], UEy0uGQA21, 5721601]
[paragraph, [266.0, 1963.0, 1946.0, 52.5], UEy0uGQA21, 5721601]
[paragraph, [266.0, 2015.5, 1946.0, 52.5], UEy0uGQA21, 5721601]
[paragraph, [269.0, 2104.0, 1931.0, 52.5], 0Ei32GrlBE, 5721601]
[paragraph, [269.0, 2156.5, 1931.0, 52.5], 0Ei32GrlBE, 5721601]
[paragraph, [269.0, 2259.0, 1937.0, 52.5], fyUTKcZO8w, 5721601]
[paragraph, [269.0, 2311.5, 1937.0, 52.5], fyUTKcZO8w, 5721601]
[paragraph, [269.0, 2364.0, 1937.0, 52.5], fyUTKcZO8w, 5721601]
[paragraph, [269.0, 2416.5, 1937.0, 52.5], fyUTKcZO8w, 5721601]
[paragraph, [269.0, 2469.0, 1937.0, 52.5], fyUTKcZO8w, 5721601]
[paragraph, [269.0, 2521.5, 1937.0, 52.5], fyUTKcZO8w, 5721601]
[paragraph, [269.0, 2579.0, 1943.0, 52.5], 3clFufhkb_, 5721601]
[paragraph, [269.0, 2631.5, 1943.0, 52.5], 3clFufhkb_, 5721601]
[paragraph, [269.0, 2684.0, 1943.0, 52.5], 3clFufhkb_, 5721601]
[paragraph, [269.0, 2737.0, 1943.0, 52.5], EfurnjArtw, 5721601]
[paragraph, [269.0, 2789.5, 1943.0, 52.5], EfurnjArtw, 5721601]
[paragraph, [269.0, 2842.0, 1943.0, 52.5], EfurnjArtw, 5721601]
[paragraph, [272.0, 2892.0, 1946.0, 52.5], 7GJLTEy9Uc, 5721601]
[paragraph, [272.0, 2944.5, 1946.0, 52.5], 7GJLTEy9Uc, 5721601]
[paragraph, [272.0, 2997.0, 1946.0, 52.5], 7GJLTEy9Uc, 5721601]
