[1650, 1275]
[paragraph, [117.0, 109.0, 1014.0, 36.0], shoonya_0s2JJEB8JX3XEM, 5778672]
[paragraph, [117.0, 145.0, 1014.0, 36.0], shoonya_0s2JJEB8JX3XEM, 5778672]
[paragraph, [117.0, 181.0, 1014.0, 36.0], shoonya_0s2JJEB8JX3XEM, 5778672]
[paragraph, [117.0, 217.0, 1014.0, 36.0], shoonya_0s2JJEB8JX3XEM, 5778672]
[paragraph, [117.0, 253.0, 1014.0, 36.0], shoonya_0s2JJEB8JX3XEM, 5778672]
[paragraph, [117.0, 289.0, 1014.0, 36.0], shoonya_0s2JJEB8JX3XEM, 5778672]
[paragraph, [117.0, 325.0, 1014.0, 36.0], shoonya_0s2JJEB8JX3XEM, 5778672]
[paragraph, [117.0, 361.0, 1014.0, 36.0], shoonya_0s2JJEB8JX3XEM, 5778672]
[paragraph, [117.0, 397.0, 1014.0, 36.0], shoonya_0s2JJEB8JX3XEM, 5778672]
[paragraph, [117.0, 433.0, 1014.0, 36.0], shoonya_0s2JJEB8JX3XEM, 5778672]
[paragraph, [117.0, 469.0, 1014.0, 36.0], shoonya_0s2JJEB8JX3XEM, 5778672]
[paragraph, [117.0, 505.0, 1014.0, 36.0], shoonya_0s2JJEB8JX3XEM, 5778672]
[paragraph, [117.0, 541.0, 1014.0, 36.0], shoonya_0s2JJEB8JX3XEM, 5778672]
[paragraph, [117.0, 577.0, 1014.0, 36.0], shoonya_0s2JJEB8JX3XEM, 5778672]
[paragraph, [117.0, 613.0, 1014.0, 36.0], shoonya_0s2JJEB8JX3XEM, 5778672]
[paragraph, [117.0, 649.0, 1014.0, 36.0], shoonya_0s2JJEB8JX3XEM, 5778672]
[paragraph, [117.0, 685.0, 1014.0, 36.0], shoonya_0s2JJEB8JX3XEM, 5778672]
[paragraph, [117.0, 721.0, 1014.0, 36.0], shoonya_0s2JJEB8JX3XEM, 5778672]
[paragraph, [119.0, 775.0, 1018.0, 36.0], Cxqo29YIjS, 5778672]
[paragraph, [119.0, 811.0, 1018.0, 36.0], Cxqo29YIjS, 5778672]
[paragraph, [119.0, 847.0, 1018.0, 36.0], Cxqo29YIjS, 5778672]
[paragraph, [119.0, 883.0, 1018.0, 36.0], Cxqo29YIjS, 5778672]
[paragraph, [119.0, 919.0, 1018.0, 36.0], Cxqo29YIjS, 5778672]
[paragraph, [119.0, 955.0, 1018.0, 36.0], Cxqo29YIjS, 5778672]
[paragraph, [119.0, 991.0, 1018.0, 36.0], Cxqo29YIjS, 5778672]
[paragraph, [123.0, 1069.0, 1014.0, 36.0], ftR7M1XxeI, 5778672]
[paragraph, [123.0, 1105.0, 1014.0, 36.0], ftR7M1XxeI, 5778672]
[paragraph, [123.0, 1141.0, 1014.0, 36.0], ftR7M1XxeI, 5778672]
[paragraph, [123.0, 1177.0, 1014.0, 36.0], ftR7M1XxeI, 5778672]
[paragraph, [123.0, 1213.0, 1014.0, 36.0], ftR7M1XxeI, 5778672]
[paragraph, [123.0, 1249.0, 1014.0, 36.0], ftR7M1XxeI, 5778672]
[paragraph, [123.0, 1285.0, 1014.0, 36.0], ftR7M1XxeI, 5778672]
[paragraph, [123.0, 1321.0, 1014.0, 36.0], ftR7M1XxeI, 5778672]
[paragraph, [123.0, 1357.0, 1014.0, 36.0], ftR7M1XxeI, 5778672]
[paragraph, [123.0, 1393.0, 1014.0, 36.0], ftR7M1XxeI, 5778672]
[paragraph, [123.0, 1429.0, 1014.0, 36.0], ftR7M1XxeI, 5778672]
